ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,694.252077,-14.872460369781809,780.8701638621229,694.252077,694.252077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.742973,-310.742973,-310.742973,0.0,0.0,0.0,0.0,0.0,0.0,-285.7271765032596,-285.7271765032596,-285.7271765032596,30.91648341167011,30.91648341167011,30.91648341167011,-310.742973,-310.742973,-310.742973,-5.9006869149296755,-5.9006869149296755,-5.9006869149296755,0.0,0.0,0.0,408.5249004967404
2016-01-02,694.5620353777779,603.3948835288309,1417.6074547379803,694.5620353777779,694.5620353777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.8322299404024,315.8322299404024,315.8322299404024,185.75763895001484,185.75763895001484,185.75763895001484,0.0,0.0,0.0,130.0745909903875,130.0745909903875,130.0745909903875,0.0,0.0,0.0,1010.3942653181803
2016-01-03,694.8719937555556,448.3974102690109,1317.8721070506676,694.8719937555556,694.8719937555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0598753472956,183.0598753472956,183.0598753472956,110.96304728080034,110.96304728080034,110.96304728080034,0.0,0.0,0.0,72.09682806649522,72.09682806649522,72.09682806649522,0.0,0.0,0.0,877.9318691028512
2016-01-04,695.1819521333334,172.61725601235244,943.3574662874192,695.1819521333334,695.1819521333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.03808417829325,-141.03808417829325,-141.03808417829325,-63.790456050099706,-63.790456050099706,-63.790456050099706,0.0,0.0,0.0,-77.24762812819351,-77.24762812819351,-77.24762812819351,0.0,0.0,0.0,554.1438679550402
2016-01-05,695.4919105111112,144.90966704566875,953.3947769624639,695.4919105111112,695.4919105111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.8347964124153,-133.8347964124153,-133.8347964124153,-91.0205407422104,-91.0205407422104,-91.0205407422104,0.0,0.0,0.0,-42.81425567020487,-42.81425567020487,-42.81425567020487,0.0,0.0,0.0,561.657114098696
2016-01-06,695.801868888889,164.4535789865988,980.0894808655885,695.801868888889,695.801868888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.45951249614352,-127.45951249614352,-127.45951249614352,-80.40234629249899,-80.40234629249899,-80.40234629249899,0.0,0.0,0.0,-47.05716620364453,-47.05716620364453,-47.05716620364453,0.0,0.0,0.0,568.3423563927455
2016-01-07,696.1118272666668,150.84882945808053,948.7277282463089,696.1118272666668,696.1118272666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.54283179045092,-138.54283179045092,-138.54283179045092,-109.391149650208,-109.391149650208,-109.391149650208,0.0,0.0,0.0,-29.151682140242904,-29.151682140242904,-29.151682140242904,0.0,0.0,0.0,557.5689954762158
2016-01-08,696.4217856444444,243.41846185363318,1048.2033780235809,696.4217856444444,696.4217856444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.61854415597259,-48.61854415597259,-48.61854415597259,-42.71785724128736,-42.71785724128736,-42.71785724128736,0.0,0.0,0.0,-5.900686914685222,-5.900686914685222,-5.900686914685222,0.0,0.0,0.0,647.8032414884718
2016-01-09,696.7317440222222,515.6057649020254,1324.8955224798242,696.7317440222222,696.7317440222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.4661340208046,204.4661340208046,204.4661340208046,74.39154303057093,74.39154303057093,74.39154303057093,0.0,0.0,0.0,130.07459099023365,130.07459099023365,130.07459099023365,0.0,0.0,0.0,901.1978780430268
2016-01-10,697.0417024,422.3171618442815,1207.3571883493166,697.0417024,697.0417024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.32743691811152,105.32743691811152,105.32743691811152,33.23060885190819,33.23060885190819,33.23060885190819,0.0,0.0,0.0,72.09682806620334,72.09682806620334,72.09682806620334,0.0,0.0,0.0,802.3691393181115
