ds,y
2016-01-01,411.0
2016-01-02,955.0
2016-01-03,526.0
2016-01-04,418.0
2016-01-05,405.0
2016-01-06,414.0
2016-01-07,705.0
2016-01-08,982.0
2016-01-09,1159.0
2016-01-10,453.0
2016-01-11,406.0
2016-01-12,585.0
2016-01-13,408.0
2016-01-14,658.0
2016-01-15,1025.0
2016-01-16,1193.0
2016-01-17,568.0
2016-01-18,463.0
2016-01-19,487.0
2016-01-20,444.0
2016-01-21,827.0
2016-01-22,1105.0
2016-01-23,1298.0
2016-01-24,684.0
2016-01-25,419.0
2016-01-26,564.0
2016-01-27,411.0
2016-01-28,751.0
2016-01-29,1527.0
2016-01-30,1409.0
2016-01-31,754.0
2016-03-01,544.0
2016-03-02,549.0
2016-03-03,842.0
2016-03-04,719.0
2016-03-05,617.0
2016-03-06,1152.0
2016-03-07,423.0
2016-03-08,642.0
2016-03-09,920.0
2016-03-10,1037.0
2016-03-11,830.0
2016-03-12,726.0
2016-03-13,565.0
2016-03-14,414.0
2016-03-15,686.0
2016-03-16,883.0
2016-03-17,507.0
2016-03-18,336.0
2016-03-19,724.0
2016-03-20,726.0
2016-03-21,482.0
2016-03-22,785.0
2016-03-23,462.0
2016-03-24,456.0
2016-03-25,1155.0
2016-03-26,703.0
2016-03-27,1301.0
2016-03-28,459.0
2016-03-29,322.0
2016-03-30,667.0
2016-03-31,258.0
2016-04-01,1075.0
2016-04-02,1295.0
2016-04-03,768.0
2016-04-04,458.0
2016-04-05,905.0
2016-04-06,606.0
2016-04-07,882.0
2016-04-08,633.0
2016-04-09,838.0
2016-04-10,1142.0
2016-04-11,735.0
2016-04-12,907.0
2016-04-13,464.0
2016-04-14,381.0
2016-04-15,583.0
2016-04-16,950.0
2016-04-17,684.0
2016-04-18,422.0
2016-04-19,662.0
2016-04-20,558.0
2016-04-21,541.0
2016-04-22,783.0
2016-04-23,858.0
2016-04-24,911.0
2016-04-25,605.0
2016-04-26,565.0
2016-04-27,742.0
2016-04-28,710.0
2016-04-29,448.0
2016-04-30,960.0
2016-05-01,1066.0
2016-05-02,507.0
2016-05-03,665.0
2016-05-04,632.0
2016-05-05,662.0
2016-05-06,645.0
2016-05-07,1133.0
2016-05-08,1300.0
2016-05-09,627.0
2016-05-10,385.0
2016-05-11,421.0
2016-05-12,388.0
2016-05-13,606.0
2016-05-14,874.0
2016-05-15,930.0
2016-05-16,294.0
2016-05-17,961.0
2016-05-18,619.0
2016-05-19,238.0
2016-05-20,615.0
2016-05-21,961.0
2016-05-22,746.0
2016-05-23,522.0
2016-05-24,457.0
2016-05-25,508.0
2016-05-26,755.0
2016-05-27,588.0
2016-05-28,762.0
2016-05-29,926.0
2016-05-30,723.0
2016-05-31,572.0
2016-06-01,1068.0
2016-06-02,772.0
2016-06-03,758.0
2016-06-04,1436.0
2016-06-05,954.0
2016-06-06,608.0
2016-06-07,770.0
2016-06-08,658.0
2016-06-09,533.0
2016-06-10,923.0
2016-06-11,793.0
2016-06-12,1135.0
2016-06-13,582.0
2016-06-14,493.0
2016-06-15,533.0
2016-06-16,1211.0
2016-06-17,955.0
2016-06-18,1124.0
2016-06-19,1089.0
2016-06-20,846.0
2016-06-21,501.0
2016-06-22,1063.0
2016-06-23,608.0
2016-06-24,414.0
2016-06-25,830.0
2016-06-26,883.0
2016-06-27,410.0
2016-06-28,632.0
2016-06-29,578.0
2016-06-30,522.0
2016-07-01,643.0
2016-07-02,972.0
2016-07-03,901.0
2016-07-04,396.0
2016-07-05,475.0
2016-07-06,451.0
2016-07-07,217.0
2016-07-08,708.0
2016-07-09,1009.0
2016-07-10,822.0
2016-07-11,279.0
2016-07-12,547.0
2016-07-13,1133.0
2016-07-14,638.0
2016-07-15,936.0
2016-07-16,1069.0
2016-07-17,783.0
2016-07-18,929.0
2016-07-19,836.0
2016-07-20,834.0
2016-07-21,474.0
2016-07-22,702.0
2016-07-23,891.0
2016-07-24,869.0
2016-07-25,497.0
2016-07-26,1071.0
2016-07-27,692.0
2016-07-28,975.0
2016-07-29,709.0
2016-07-30,1262.0
2016-07-31,1069.0
2016-08-01,544.0
2016-08-02,549.0
2016-08-03,842.0
2016-08-04,719.0
2016-08-05,291.0
2016-08-06,1137.0
2016-08-07,734.0
2016-08-08,642.0
2016-08-09,920.0
2016-08-10,1037.0
2016-08-11,830.0
2016-08-12,380.0
2016-08-13,554.0
2016-08-14,763.0
2016-08-15,686.0
2016-08-16,883.0
2016-08-17,507.0
2016-08-18,336.0
2016-08-19,390.0
2016-08-20,716.0
2016-08-21,821.0
2016-08-22,785.0
2016-08-23,462.0
2016-08-24,456.0
2016-08-25,1155.0
2016-08-26,358.0
2016-08-27,1297.0
2016-08-28,790.0
2016-08-29,322.0
2016-08-30,667.0
2016-08-31,258.0
2016-09-01,1075.0
2016-09-02,971.0
2016-09-03,784.0
2016-09-04,780.0
2016-09-05,905.0
2016-09-06,606.0
2016-09-07,882.0
2016-09-08,633.0
2016-09-09,522.0
2016-09-10,1160.0
2016-09-11,1038.0
2016-09-12,907.0
2016-09-13,464.0
2016-09-14,381.0
2016-09-15,583.0
2016-09-16,638.0
2016-09-17,702.0
2016-09-18,744.0
2016-09-19,662.0
2016-09-20,558.0
2016-09-21,541.0
2016-09-22,783.0
2016-09-23,555.0
2016-09-24,912.0
2016-09-25,934.0
2016-09-26,565.0
2016-09-27,742.0
2016-09-28,710.0
2016-09-29,448.0
2016-09-30,645.0
2016-10-01,1063.0
2016-10-02,836.0
2016-10-03,665.0
2016-10-04,632.0
2016-10-05,662.0
2016-10-06,645.0
2016-10-07,787.0
2016-10-08,1297.0
2016-10-09,971.0
2016-10-10,385.0
2016-10-11,421.0
2016-10-12,388.0
2016-10-13,606.0
2016-10-14,554.0
2016-10-15,920.0
2016-10-16,585.0
2016-10-17,961.0
2016-10-18,619.0
2016-10-19,238.0
2016-10-20,615.0
2016-10-21,663.0
2016-10-22,734.0
2016-10-23,830.0
2016-10-24,457.0
