ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,1648.159428,153.5940632309573,1604.4750578805683,1648.159428,1648.159428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-784.4925519999999,-784.4925519999999,-784.4925519999999,0.0,0.0,0.0,0.0,0.0,0.0,-785.6745801281368,-785.6745801281368,-785.6745801281368,2.729568966226598,2.729568966226598,2.729568966226598,-784.4925519999999,-784.4925519999999,-784.4925519999999,-3.9115970943633274,-3.9115970943633274,-3.9115970943633274,0.0,0.0,0.0,862.4848478718632
2016-01-02,1648.0597591546127,1554.6190158477104,3058.639316871258,1648.0597591546127,1648.0597591546127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.878320507841,626.878320507841,626.878320507841,352.9141718783723,352.9141718783723,352.9141718783723,0.0,0.0,0.0,273.9641486294684,273.9641486294684,273.9641486294684,0.0,0.0,0.0,2274.9380796624537
2016-01-03,1647.9600903092255,1353.5256205796572,2879.657397669486,1647.9600903092255,1647.9600903092255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.2056353726535,467.2056353726535,467.2056353726535,283.83238987357305,283.83238987357305,283.83238987357305,0.0,0.0,0.0,183.3732454990805,183.3732454990805,183.3732454990805,0.0,0.0,0.0,2115.165725681879
2016-01-04,1647.8604214638385,718.4328790301705,2132.540857909325,1647.8604214638385,1647.8604214638385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.69053686143195,-209.69053686143195,-209.69053686143195,-68.13686427349981,-68.13686427349981,-68.13686427349981,0.0,0.0,0.0,-141.55367258793214,-141.55367258793214,-141.55367258793214,0.0,0.0,0.0,1438.1698846024065
2016-01-05,1647.7607526184513,686.780178331557,2135.006413522021,1647.7607526184513,1647.7607526184513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-245.10175917363227,-245.10175917363227,-245.10175917363227,-121.73441371094665,-121.73441371094665,-121.73441371094665,0.0,0.0,0.0,-123.36734546268555,-123.36734546268555,-123.36734546268555,0.0,0.0,0.0,1402.658993444819
2016-01-06,1647.661083773064,695.6422464444779,2201.292588120487,1647.661083773064,1647.661083773064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.63936942399917,-176.63936942399917,-176.63936942399917,-88.0555329202837,-88.0555329202837,-88.0555329202837,0.0,0.0,0.0,-88.58383650371546,-88.58383650371546,-88.58383650371546,0.0,0.0,0.0,1471.021714349065
2016-01-07,1647.5614149276769,848.266373828033,2265.2166044439664,1647.5614149276769,1647.5614149276769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.0372382410737,-129.0372382410737,-129.0372382410737,-29.116295760511708,-29.116295760511708,-29.116295760511708,0.0,0.0,0.0,-99.920942480562,-99.920942480562,-99.920942480562,0.0,0.0,0.0,1518.5241766866031
2016-01-08,1647.4617460822894,854.4732029634747,2354.4134521479973,1647.4617460822894,1647.4617460822894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.464360248339935,-14.464360248339935,-14.464360248339935,-10.552763154454823,-10.552763154454823,-10.552763154454823,0.0,0.0,0.0,-3.9115970938850895,-3.9115970938850895,-3.9115970938850895,0.0,0.0,0.0,1632.9973858339495
2016-01-09,1647.3620772369022,1367.2802714459049,2882.0346521235674,1647.3620772369022,1647.3620772369022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.97827400942407,468.97827400942407,468.97827400942407,195.01412538041856,195.01412538041856,195.01412538041856,0.0,0.0,0.0,273.9641486290055,273.9641486290055,273.9641486290055,0.0,0.0,0.0,2116.3403512463265
2016-01-10,1647.2624083915152,1160.7515669666316,2641.643095411995,1647.2624083915152,1647.2624083915152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.2873466225658,266.2873466225658,266.2873466225658,82.91410112406199,82.91410112406199,82.91410112406199,0.0,0.0,0.0,183.37324549850376,183.37324549850376,183.37324549850376,0.0,0.0,0.0,1913.549755014081
