ds,y
2016-01-01,862.0
2016-01-02,2355.0
2016-01-03,1207.0
2016-01-04,769.0
2016-01-05,1262.0
2016-01-06,1774.0
2016-01-07,1447.0
2016-01-08,2385.0
2016-01-09,2702.0
2016-01-10,1004.0
2016-01-11,866.0
2016-01-12,985.0
2016-01-13,1600.0
2016-01-14,1629.0
2016-01-15,2954.0
2016-01-16,1701.0
2016-01-17,1525.0
2016-01-18,1307.0
2016-01-19,788.0
2016-01-20,1844.0
2016-01-21,1616.0
2016-01-22,2683.0
2016-01-23,2515.0
2016-01-24,1254.0
2016-01-25,900.0
2016-01-26,1060.0
2016-01-27,1639.0
2016-01-28,1719.0
2016-01-29,4196.0
2016-01-30,2690.0
2016-01-31,1442.0
2016-03-01,1407.0
2016-03-02,1069.0
2016-03-03,1201.0
2016-03-04,1476.0
2016-03-05,2009.0
2016-03-06,1982.0
2016-03-07,806.0
2016-03-08,795.0
2016-03-09,1135.0
2016-03-10,695.0
2016-03-11,988.0
2016-03-12,1700.0
2016-03-13,2393.0
2016-03-14,1419.0
2016-03-15,1478.0
2016-03-16,1325.0
2016-03-17,1405.0
2016-03-18,1199.0
2016-03-19,1708.0
2016-03-20,1650.0
2016-03-21,1318.0
2016-03-22,1533.0
2016-03-23,1301.0
2016-03-24,1285.0
2016-03-25,1374.0
2016-03-26,2122.0
2016-03-27,2463.0
2016-03-28,988.0
2016-03-29,1537.0
2016-03-30,964.0
2016-03-31,1123.0
2016-04-01,2391.0
2016-04-02,2133.0
2016-04-03,1738.0
2016-04-04,1416.0
2016-04-05,1239.0
2016-04-06,1511.0
2016-04-07,1251.0
2016-04-08,875.0
2016-04-09,2083.0
2016-04-10,1942.0
2016-04-11,1402.0
2016-04-12,1464.0
2016-04-13,1415.0
2016-04-14,1282.0
2016-04-15,1046.0
2016-04-16,1974.0
2016-04-17,1387.0
2016-04-18,978.0
2016-04-19,1158.0
2016-04-20,926.0
2016-04-21,954.0
2016-04-22,1741.0
2016-04-23,2332.0
2016-04-24,2011.0
2016-04-25,1294.0
2016-04-26,1586.0
2016-04-27,742.0
2016-04-28,1829.0
2016-04-29,1394.0
2016-04-30,2089.0
2016-05-01,2109.0
2016-05-02,1027.0
2016-05-03,969.0
2016-05-04,1143.0
2016-05-05,1563.0
2016-05-06,1050.0
2016-05-07,2358.0
2016-05-08,2554.0
2016-05-09,1035.0
2016-05-10,942.0
2016-05-11,1281.0
2016-05-12,1340.0
2016-05-13,1491.0
2016-05-14,1888.0
2016-05-15,1999.0
2016-05-16,1658.0
2016-05-17,1630.0
2016-05-18,1771.0
2016-05-19,886.0
2016-05-20,1047.0
2016-05-21,1776.0
2016-05-22,2797.0
2016-05-23,1301.0
2016-05-24,1208.0
2016-05-25,1529.0
2016-05-26,810.0
