ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,707.033988,-1.9016616388310843,940.6301677049082,707.033988,707.033988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-280.584736,-280.584736,-280.584736,0.0,0.0,0.0,0.0,0.0,0.0,-272.23319196478445,-272.23319196478445,-272.23319196478445,8.254953299908777,8.254953299908777,8.254953299908777,-280.584736,-280.584736,-280.584736,0.09659073530678587,0.09659073530678587,0.09659073530678587,0.0,0.0,0.0,434.80079603521557
2016-01-02,708.0271773670034,462.31394653005714,1320.9034127091454,708.0271773670034,708.0271773670034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.52794513531262,203.52794513531262,203.52794513531262,89.29678016020958,89.29678016020958,89.29678016020958,0.0,0.0,0.0,114.23116497510307,114.23116497510307,114.23116497510307,0.0,0.0,0.0,911.5551225023161
2016-01-03,709.0203667340068,437.5127396861266,1352.8608206397412,709.0203667340068,709.0203667340068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.73356237578722,213.73356237578722,213.73356237578722,117.75298254075526,117.75298254075526,117.75298254075526,0.0,0.0,0.0,95.98057983503193,95.98057983503193,95.98057983503193,0.0,0.0,0.0,922.753929109794
2016-01-04,710.0135561010102,104.38978779971809,992.0478211424834,710.0135561010102,710.0135561010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.38262969750892,-167.38262969750892,-167.38262969750892,-83.79256823999525,-83.79256823999525,-83.79256823999525,0.0,0.0,0.0,-83.59006145751364,-83.59006145751364,-83.59006145751364,0.0,0.0,0.0,542.6309264035012
2016-01-05,711.0067454680135,172.59093625320565,1110.0629081981838,711.0067454680135,711.0067454680135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.2931423795973,-61.2931423795973,-61.2931423795973,-28.841174388003246,-28.841174388003246,-28.841174388003246,0.0,0.0,0.0,-32.45196799159408,-32.45196799159408,-32.45196799159408,0.0,0.0,0.0,649.7136030884162
2016-01-06,711.9999348350168,157.4984323662158,1057.0713262129948,711.9999348350168,711.9999348350168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.04801825144557,-92.04801825144557,-92.04801825144557,-32.36418239504797,-32.36418239504797,-32.36418239504797,0.0,0.0,0.0,-59.683835856397586,-59.683835856397586,-59.683835856397586,0.0,0.0,0.0,619.9519165835712
2016-01-07,712.9931242020202,232.38608962821476,1130.5703289948312,712.9931242020202,712.9931242020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.967943930349755,-57.967943930349755,-57.967943930349755,-23.385473690147762,-23.385473690147762,-23.385473690147762,0.0,0.0,0.0,-34.58247024020198,-34.58247024020198,-34.58247024020198,0.0,0.0,0.0,655.0251802716705
2016-01-08,713.9863135690237,255.0514421116574,1181.471901868963,713.9863135690237,713.9863135690237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.965181093477178,-7.965181093477178,-7.965181093477178,-8.061771829046037,-8.061771829046037,-8.061771829046037,0.0,0.0,0.0,0.09659073556885578,0.09659073556885578,0.09659073556885578,0.0,0.0,0.0,706.0211324755464
2016-01-09,714.9795029360271,513.7404960272405,1423.06847145969,714.9795029360271,714.9795029360271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.3967147647792,253.3967147647792,253.3967147647792,139.1655497898363,139.1655497898363,139.1655497898363,0.0,0.0,0.0,114.231164974943,114.231164974943,114.231164974943,0.0,0.0,0.0,968.3762177008063
2016-01-10,715.9726923030303,408.5567809997741,1366.6616900847562,715.9726923030303,715.9726923030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.1887569637976,170.1887569637976,170.1887569637976,74.20817712904207,74.20817712904207,74.20817712904207,0.0,0.0,0.0,95.98057983475556,95.98057983475556,95.98057983475556,0.0,0.0,0.0,886.1614492668278
2016-01-11,716.9658816824451,104.12509424557855,997.1216614665757,716.9658816824451,716.9658816824451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.97761613275514,-166.97761613275514,-166.97761613275514,-83.38755467517733,-83.38755467517733,-83.38755467517733,0.0,0.0,0.0,-83.59006145757778,-83.59006145757778,-83.59006145757778,0.0,0.0,0.0,549.9882655496899
2016-01-12,717.9590710618598,196.58004451026468,1090.7851504635198,717.9590710618598,717.9590710618598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.51472958714473,-68.51472958714473,-68.51472958714473,-36.06276159538431,-36.06276159538431,-36.06276159538431,0.0,0.0,0.0,-32.45196799176046,-32.45196799176046,-32.45196799176046,0.0,0.0,0.0,649.4443414747151
2016-01-13,718.9522604412746,99.43198530519113,1058.3741942272402,718.9522604412746,718.9522604412746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.68732517415188,-146.68732517415188,-146.68732517415188,-87.00348931773351,-87.00348931773351,-87.00348931773351,0.0,0.0,0.0,-59.683835856418376,-59.683835856418376,-59.683835856418376,0.0,0.0,0.0,572.2649352671227
2016-01-14,719.9454498206893,203.7099180168536,1088.9074299924662,719.9454498206893,719.9454498206893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.36193703032066,-80.36193703032066,-80.36193703032066,-45.77946679016984,-45.77946679016984,-45.77946679016984,0.0,0.0,0.0,-34.58247024015081,-34.58247024015081,-34.58247024015081,0.0,0.0,0.0,639.5835127903687
2016-01-15,720.938639200104,274.50459785207397,1184.3787051828074,720.938639200104,720.938639200104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.351544035463242,8.351544035463242,8.351544035463242,8.25495330004359,8.25495330004359,8.25495330004359,0.0,0.0,0.0,0.09659073541963192,0.09659073541963192,0.09659073541963192,0.0,0.0,0.0,729.2901832355673
2016-01-16,721.9318285795188,417.29156577669295,1371.5050225328494,721.9318285795188,721.9318285795188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.52794513533323,203.52794513533323,203.52794513533323,89.29678016021836,89.29678016021836,89.29678016021836,0.0,0.0,0.0,114.2311649751149,114.2311649751149,114.2311649751149,0.0,0.0,0.0,925.459773714852
2016-01-17,722.9250179589335,479.77501196799346,1384.3257219176942,722.9250179589335,722.9250179589335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.733562376254,213.733562376254,213.733562376254,117.75298254102508,117.75298254102508,117.75298254102508,0.0,0.0,0.0,95.98057983522895,95.98057983522895,95.98057983522895,0.0,0.0,0.0,936.6585803351875
2016-01-18,723.9182073383482,86.5227107514101,988.850245807873,723.9182073383482,723.9182073383482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.38262969766436,-167.38262969766436,-167.38262969766436,-83.79256824002366,-83.79256824002366,-83.79256824002366,0.0,0.0,0.0,-83.59006145764073,-83.59006145764073,-83.59006145764073,0.0,0.0,0.0,556.5355776406839
