ds,y
2016-01-01,437.0
2016-01-02,782.0
2016-01-03,700.0
2016-01-04,404.0
2016-01-05,553.0
2016-01-06,671.0
2016-01-07,965.0
2016-01-08,841.0
2016-01-09,849.0
2016-01-10,352.0
2016-01-11,693.0
2016-01-12,640.0
2016-01-13,428.0
2016-01-14,876.0
2016-01-15,1139.0
2016-01-16,772.0
2016-01-17,1054.0
2016-01-18,443.0
2016-01-19,504.0
2016-01-20,507.0
2016-01-21,1049.0
2016-01-22,930.0
2016-01-23,1138.0
2016-01-24,460.0
2016-01-25,528.0
2016-01-26,468.0
2016-01-27,500.0
2016-01-28,949.0
2016-01-29,1894.0
2016-01-30,1078.0
2016-01-31,534.0
2016-03-01,598.0
2016-03-02,531.0
2016-03-03,630.0
2016-03-04,615.0
2016-03-05,726.0
2016-03-06,1002.0
2016-03-07,563.0
2016-03-08,433.0
2016-03-09,875.0
2016-03-10,227.0
2016-03-11,538.0
2016-03-12,773.0
2016-03-13,805.0
2016-03-14,379.0
2016-03-15,538.0
2016-03-16,429.0
2016-03-17,678.0
2016-03-18,957.0
2016-03-19,902.0
2016-03-20,1174.0
2016-03-21,630.0
2016-03-22,948.0
2016-03-23,643.0
2016-03-24,875.0
2016-03-25,656.0
2016-03-26,1227.0
2016-03-27,1426.0
2016-03-28,409.0
2016-03-29,961.0
2016-03-30,1375.0
2016-03-31,983.0
2016-04-01,514.0
2016-04-02,1598.0
2016-04-03,946.0
2016-04-04,442.0
2016-04-05,776.0
2016-04-06,551.0
2016-04-07,912.0
2016-04-08,461.0
2016-04-09,933.0
2016-04-10,632.0
2016-04-11,542.0
2016-04-12,797.0
2016-04-13,1091.0
2016-04-14,649.0
2016-04-15,875.0
2016-04-16,1021.0
2016-04-17,976.0
2016-04-18,488.0
2016-04-19,655.0
2016-04-20,723.0
2016-04-21,781.0
2016-04-22,821.0
2016-04-23,1261.0
2016-04-24,997.0
2016-04-25,665.0
2016-04-26,443.0
2016-04-27,479.0
2016-04-28,993.0
2016-04-29,829.0
2016-04-30,1501.0
2016-05-01,1206.0
2016-05-02,1261.0
2016-05-03,603.0
2016-05-04,1126.0
2016-05-05,963.0
2016-05-06,709.0
2016-05-07,925.0
2016-05-08,1242.0
2016-05-09,554.0
2016-05-10,659.0
2016-05-11,903.0
2016-05-12,280.0
2016-05-13,735.0
2016-05-14,1096.0
2016-05-15,970.0
2016-05-16,660.0
2016-05-17,509.0
2016-05-18,425.0
2016-05-19,423.0
2016-05-20,1080.0
2016-05-21,924.0
2016-05-22,1058.0
2016-05-23,1068.0
2016-05-24,1046.0
2016-05-25,430.0
2016-05-26,677.0
2016-05-27,690.0
2016-05-28,974.0
2016-05-29,917.0
2016-05-30,676.0
2016-05-31,651.0
2016-06-01,336.0
2016-06-02,513.0
2016-06-03,720.0
2016-06-04,1065.0
2016-06-05,1105.0
2016-06-06,483.0
2016-06-07,885.0
2016-06-08,883.0
2016-06-09,563.0
2016-06-10,459.0
2016-06-11,1040.0
2016-06-12,908.0
2016-06-13,735.0
2016-06-14,701.0
2016-06-15,707.0
2016-06-16,502.0
2016-06-17,988.0
2016-06-18,950.0
2016-06-19,1041.0
2016-06-20,313.0
2016-06-21,383.0
2016-06-22,437.0
2016-06-23,359.0
2016-06-24,562.0
2016-06-25,1027.0
2016-06-26,1137.0
2016-06-27,518.0
2016-06-28,1155.0
2016-06-29,268.0
2016-06-30,733.0
2016-07-01,550.0
2016-07-02,847.0
2016-07-03,1224.0
2016-07-04,624.0
2016-07-05,785.0
2016-07-06,624.0
2016-07-07,824.0
2016-07-08,846.0
2016-07-09,687.0
2016-07-10,878.0
2016-07-11,523.0
2016-07-12,1070.0
2016-07-13,668.0
2016-07-14,635.0
2016-07-15,698.0
2016-07-16,893.0
2016-07-17,1574.0
2016-07-18,713.0
2016-07-19,590.0
2016-07-20,402.0
2016-07-21,457.0
2016-07-22,938.0
2016-07-23,712.0
2016-07-24,1003.0
2016-07-25,664.0
2016-07-26,531.0
2016-07-27,577.0
2016-07-28,624.0
2016-07-29,502.0
2016-07-30,999.0
2016-07-31,812.0
2016-08-01,598.0
2016-08-02,531.0
2016-08-03,630.0
2016-08-04,615.0
2016-08-05,382.0
2016-08-06,978.0
