ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,630.808503,207.28563383553697,968.1147716476477,630.808503,630.808503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.40460650000003,-155.40460650000003,-155.40460650000003,0.0,0.0,0.0,0.0,0.0,0.0,-36.45825595942042,-36.45825595942042,-36.45825595942042,88.38420757358256,88.38420757358256,88.38420757358256,-155.40460650000003,-155.40460650000003,-155.40460650000003,30.562142966997033,30.562142966997033,30.562142966997033,0.0,0.0,0.0,594.3502470405796
2016-01-02,638.359481040404,450.9862202494075,1201.0962133308449,638.359481040404,638.359481040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.17700949283062,188.17700949283062,188.17700949283062,105.04881000247455,105.04881000247455,105.04881000247455,0.0,0.0,0.0,83.12819949035601,83.12819949035601,83.12819949035601,0.0,0.0,0.0,826.5364905332347
2016-01-03,645.910459080808,328.01536150098644,1094.9200262071222,645.910459080808,645.910459080808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.79260606036907,68.79260606036907,68.79260606036907,12.38367490999899,12.38367490999899,12.38367490999899,0.0,0.0,0.0,56.40893115037009,56.40893115037009,56.40893115037009,0.0,0.0,0.0,714.703065141177
2016-01-04,653.4614371212122,194.75460519473606,947.7705088133894,653.4614371212122,653.4614371212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.7302069139001,-102.7302069139001,-102.7302069139001,-59.779584389780034,-59.779584389780034,-59.779584389780034,0.0,0.0,0.0,-42.950622524120064,-42.950622524120064,-42.950622524120064,0.0,0.0,0.0,550.731230207312
2016-01-05,661.0124151616161,196.91802864611267,960.168200076348,661.0124151616161,661.0124151616161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.81670787473358,-81.81670787473358,-81.81670787473358,-45.49181492072267,-45.49181492072267,-45.49181492072267,0.0,0.0,0.0,-36.3248929540109,-36.3248929540109,-36.3248929540109,0.0,0.0,0.0,579.1957072868826
2016-01-06,668.5633932020202,172.5566636608197,923.2268026042344,668.5633932020202,668.5633932020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.38486554208235,-127.38486554208235,-127.38486554208235,-76.04272734351295,-76.04272734351295,-76.04272734351295,0.0,0.0,0.0,-51.34213819856941,-51.34213819856941,-51.34213819856941,0.0,0.0,0.0,541.1785276599378
2016-01-07,676.1143712424241,197.5997276876909,956.9666283417329,676.1143712424241,676.1143712424241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.30398984419132,-93.30398984419132,-93.30398984419132,-53.822369913121854,-53.822369913121854,-53.822369913121854,0.0,0.0,0.0,-39.48161993106947,-39.48161993106947,-39.48161993106947,0.0,0.0,0.0,582.8103813982328
2016-01-08,683.6653492828283,305.5935950937129,1071.6643275575298,683.6653492828283,683.6653492828283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.302221327746599,3.302221327746599,3.302221327746599,-27.259921639410333,-27.259921639410333,-27.259921639410333,0.0,0.0,0.0,30.562142967156923,30.562142967156923,30.562142967156923,0.0,0.0,0.0,686.9675706105749
2016-01-09,691.2163273232322,459.16401537312225,1225.954960066291,691.2163273232322,691.2163273232322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.33578846842394,144.33578846842394,144.33578846842394,61.20758897810321,61.20758897810321,61.20758897810321,0.0,0.0,0.0,83.12819949032074,83.12819949032074,83.12819949032074,0.0,0.0,0.0,835.5521157916562
2016-01-10,698.7673053636363,482.0177086559944,1247.5178289154633,698.7673053636363,698.7673053636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.84311854086235,156.84311854086235,156.84311854086235,100.4341873906381,100.4341873906381,100.4341873906381,0.0,0.0,0.0,56.408931150224284,56.408931150224284,56.408931150224284,0.0,0.0,0.0,855.6104239044987
