ds,y
2016-01-01,472.0
2016-01-02,816.0
2016-01-03,431.0
2016-01-04,459.0
2016-01-05,348.0
2016-01-06,444.0
2016-01-07,609.0
2016-01-08,891.0
2016-01-09,954.0
2016-01-10,344.0
2016-01-11,550.0
2016-01-12,441.0
2016-01-13,413.0
2016-01-14,377.0
2016-01-15,1282.0
2016-01-16,689.0
2016-01-17,518.0
2016-01-18,543.0
2016-01-19,349.0
2016-01-20,550.0
2016-01-21,496.0
2016-01-22,985.0
2016-01-23,968.0
2016-01-24,469.0
2016-01-25,431.0
2016-01-26,360.0
2016-01-27,524.0
2016-01-28,579.0
2016-01-29,3287.0
2016-01-30,827.0
2016-01-31,441.0
2016-03-01,654.0
2016-03-02,1271.0
2016-03-03,223.0
2016-03-04,1205.0
2016-03-05,708.0
2016-03-06,1111.0
2016-03-07,662.0
2016-03-08,725.0
2016-03-09,624.0
2016-03-10,449.0
2016-03-11,597.0
2016-03-12,891.0
2016-03-13,1086.0
2016-03-14,506.0
2016-03-15,610.0
2016-03-16,1016.0
2016-03-17,232.0
2016-03-18,554.0
2016-03-19,885.0
2016-03-20,744.0
2016-03-21,480.0
2016-03-22,775.0
2016-03-23,903.0
2016-03-24,419.0
2016-03-25,567.0
2016-03-26,1361.0
2016-03-27,838.0
2016-03-28,719.0
2016-03-29,460.0
2016-03-30,662.0
2016-03-31,496.0
2016-04-01,752.0
2016-04-02,657.0
2016-04-03,795.0
2016-04-04,1026.0
2016-04-05,389.0
2016-04-06,896.0
2016-04-07,637.0
2016-04-08,233.0
2016-04-09,897.0
2016-04-10,959.0
2016-04-11,547.0
2016-04-12,994.0
2016-04-13,444.0
2016-04-14,624.0
2016-04-15,774.0
2016-04-16,1768.0
2016-04-17,937.0
2016-04-18,711.0
2016-04-19,419.0
2016-04-20,442.0
2016-04-21,650.0
2016-04-22,385.0
2016-04-23,574.0
2016-04-24,912.0
2016-04-25,644.0
2016-04-26,703.0
2016-04-27,505.0
2016-04-28,534.0
2016-04-29,591.0
2016-04-30,1221.0
2016-05-01,713.0
2016-05-02,256.0
2016-05-03,546.0
2016-05-04,806.0
2016-05-05,1045.0
2016-05-06,516.0
2016-05-07,584.0
2016-05-08,1029.0
2016-05-09,319.0
2016-05-10,613.0
2016-05-11,646.0
2016-05-12,1047.0
2016-05-13,546.0
2016-05-14,748.0
2016-05-15,560.0
2016-05-16,353.0
2016-05-17,564.0
2016-05-18,427.0
2016-05-19,552.0
2016-05-20,1083.0
2016-05-21,942.0
2016-05-22,1094.0
2016-05-23,655.0
2016-05-24,556.0
2016-05-25,249.0
2016-05-26,819.0
2016-05-27,439.0
2016-05-28,941.0
2016-05-29,770.0
2016-05-30,791.0
2016-05-31,549.0
2016-06-01,387.0
2016-06-02,368.0
2016-06-03,923.0
2016-06-04,640.0
2016-06-05,926.0
2016-06-06,301.0
2016-06-07,789.0
2016-06-08,476.0
2016-06-09,1009.0
2016-06-10,666.0
2016-06-11,1299.0
2016-06-12,830.0
2016-06-13,746.0
2016-06-14,998.0
2016-06-15,908.0
2016-06-16,359.0
2016-06-17,573.0
2016-06-18,1236.0
2016-06-19,902.0
2016-06-20,600.0
2016-06-21,879.0
2016-06-22,498.0
2016-06-23,418.0
2016-06-24,773.0
2016-06-25,806.0
2016-06-26,1157.0
2016-06-27,575.0
2016-06-28,450.0
2016-06-29,464.0
2016-06-30,497.0
2016-07-01,775.0
2016-07-02,960.0
2016-07-03,1334.0
2016-07-04,1015.0
2016-07-05,812.0
2016-07-06,631.0
2016-07-07,374.0
2016-07-08,528.0
2016-07-09,1101.0
2016-07-10,814.0
2016-07-11,379.0
2016-07-12,940.0
2016-07-13,514.0
2016-07-14,737.0
2016-07-15,481.0
2016-07-16,665.0
2016-07-17,974.0
2016-07-18,402.0
2016-07-19,575.0
2016-07-20,825.0
2016-07-21,772.0
2016-07-22,427.0
2016-07-23,536.0
2016-07-24,1003.0
