ds,y
2016-01-01,639.0
2016-01-02,1062.0
2016-01-03,379.0
2016-01-04,286.0
2016-01-05,267.0
2016-01-06,500.0
2016-01-07,658.0
2016-01-08,973.0
2016-01-09,917.0
2016-01-10,457.0
2016-01-11,396.0
2016-01-12,388.0
2016-01-13,456.0
2016-01-14,498.0
2016-01-15,1050.0
2016-01-16,915.0
2016-01-17,578.0
2016-01-18,419.0
2016-01-19,392.0
2016-01-20,379.0
2016-01-21,505.0
2016-01-22,1230.0
2016-01-23,1073.0
2016-01-24,529.0
2016-01-25,366.0
2016-01-26,421.0
2016-01-27,495.0
2016-01-28,669.0
2016-01-29,1451.0
2016-01-30,1112.0
2016-01-31,543.0
2016-03-01,516.0
2016-03-02,556.0
2016-03-03,611.0
2016-03-04,593.0
2016-03-05,1036.0
2016-03-06,774.0
2016-03-07,365.0
2016-03-08,369.0
2016-03-09,549.0
2016-03-10,244.0
2016-03-11,666.0
2016-03-12,919.0
2016-03-13,661.0
2016-03-14,272.0
2016-03-15,326.0
2016-03-16,959.0
2016-03-17,831.0
2016-03-18,643.0
2016-03-19,739.0
2016-03-20,849.0
2016-03-21,790.0
2016-03-22,614.0
2016-03-23,757.0
2016-03-24,554.0
2016-03-25,623.0
2016-03-26,760.0
2016-03-27,678.0
2016-03-28,697.0
2016-03-29,557.0
2016-03-30,439.0
2016-03-31,1209.0
2016-04-01,515.0
2016-04-02,1237.0
2016-04-03,633.0
2016-04-04,316.0
2016-04-05,769.0
2016-04-06,631.0
2016-04-07,1227.0
2016-04-08,872.0
2016-04-09,894.0
2016-04-10,1071.0
2016-04-11,863.0
2016-04-12,561.0
2016-04-13,385.0
2016-04-14,448.0
2016-04-15,239.0
2016-04-16,842.0
2016-04-17,546.0
2016-04-18,595.0
2016-04-19,468.0
2016-04-20,948.0
2016-04-21,756.0
2016-04-22,1078.0
2016-04-23,1206.0
2016-04-24,874.0
2016-04-25,315.0
2016-04-26,733.0
2016-04-27,560.0
2016-04-28,552.0
2016-04-29,474.0
2016-04-30,835.0
2016-05-01,540.0
2016-05-02,772.0
2016-05-03,685.0
2016-05-04,797.0
2016-05-05,472.0
2016-05-06,685.0
2016-05-07,879.0
2016-05-08,1061.0
2016-05-09,602.0
2016-05-10,436.0
2016-05-11,444.0
2016-05-12,484.0
2016-05-13,521.0
2016-05-14,1253.0
2016-05-15,1024.0
2016-05-16,822.0
2016-05-17,593.0
2016-05-18,836.0
2016-05-19,682.0
2016-05-20,1082.0
2016-05-21,761.0
2016-05-22,885.0
2016-05-23,518.0
2016-05-24,777.0
2016-05-25,429.0
2016-05-26,527.0
2016-05-27,362.0
2016-05-28,1308.0
2016-05-29,1028.0
2016-05-30,436.0
2016-05-31,526.0
2016-06-01,924.0
2016-06-02,354.0
2016-06-03,567.0
2016-06-04,889.0
2016-06-05,1055.0
2016-06-06,742.0
2016-06-07,659.0
