ds,y
2016-01-01,626.0
2016-01-02,993.0
2016-01-03,438.0
2016-01-04,523.0
2016-01-05,348.0
2016-01-06,682.0
2016-01-07,744.0
2016-01-08,1157.0
2016-01-09,1131.0
2016-01-10,395.0
2016-01-11,493.0
2016-01-12,481.0
2016-01-13,550.0
2016-01-14,515.0
2016-01-15,1128.0
2016-01-16,1118.0
2016-01-17,575.0
2016-01-18,300.0
2016-01-19,613.0
2016-01-20,674.0
2016-01-21,542.0
2016-01-22,1390.0
2016-01-23,1042.0
2016-01-24,596.0
2016-01-25,433.0
2016-01-26,473.0
2016-01-27,516.0
2016-01-28,592.0
2016-01-29,1631.0
2016-01-30,1416.0
2016-01-31,581.0
2016-03-01,742.0
2016-03-02,452.0
2016-03-03,471.0
2016-03-04,703.0
2016-03-05,948.0
2016-03-06,1123.0
2016-03-07,510.0
2016-03-08,1100.0
2016-03-09,1031.0
2016-03-10,589.0
2016-03-11,820.0
2016-03-12,1363.0
2016-03-13,1252.0
2016-03-14,668.0
2016-03-15,626.0
2016-03-16,918.0
2016-03-17,444.0
2016-03-18,1103.0
2016-03-19,573.0
2016-03-20,756.0
2016-03-21,517.0
2016-03-22,446.0
2016-03-23,874.0
2016-03-24,945.0
2016-03-25,861.0
2016-03-26,896.0
2016-03-27,811.0
2016-03-28,474.0
2016-03-29,536.0
2016-03-30,333.0
2016-03-31,592.0
2016-04-01,699.0
2016-04-02,1288.0
2016-04-03,813.0
2016-04-04,718.0
2016-04-05,655.0
2016-04-06,696.0
2016-04-07,784.0
2016-04-08,1369.0
2016-04-09,1086.0
2016-04-10,847.0
2016-04-11,594.0
2016-04-12,573.0
2016-04-13,937.0
2016-04-14,468.0
2016-04-15,660.0
2016-04-16,1172.0
2016-04-17,925.0
2016-04-18,794.0
2016-04-19,545.0
2016-04-20,1046.0
2016-04-21,1123.0
2016-04-22,865.0
2016-04-23,1190.0
2016-04-24,1525.0
2016-04-25,706.0
2016-04-26,872.0
2016-04-27,917.0
2016-04-28,371.0
2016-04-29,438.0
2016-04-30,943.0
2016-05-01,1257.0
2016-05-02,562.0
2016-05-03,617.0
2016-05-04,643.0
2016-05-05,682.0
2016-05-06,668.0
2016-05-07,948.0
2016-05-08,1338.0
2016-05-09,1040.0
2016-05-10,663.0
2016-05-11,1036.0
2016-05-12,552.0
2016-05-13,940.0
2016-05-14,961.0
2016-05-15,1232.0
2016-05-16,384.0
2016-05-17,797.0
2016-05-18,870.0
2016-05-19,622.0
2016-05-20,419.0
2016-05-21,995.0
2016-05-22,953.0
2016-05-23,364.0
2016-05-24,948.0
2016-05-25,933.0
2016-05-26,466.0
2016-05-27,360.0
2016-05-28,1307.0
2016-05-29,1371.0
2016-05-30,983.0
2016-05-31,759.0
2016-06-01,553.0
2016-06-02,800.0
2016-06-03,632.0
2016-06-04,766.0
2016-06-05,1062.0
2016-06-06,942.0
2016-06-07,658.0
2016-06-08,413.0
2016-06-09,450.0
2016-06-10,448.0
2016-06-11,986.0
2016-06-12,862.0
2016-06-13,397.0
2016-06-14,292.0
2016-06-15,641.0
2016-06-16,369.0
2016-06-17,908.0
2016-06-18,1265.0
2016-06-19,1068.0
2016-06-20,565.0
2016-06-21,709.0
2016-06-22,350.0
2016-06-23,865.0
2016-06-24,806.0
2016-06-25,1214.0
2016-06-26,855.0
2016-06-27,721.0
2016-06-28,955.0
2016-06-29,598.0
2016-06-30,404.0
2016-07-01,1319.0
2016-07-02,713.0
2016-07-03,812.0
2016-07-04,794.0
2016-07-05,586.0
2016-07-06,486.0
2016-07-07,903.0
2016-07-08,601.0
2016-07-09,786.0
2016-07-10,1148.0
2016-07-11,523.0
2016-07-12,628.0
2016-07-13,1061.0
2016-07-14,633.0
2016-07-15,1161.0
2016-07-16,1132.0
2016-07-17,850.0
2016-07-18,534.0
2016-07-19,978.0
2016-07-20,702.0
2016-07-21,1066.0
2016-07-22,649.0
2016-07-23,873.0
2016-07-24,878.0
2016-07-25,381.0
2016-07-26,444.0
2016-07-27,302.0
2016-07-28,636.0
2016-07-29,911.0
2016-07-30,1271.0
2016-07-31,916.0
2016-08-01,742.0
2016-08-02,452.0
2016-08-03,471.0
2016-08-04,703.0
2016-08-05,602.0
2016-08-06,1110.0
2016-08-07,859.0
2016-08-08,1100.0
2016-08-09,1031.0
2016-08-10,589.0
2016-08-11,820.0
2016-08-12,1004.0
2016-08-13,1261.0
2016-08-14,1011.0
2016-08-15,626.0
2016-08-16,918.0
2016-08-17,444.0
2016-08-18,1103.0
2016-08-19,228.0
2016-08-20,757.0
2016-08-21,886.0
2016-08-22,446.0
2016-08-23,874.0
2016-08-24,945.0
2016-08-25,861.0
2016-08-26,572.0
2016-08-27,842.0
2016-08-28,820.0
2016-08-29,536.0
2016-08-30,333.0
2016-08-31,592.0
2016-09-01,699.0
2016-09-02,951.0
2016-09-03,818.0
2016-09-04,1066.0
2016-09-05,655.0
2016-09-06,696.0
2016-09-07,784.0
2016-09-08,1369.0
2016-09-09,755.0
2016-09-10,842.0
2016-09-11,925.0
2016-09-12,573.0
2016-09-13,937.0
2016-09-14,468.0
2016-09-15,660.0
2016-09-16,825.0
2016-09-17,968.0
2016-09-18,1124.0
2016-09-19,545.0
2016-09-20,1046.0
2016-09-21,1123.0
2016-09-22,865.0
2016-09-23,840.0
2016-09-24,1509.0
2016-09-25,1077.0
2016-09-26,872.0
2016-09-27,917.0
2016-09-28,371.0
2016-09-29,438.0
2016-09-30,605.0
2016-10-01,1245.0
2016-10-02,915.0
2016-10-03,617.0
2016-10-04,643.0
2016-10-05,682.0
2016-10-06,668.0
2016-10-07,616.0
2016-10-08,1357.0
2016-10-09,1362.0
2016-10-10,663.0
2016-10-11,1036.0
2016-10-12,552.0
2016-10-13,940.0
2016-10-14,610.0
2016-10-15,1202.0
2016-10-16,710.0
2016-10-17,797.0
2016-10-18,870.0
2016-10-19,622.0
2016-10-20,419.0
2016-10-21,672.0
2016-10-22,951.0
2016-10-23,685.0
2016-10-24,948.0
