ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,631.12506,-154.0554230171604,880.4385853656904,631.12506,631.12506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420.10026,-420.10026,-420.10026,0.0,0.0,0.0,0.0,0.0,0.0,-273.28486711178283,-273.28486711178283,-273.28486711178283,112.5978524303991,112.5978524303991,112.5978524303991,-420.10026,-420.10026,-420.10026,34.21754045781805,34.21754045781805,34.21754045781805,0.0,0.0,0.0,357.84019288821713
2016-01-02,639.6582527272727,372.4227863113717,1410.4626942669838,639.6582527272727,639.6582527272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.28533317163055,233.28533317163055,233.28533317163055,107.47045659925,107.47045659925,107.47045659925,0.0,0.0,0.0,125.81487657238057,125.81487657238057,125.81487657238057,0.0,0.0,0.0,872.9435858989033
2016-01-03,648.1914454545455,353.8107683031672,1353.0284810453124,648.1914454545455,648.1914454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.86698114749296,197.86698114749296,197.86698114749296,94.24797931524778,94.24797931524778,94.24797931524778,0.0,0.0,0.0,103.61900183224517,103.61900183224517,103.61900183224517,0.0,0.0,0.0,846.0584266020385
2016-01-04,656.7246381818182,32.09699609103389,1071.4569984001323,656.7246381818182,656.7246381818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.12041776321146,-107.12041776321146,-107.12041776321146,-54.030924532453824,-54.030924532453824,-54.030924532453824,0.0,0.0,0.0,-53.089493230757654,-53.089493230757654,-53.089493230757654,0.0,0.0,0.0,549.6042204186068
2016-01-05,665.2578309090909,-4.0002474415492255,1041.547804185819,665.2578309090909,665.2578309090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.60086759401742,-170.60086759401742,-170.60086759401742,-85.26659934738043,-85.26659934738043,-85.26659934738043,0.0,0.0,0.0,-85.33426824663698,-85.33426824663698,-85.33426824663698,0.0,0.0,0.0,494.6569633150735
2016-01-06,673.7910236363637,45.63965701824939,1089.2325175480019,673.7910236363637,673.7910236363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.00979084008536,-115.00979084008536,-115.00979084008536,-35.06805235512308,-35.06805235512308,-35.06805235512308,0.0,0.0,0.0,-79.94173848496227,-79.94173848496227,-79.94173848496227,0.0,0.0,0.0,558.7812327962783
2016-01-07,682.3242163636364,58.28905507456938,1094.638318065442,682.3242163636364,682.3242163636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.37631970027076,-99.37631970027076,-99.37631970027076,-54.09040080010772,-54.09040080010772,-54.09040080010772,0.0,0.0,0.0,-45.285918900163026,-45.285918900163026,-45.285918900163026,0.0,0.0,0.0,582.9478966633657
2016-01-08,690.8574090909091,155.89958220220655,1168.1532515712854,690.8574090909091,690.8574090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.945231056631531,-9.945231056631531,-9.945231056631531,-44.16277151461354,-44.16277151461354,-44.16277151461354,0.0,0.0,0.0,34.217540457982004,34.217540457982004,34.217540457982004,0.0,0.0,0.0,680.9121780342775
2016-01-09,699.3906018181818,440.5928930146775,1522.8554432639203,699.3906018181818,699.3906018181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.97417311743874,269.97417311743874,269.97417311743874,144.15929654522142,144.15929654522142,144.15929654522142,0.0,0.0,0.0,125.81487657221737,125.81487657221737,125.81487657221737,0.0,0.0,0.0,969.3647749356205
2016-01-10,707.9237945454546,460.23399814782243,1396.1988244236973,707.9237945454546,707.9237945454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.60902618118445,216.60902618118445,216.60902618118445,112.99002434911992,112.99002434911992,112.99002434911992,0.0,0.0,0.0,103.61900183206453,103.61900183206453,103.61900183206453,0.0,0.0,0.0,924.5328207266391
