ds,y
2016-01-01,363.0
2016-01-02,882.0
2016-01-03,500.0
2016-01-04,459.0
2016-01-05,565.0
2016-01-06,484.0
2016-01-07,558.0
2016-01-08,1092.0
2016-01-09,965.0
2016-01-10,478.0
2016-01-11,464.0
2016-01-12,605.0
2016-01-13,604.0
2016-01-14,531.0
2016-01-15,1266.0
2016-01-16,800.0
2016-01-17,606.0
2016-01-18,382.0
2016-01-19,629.0
2016-01-20,545.0
2016-01-21,810.0
2016-01-22,1067.0
2016-01-23,1257.0
2016-01-24,812.0
2016-01-25,537.0
2016-01-26,660.0
2016-01-27,554.0
2016-01-28,845.0
2016-01-29,3180.0
2016-01-30,1317.0
2016-01-31,655.0
2016-03-01,606.0
2016-03-02,498.0
2016-03-03,498.0
2016-03-04,990.0
2016-03-05,1050.0
2016-03-06,1055.0
2016-03-07,724.0
2016-03-08,899.0
2016-03-09,611.0
2016-03-10,383.0
2016-03-11,713.0
2016-03-12,1070.0
2016-03-13,1110.0
2016-03-14,461.0
2016-03-15,533.0
2016-03-16,617.0
2016-03-17,632.0
2016-03-18,767.0
2016-03-19,1152.0
2016-03-20,992.0
2016-03-21,1116.0
2016-03-22,659.0
2016-03-23,717.0
2016-03-24,581.0
2016-03-25,1077.0
2016-03-26,1315.0
2016-03-27,1296.0
2016-03-28,795.0
2016-03-29,1202.0
2016-03-30,580.0
2016-03-31,1592.0
2016-04-01,715.0
2016-04-02,1055.0
2016-04-03,1037.0
2016-04-04,656.0
2016-04-05,495.0
2016-04-06,387.0
2016-04-07,654.0
2016-04-08,671.0
2016-04-09,660.0
2016-04-10,808.0
2016-04-11,634.0
2016-04-12,621.0
2016-04-13,713.0
2016-04-14,754.0
2016-04-15,925.0
2016-04-16,1547.0
2016-04-17,1386.0
2016-04-18,1524.0
2016-04-19,736.0
2016-04-20,585.0
2016-04-21,845.0
2016-04-22,885.0
2016-04-23,1478.0
2016-04-24,1159.0
2016-04-25,510.0
2016-04-26,1101.0
2016-04-27,606.0
2016-04-28,1107.0
2016-04-29,647.0
2016-04-30,1231.0
2016-05-01,1254.0
2016-05-02,588.0
2016-05-03,570.0
2016-05-04,1033.0
2016-05-05,1014.0
2016-05-06,770.0
2016-05-07,1225.0
2016-05-08,848.0
2016-05-09,995.0
2016-05-10,633.0
2016-05-11,1050.0
2016-05-12,750.0
2016-05-13,968.0
2016-05-14,1734.0
2016-05-15,969.0
2016-05-16,726.0
2016-05-17,791.0
2016-05-18,856.0
2016-05-19,680.0
2016-05-20,1204.0
2016-05-21,1375.0
2016-05-22,1267.0
2016-05-23,885.0
2016-05-24,810.0
2016-05-25,536.0
2016-05-26,438.0
2016-05-27,377.0
2016-05-28,807.0
2016-05-29,1249.0
2016-05-30,576.0
2016-05-31,847.0
2016-06-01,286.0
2016-06-02,1084.0
2016-06-03,744.0
2016-06-04,775.0
2016-06-05,1276.0
2016-06-06,980.0
2016-06-07,577.0
2016-06-08,551.0
2016-06-09,535.0
2016-06-10,753.0
2016-06-11,1003.0
2016-06-12,1219.0
2016-06-13,612.0
2016-06-14,675.0
2016-06-15,549.0
2016-06-16,634.0
2016-06-17,865.0
2016-06-18,902.0
2016-06-19,1259.0
2016-06-20,1132.0
2016-06-21,657.0
2016-06-22,879.0
2016-06-23,461.0
2016-06-24,840.0
2016-06-25,840.0
2016-06-26,712.0
2016-06-27,671.0
2016-06-28,1036.0
2016-06-29,954.0
2016-06-30,730.0
2016-07-01,1508.0
2016-07-02,1155.0
2016-07-03,1463.0
2016-07-04,833.0
2016-07-05,678.0
2016-07-06,569.0
2016-07-07,725.0
2016-07-08,838.0
2016-07-09,1176.0
2016-07-10,857.0
2016-07-11,740.0
2016-07-12,533.0
2016-07-13,788.0
2016-07-14,545.0
2016-07-15,806.0
2016-07-16,1149.0
2016-07-17,1138.0
2016-07-18,772.0
2016-07-19,364.0
2016-07-20,1161.0
2016-07-21,571.0
2016-07-22,726.0
2016-07-23,987.0
2016-07-24,928.0
2016-07-25,973.0
2016-07-26,524.0
2016-07-27,516.0
