ds,y
2016-01-01,518.0
2016-01-02,1521.0
2016-01-03,585.0
2016-01-04,610.0
2016-01-05,485.0
2016-01-06,679.0
2016-01-07,998.0
2016-01-08,1199.0
2016-01-09,1346.0
2016-01-10,587.0
2016-01-11,531.0
2016-01-12,671.0
2016-01-13,575.0
2016-01-14,1249.0
2016-01-15,1143.0
2016-01-16,1414.0
2016-01-17,617.0
2016-01-18,680.0
2016-01-19,646.0
2016-01-20,496.0
2016-01-21,1134.0
2016-01-22,1267.0
2016-01-23,1123.0
2016-01-24,652.0
2016-01-25,576.0
2016-01-26,1019.0
2016-01-27,625.0
2016-01-28,976.0
2016-01-29,1797.0
2016-01-30,1287.0
2016-01-31,667.0
2016-03-01,755.0
2016-03-02,577.0
2016-03-03,564.0
2016-03-04,416.0
2016-03-05,1337.0
2016-03-06,1021.0
2016-03-07,932.0
2016-03-08,720.0
2016-03-09,1477.0
2016-03-10,791.0
2016-03-11,794.0
2016-03-12,1323.0
2016-03-13,1092.0
2016-03-14,482.0
2016-03-15,978.0
2016-03-16,598.0
2016-03-17,757.0
2016-03-18,784.0
2016-03-19,1103.0
2016-03-20,1212.0
2016-03-21,873.0
2016-03-22,1711.0
2016-03-23,438.0
2016-03-24,612.0
2016-03-25,575.0
2016-03-26,1145.0
2016-03-27,843.0
2016-03-28,1144.0
2016-03-29,824.0
2016-03-30,988.0
2016-03-31,687.0
2016-04-01,502.0
2016-04-02,1100.0
2016-04-03,1470.0
2016-04-04,893.0
2016-04-05,653.0
2016-04-06,863.0
2016-04-07,675.0
2016-04-08,932.0
2016-04-09,969.0
2016-04-10,1326.0
2016-04-11,802.0
2016-04-12,662.0
2016-04-13,732.0
2016-04-14,936.0
2016-04-15,775.0
2016-04-16,862.0
2016-04-17,1096.0
2016-04-18,1043.0
2016-04-19,655.0
2016-04-20,951.0
2016-04-21,695.0
2016-04-22,723.0
2016-04-23,819.0
2016-04-24,981.0
2016-04-25,889.0
2016-04-26,777.0
2016-04-27,844.0
2016-04-28,848.0
2016-04-29,842.0
2016-04-30,1140.0
2016-05-01,1448.0
2016-05-02,798.0
2016-05-03,616.0
2016-05-04,310.0
2016-05-05,761.0
2016-05-06,1020.0
2016-05-07,670.0
2016-05-08,1147.0
2016-05-09,552.0
2016-05-10,762.0
2016-05-11,700.0
2016-05-12,761.0
2016-05-13,849.0
2016-05-14,1041.0
2016-05-15,1991.0
2016-05-16,615.0
2016-05-17,798.0
2016-05-18,819.0
2016-05-19,401.0
2016-05-20,719.0
2016-05-21,961.0
2016-05-22,905.0
2016-05-23,539.0
2016-05-24,964.0
2016-05-25,599.0
2016-05-26,1270.0
2016-05-27,345.0
2016-05-28,1139.0
2016-05-29,858.0
2016-05-30,525.0
2016-05-31,789.0
2016-06-01,1004.0
2016-06-02,1306.0
2016-06-03,799.0
2016-06-04,881.0
2016-06-05,1594.0
2016-06-06,794.0
2016-06-07,976.0
2016-06-08,283.0
2016-06-09,735.0
2016-06-10,655.0
2016-06-11,1456.0
2016-06-12,798.0
2016-06-13,406.0
2016-06-14,876.0
2016-06-15,491.0
2016-06-16,950.0
2016-06-17,680.0
2016-06-18,1012.0
2016-06-19,1313.0
2016-06-20,619.0
2016-06-21,435.0
2016-06-22,504.0
2016-06-23,678.0
2016-06-24,1032.0
2016-06-25,1331.0
2016-06-26,1271.0
2016-06-27,915.0
2016-06-28,873.0
2016-06-29,946.0
2016-06-30,325.0
2016-07-01,984.0
2016-07-02,1432.0
2016-07-03,784.0
2016-07-04,690.0
2016-07-05,1182.0
2016-07-06,677.0
2016-07-07,539.0
2016-07-08,655.0
2016-07-09,1060.0
2016-07-10,1219.0
2016-07-11,738.0
2016-07-12,885.0
2016-07-13,978.0
2016-07-14,743.0
2016-07-15,1032.0
2016-07-16,1122.0
2016-07-17,1442.0
2016-07-18,678.0
2016-07-19,970.0
2016-07-20,549.0
2016-07-21,770.0
2016-07-22,1008.0
2016-07-23,1026.0
2016-07-24,1258.0
2016-07-25,647.0
2016-07-26,794.0
2016-07-27,770.0
2016-07-28,381.0
2016-07-29,1372.0
2016-07-30,997.0
2016-07-31,1206.0
2016-08-01,755.0
