ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,4033.7045139999996,4148.679943819571,7483.019568579352,4033.7045139999996,4033.7045139999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.6433599999998,1613.6433599999998,1613.6433599999998,0.0,0.0,0.0,0.0,0.0,0.0,1810.9983162431486,1810.9983162431486,1810.9983162431486,240.98581224250358,240.98581224250358,240.98581224250358,1613.6433599999998,1613.6433599999998,1613.6433599999998,-43.63085599935482,-43.63085599935482,-43.63085599935482,0.0,0.0,0.0,5844.702830243148
2016-01-02,4063.8900929124575,3840.250235703045,7121.740376799258,4063.8900929124575,4063.8900929124575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.9583890390393,1453.9583890390393,1453.9583890390393,779.1306481288352,779.1306481288352,779.1306481288352,0.0,0.0,0.0,674.827740910204,674.827740910204,674.827740910204,0.0,0.0,0.0,5517.848481951497
2016-01-03,4094.0756718249154,3999.0468561492607,7338.786133736928,4094.0756718249154,4094.0756718249154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.568645382836,1453.568645382836,1453.568645382836,785.05028354498,785.05028354498,785.05028354498,0.0,0.0,0.0,668.518361837856,668.518361837856,668.518361837856,0.0,0.0,0.0,5547.644317207752
2016-01-04,4124.261250737373,1900.9855654971,5236.250630927834,4124.261250737373,4124.261250737373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-633.0945877816896,-633.0945877816896,-633.0945877816896,-289.17808373318667,-289.17808373318667,-289.17808373318667,0.0,0.0,0.0,-343.9165040485031,-343.9165040485031,-343.9165040485031,0.0,0.0,0.0,3491.166662955684
2016-01-05,4154.446829649832,1764.6680198095005,5394.357217831332,4154.446829649832,4154.446829649832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-628.8191094793428,-628.8191094793428,-628.8191094793428,-294.792907175476,-294.792907175476,-294.792907175476,0.0,0.0,0.0,-334.02620230386697,-334.02620230386697,-334.02620230386697,0.0,0.0,0.0,3525.627720170489
2016-01-06,4184.632408562289,2046.3357217647604,5361.109326359678,4184.632408562289,4184.632408562289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-435.21797864029907,-435.21797864029907,-435.21797864029907,-125.91825680381122,-125.91825680381122,-125.91825680381122,0.0,0.0,0.0,-309.2997218364878,-309.2997218364878,-309.2997218364878,0.0,0.0,0.0,3749.41442992199
2016-01-07,4214.817987474747,1962.139678243769,5346.348464842432,4214.817987474747,4214.817987474747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-601.1005521738234,-601.1005521738234,-601.1005521738234,-288.6277336123441,-288.6277336123441,-288.6277336123441,0.0,0.0,0.0,-312.4728185614792,-312.4728185614792,-312.4728185614792,0.0,0.0,0.0,3613.717435300923
2016-01-08,4245.003566387205,2319.164390069878,5436.274742118981,4245.003566387205,4245.003566387205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-371.8783802381221,-371.8783802381221,-371.8783802381221,-328.247524240001,-328.247524240001,-328.247524240001,0.0,0.0,0.0,-43.63085599812103,-43.63085599812103,-43.63085599812103,0.0,0.0,0.0,3873.1251861490828
2016-01-09,4275.189145299662,3917.72367249688,7180.487688942294,4275.189145299662,4275.189145299662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.3525745982781,1245.3525745982781,1245.3525745982781,570.5248336897207,570.5248336897207,570.5248336897207,0.0,0.0,0.0,674.8277409085574,674.8277409085574,674.8277409085574,0.0,0.0,0.0,5520.54171989794
2016-01-10,4305.374724212122,3815.667597445835,7175.030520070441,4305.374724212122,4305.374724212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.5048019660912,1220.5048019660912,1220.5048019660912,551.9864401296386,551.9864401296386,551.9864401296386,0.0,0.0,0.0,668.5183618364525,668.5183618364525,668.5183618364525,0.0,0.0,0.0,5525.8795261782125
