ds,y
2016-01-01,5835.0
2016-01-02,7485.0
2016-01-03,5692.0
2016-01-04,1542.0
2016-01-05,2217.0
2016-01-06,2942.0
2016-01-07,3364.0
2016-01-08,5341.0
2016-01-09,6365.0
2016-01-10,3670.0
2016-01-11,2365.0
2016-01-12,2418.0
2016-01-13,2462.0
2016-01-14,3816.0
2016-01-15,9195.0
2016-01-16,5092.0
2016-01-17,6417.0
2016-01-18,3964.0
2016-01-19,1794.0
2016-01-20,3020.0
2016-01-21,4214.0
2016-01-22,6872.0
2016-01-23,5334.0
2016-01-24,5046.0
2016-01-25,2313.0
2016-01-26,2460.0
2016-01-27,3155.0
2016-01-28,4607.0
2016-01-29,11879.0
2016-01-30,7769.0
2016-01-31,7474.0
2016-03-01,3456.0
2016-03-02,3935.0
2016-03-03,3714.0
2016-03-04,3629.0
2016-03-05,5204.0
2016-03-06,5438.0
2016-03-07,3180.0
2016-03-08,3191.0
2016-03-09,3400.0
2016-03-10,2972.0
2016-03-11,2773.0
2016-03-12,5088.0
2016-03-13,5261.0
2016-03-14,2945.0
2016-03-15,3465.0
2016-03-16,4635.0
2016-03-17,3809.0
2016-03-18,2792.0
2016-03-19,5481.0
2016-03-20,4969.0
2016-03-21,4104.0
2016-03-22,3917.0
2016-03-23,2706.0
2016-03-24,4362.0
2016-03-25,2983.0
2016-03-26,5428.0
2016-03-27,5491.0
2016-03-28,4829.0
2016-03-29,3096.0
2016-03-30,3310.0
2016-03-31,4193.0
2016-04-01,3339.0
2016-04-02,4383.0
2016-04-03,5458.0
2016-04-04,4453.0
2016-04-05,3219.0
2016-04-06,4027.0
2016-04-07,3676.0
2016-04-08,4562.0
2016-04-09,5773.0
2016-04-10,4715.0
2016-04-11,4100.0
2016-04-12,2802.0
2016-04-13,4169.0
2016-04-14,4194.0
2016-04-15,3843.0
2016-04-16,5418.0
2016-04-17,4055.0
2016-04-18,4262.0
2016-04-19,3529.0
2016-04-20,2630.0
2016-04-21,3199.0
2016-04-22,3606.0
2016-04-23,4441.0
2016-04-24,5166.0
2016-04-25,4196.0
2016-04-26,2987.0
2016-04-27,4695.0
2016-04-28,3659.0
2016-04-29,3715.0
2016-04-30,4967.0
2016-05-01,5894.0
2016-05-02,3659.0
2016-05-03,3551.0
2016-05-04,3133.0
2016-05-05,3880.0
2016-05-06,3166.0
2016-05-07,5446.0
2016-05-08,6023.0
