ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,1228.024395,-86.45657521664775,1271.9412607342822,1228.024395,1228.024395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.487601,-640.487601,-640.487601,0.0,0.0,0.0,0.0,0.0,0.0,-605.3709718862308,-605.3709718862308,-605.3709718862308,53.01149238186351,53.01149238186351,53.01149238186351,-640.487601,-640.487601,-640.487601,-17.894863268094216,-17.894863268094216,-17.894863268094216,0.0,0.0,0.0,622.6534231137691
2016-01-02,1230.3754773030303,1019.3229919640221,2427.7501566026563,1230.3754773030303,1230.3754773030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.26594330441225,501.26594330441225,501.26594330441225,248.90151804955096,248.90151804955096,248.90151804955096,0.0,0.0,0.0,252.36442525486126,252.36442525486126,252.36442525486126,0.0,0.0,0.0,1731.6414206074426
2016-01-03,1232.7265596060606,842.2004211207243,2187.340574733587,1232.7265596060606,1232.7265596060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.8773164411326,282.8773164411326,282.8773164411326,128.3575902357059,128.3575902357059,128.3575902357059,0.0,0.0,0.0,154.51972620542674,154.51972620542674,154.51972620542674,0.0,0.0,0.0,1515.6038760471934
2016-01-04,1235.077641909091,315.89793020592737,1713.7892976862404,1235.077641909091,1235.077641909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.98792535461743,-192.98792535461743,-192.98792535461743,-92.79909121960458,-92.79909121960458,-92.79909121960458,0.0,0.0,0.0,-100.18883413501291,-100.18883413501291,-100.18883413501291,0.0,0.0,0.0,1042.0897165544736
2016-01-05,1237.428724212121,455.025181959459,1810.9754562752755,1237.428724212121,1237.428724212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.3294461262863,-130.3294461262863,-130.3294461262863,-69.20066728352651,-69.20066728352651,-69.20066728352651,0.0,0.0,0.0,-61.128778842759814,-61.128778842759814,-61.128778842759814,0.0,0.0,0.0,1107.0992780858348
2016-01-06,1239.7798065151514,360.83294995317243,1731.9466859450024,1239.7798065151514,1239.7798065151514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.39133857944807,-204.39133857944807,-204.39133857944807,-75.32721422495935,-75.32721422495935,-75.32721422495935,0.0,0.0,0.0,-129.06412435448868,-129.06412435448868,-129.06412435448868,0.0,0.0,0.0,1035.3884679357034
2016-01-07,1242.1308888181818,368.2271710388168,1734.4385886923178,1242.1308888181818,1242.1308888181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.98503628068468,-202.98503628068468,-202.98503628068468,-104.37748542032179,-104.37748542032179,-104.37748542032179,0.0,0.0,0.0,-98.60755086036295,-98.60755086036295,-98.60755086036295,0.0,0.0,0.0,1039.1458525374971
2016-01-08,1244.4819711212122,457.89000910455525,1838.642138608533,1244.4819711212122,1244.4819711212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.69608218518266,-106.69608218518266,-106.69608218518266,-88.80121891757385,-88.80121891757385,-88.80121891757385,0.0,0.0,0.0,-17.894863267608862,-17.894863267608862,-17.894863267608862,0.0,0.0,0.0,1137.7858889360296
2016-01-09,1246.8330534242425,1105.5227747526194,2452.9939546137625,1246.8330534242425,1246.8330534242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.1917577143361,508.1917577143361,508.1917577143361,255.82733245976578,255.82733245976578,255.82733245976578,0.0,0.0,0.0,252.36442525457028,252.36442525457028,252.36442525457028,0.0,0.0,0.0,1755.0248111385786
2016-01-10,1249.1841357272726,858.2328019560659,2242.4702241920845,1249.1841357272726,1249.1841357272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.20158837962435,335.20158837962435,335.20158837962435,180.6818621747077,180.6818621747077,180.6818621747077,0.0,0.0,0.0,154.5197262049167,154.5197262049167,154.5197262049167,0.0,0.0,0.0,1584.385724106897
