ds,y
2016-01-01,617.0
2016-01-02,1786.0
2016-01-03,993.0
2016-01-04,585.0
2016-01-05,766.0
2016-01-06,996.0
2016-01-07,997.0
2016-01-08,1647.0
2016-01-09,2055.0
2016-01-10,797.0
2016-01-11,985.0
2016-01-12,1041.0
2016-01-13,873.0
2016-01-14,1121.0
2016-01-15,1967.0
2016-01-16,2158.0
2016-01-17,1147.0
2016-01-18,762.0
2016-01-19,776.0
2016-01-20,822.0
2016-01-21,1760.0
2016-01-22,1987.0
2016-01-23,2349.0
2016-01-24,982.0
2016-01-25,707.0
2016-01-26,847.0
2016-01-27,985.0
2016-01-28,1153.0
2016-01-29,2691.0
2016-01-30,2247.0
2016-01-31,1220.0
2016-03-01,1872.0
2016-03-02,767.0
2016-03-03,1064.0
2016-03-04,947.0
2016-03-05,1278.0
2016-03-06,1651.0
2016-03-07,1318.0
2016-03-08,1223.0
2016-03-09,830.0
2016-03-10,944.0
2016-03-11,750.0
2016-03-12,1550.0
2016-03-13,1930.0
2016-03-14,404.0
2016-03-15,984.0
2016-03-16,1077.0
2016-03-17,925.0
2016-03-18,1637.0
2016-03-19,1273.0
2016-03-20,2253.0
2016-03-21,916.0
2016-03-22,1735.0
2016-03-23,1316.0
2016-03-24,1254.0
2016-03-25,1190.0
2016-03-26,1924.0
2016-03-27,1469.0
2016-03-28,1196.0
2016-03-29,1631.0
2016-03-30,2270.0
2016-03-31,1578.0
2016-04-01,790.0
2016-04-02,1942.0
2016-04-03,1630.0
2016-04-04,867.0
2016-04-05,1153.0
2016-04-06,1408.0
2016-04-07,898.0
2016-04-08,651.0
2016-04-09,1773.0
2016-04-10,1867.0
2016-04-11,926.0
2016-04-12,1112.0
2016-04-13,757.0
2016-04-14,1063.0
2016-04-15,1211.0
2016-04-16,2293.0
2016-04-17,1570.0
2016-04-18,1360.0
2016-04-19,1103.0
2016-04-20,1191.0
2016-04-21,878.0
2016-04-22,1887.0
2016-04-23,2280.0
2016-04-24,1720.0
2016-04-25,1631.0
2016-04-26,1238.0
2016-04-27,1071.0
2016-04-28,713.0
2016-04-29,583.0
2016-04-30,1630.0
2016-05-01,1282.0
2016-05-02,1144.0
2016-05-03,842.0
2016-05-04,1288.0
2016-05-05,724.0
2016-05-06,899.0
2016-05-07,1667.0
2016-05-08,1823.0
2016-05-09,1313.0
2016-05-10,903.0
2016-05-11,1140.0
2016-05-12,1136.0
2016-05-13,1011.0
2016-05-14,2213.0
2016-05-15,1950.0
2016-05-16,808.0
2016-05-17,1198.0
2016-05-18,1190.0
2016-05-19,777.0
2016-05-20,1742.0
2016-05-21,1902.0
2016-05-22,2073.0
2016-05-23,832.0
2016-05-24,1648.0
2016-05-25,935.0
2016-05-26,918.0
2016-05-27,1043.0
2016-05-28,2243.0
2016-05-29,2173.0
2016-05-30,902.0
2016-05-31,720.0
2016-06-01,790.0
2016-06-02,1127.0
2016-06-03,1744.0
2016-06-04,1580.0
2016-06-05,2163.0
2016-06-06,913.0
2016-06-07,943.0
2016-06-08,889.0
2016-06-09,1067.0
2016-06-10,1652.0
2016-06-11,1985.0
2016-06-12,1330.0
2016-06-13,1101.0
2016-06-14,1719.0
2016-06-15,1049.0
2016-06-16,1603.0
2016-06-17,1274.0
2016-06-18,1919.0
2016-06-19,1351.0
2016-06-20,1377.0
2016-06-21,1365.0
2016-06-22,1296.0
2016-06-23,1169.0
2016-06-24,1142.0
2016-06-25,2117.0
2016-06-26,2231.0
2016-06-27,1783.0
2016-06-28,1186.0
2016-06-29,1068.0
2016-06-30,1280.0
2016-07-01,668.0
2016-07-02,1709.0
2016-07-03,1518.0
2016-07-04,1236.0
2016-07-05,1191.0
2016-07-06,1280.0
2016-07-07,1212.0
2016-07-08,1032.0
2016-07-09,1174.0
2016-07-10,1972.0
2016-07-11,1107.0
2016-07-12,1379.0
2016-07-13,1081.0
2016-07-14,1239.0
2016-07-15,1073.0
2016-07-16,1564.0
2016-07-17,1260.0
2016-07-18,829.0
2016-07-19,1053.0
2016-07-20,1384.0
2016-07-21,1415.0
2016-07-22,1144.0
2016-07-23,1862.0
2016-07-24,1793.0
2016-07-25,680.0
2016-07-26,1543.0
2016-07-27,618.0
2016-07-28,1338.0
2016-07-29,1375.0
2016-07-30,1359.0
2016-07-31,1800.0
2016-08-01,1872.0
2016-08-02,767.0
2016-08-03,1064.0
2016-08-04,947.0
2016-08-05,738.0
2016-08-06,1641.0
2016-08-07,1852.0
2016-08-08,1223.0
2016-08-09,830.0
2016-08-10,944.0
