ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,567.54178,-28.23169112029228,541.7459332897372,567.54178,567.54178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-323.44057200000003,-323.44057200000003,-323.44057200000003,0.0,0.0,0.0,0.0,0.0,0.0,-303.26918994541865,-303.26918994541865,-303.26918994541865,13.204491982964825,13.204491982964825,13.204491982964825,-323.44057200000003,-323.44057200000003,-323.44057200000003,6.96689007161655,6.96689007161655,6.96689007161655,0.0,0.0,0.0,264.27259005458137
2016-01-02,563.5881832323232,382.61772578416276,955.4117212052768,563.5881832323232,563.5881832323232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8343989459195,113.8343989459195,113.8343989459195,59.57952113329173,59.57952113329173,59.57952113329173,0.0,0.0,0.0,54.2548778126278,54.2548778126278,54.2548778126278,0.0,0.0,0.0,677.4225821782427
2016-01-03,559.6345864646465,391.8010243780869,925.8742272142765,559.6345864646465,559.6345864646465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.82886031085931,107.82886031085931,107.82886031085931,66.8501937816576,66.8501937816576,66.8501937816576,0.0,0.0,0.0,40.978666529201725,40.978666529201725,40.978666529201725,0.0,0.0,0.0,667.4634467755059
2016-01-04,555.6809896969697,288.61895851664906,827.453295301982,555.6809896969697,555.6809896969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7281082020664322,2.7281082020664322,2.7281082020664322,23.63792073707751,23.63792073707751,23.63792073707751,0.0,0.0,0.0,-20.909812535011078,-20.909812535011078,-20.909812535011078,0.0,0.0,0.0,558.4090978990362
2016-01-05,551.727392929293,175.4805358455946,743.9324506137906,551.727392929293,551.727392929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.15638713280053,-81.15638713280053,-81.15638713280053,-52.01147157987856,-52.01147157987856,-52.01147157987856,0.0,0.0,0.0,-29.144915552921972,-29.144915552921972,-29.144915552921972,0.0,0.0,0.0,470.5710057964925
2016-01-06,547.7737961616162,210.7085706880977,743.2716700982784,547.7737961616162,547.7737961616162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.4800486875933,-67.4800486875933,-67.4800486875933,-42.67354151168434,-42.67354151168434,-42.67354151168434,0.0,0.0,0.0,-24.806507175908948,-24.806507175908948,-24.806507175908948,0.0,0.0,0.0,480.29374747402295
2016-01-07,543.8201993939393,203.26250685767778,745.2514186829517,543.8201993939393,543.8201993939393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.39737357930326,-78.39737357930326,-78.39737357930326,-51.05817442961512,-51.05817442961512,-51.05817442961512,0.0,0.0,0.0,-27.339199149688156,-27.339199149688156,-27.339199149688156,0.0,0.0,0.0,465.4228258146361
2016-01-08,539.8666026262626,285.2388374720652,843.6119656391304,539.8666026262626,539.8666026262626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.696178232046371,7.696178232046371,7.696178232046371,0.7292881603432056,0.7292881603432056,0.7292881603432056,0.0,0.0,0.0,6.966890071703152,6.966890071703152,6.966890071703152,0.0,0.0,0.0,547.562780858309
2016-01-09,535.9130058585858,363.6426864901747,913.1539683425123,535.9130058585858,535.9130058585858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.18511230450873,103.18511230450873,103.18511230450873,48.93023449196716,48.93023449196716,48.93023449196716,0.0,0.0,0.0,54.25487781254158,54.25487781254158,54.25487781254158,0.0,0.0,0.0,639.0981181630946
2016-01-10,531.9594090909092,278.21022383586484,861.0685525224927,531.9594090909092,531.9594090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.08580580572428,56.08580580572428,56.08580580572428,15.107139276616916,15.107139276616916,15.107139276616916,0.0,0.0,0.0,40.97866652910734,40.97866652910734,40.97866652910734,0.0,0.0,0.0,588.0452148966334
2016-01-11,528.0058122362083,182.4867339539604,726.8791667210477,528.0058122362083,528.0058122362083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.3673583421886,-86.3673583421886,-86.3673583421886,-65.4575458071569,-65.4575458071569,-65.4575458071569,0.0,0.0,0.0,-20.909812535031705,-20.909812535031705,-20.909812535031705,0.0,0.0,0.0,441.6384538940197
2016-01-12,524.0522153815073,211.8576630475083,763.6139550043446,524.0522153815073,524.0522153815073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.42327507903455,-35.42327507903455,-35.42327507903455,-6.278359526041711,-6.278359526041711,-6.278359526041711,0.0,0.0,0.0,-29.144915552992874,-29.144915552992874,-29.144915552992874,0.0,0.0,0.0,488.6289403024727
2016-01-13,520.0986185268064,205.09171466653046,759.8029003319404,520.0986185268064,520.0986185268064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.745980015985428,-31.745980015985428,-31.745980015985428,-6.939472840061469,-6.939472840061469,-6.939472840061469,0.0,0.0,0.0,-24.806507175923947,-24.806507175923947,-24.806507175923947,0.0,0.0,0.0,488.35263851082095
2016-01-14,516.1450216721054,199.70703533617092,771.6579082477549,516.1450216721054,516.1450216721054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.959423019287602,-30.959423019287602,-30.959423019287602,-3.6202238696208306,-3.6202238696208306,-3.6202238696208306,0.0,0.0,0.0,-27.339199149666772,-27.339199149666772,-27.339199149666772,0.0,0.0,0.0,485.18559865281776
