ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,1304.6047259999998,240.68295790599467,1581.0463397878023,1304.6047259999998,1304.6047259999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-406.7909262,-406.7909262,-406.7909262,0.0,0.0,0.0,0.0,0.0,0.0,-354.86762962508504,-354.86762962508504,-354.86762962508504,88.39469774660893,88.39469774660893,88.39469774660893,-406.7909262,-406.7909262,-406.7909262,-36.47140117169398,-36.47140117169398,-36.47140117169398,0.0,0.0,0.0,949.7370963749147
2016-01-02,1312.1482505858585,1083.5288816737443,2450.3408282742466,1312.1482505858585,1312.1482505858585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.8572084916189,430.8572084916189,430.8572084916189,214.48248254353769,214.48248254353769,214.48248254353769,0.0,0.0,0.0,216.3747259480812,216.3747259480812,216.3747259480812,0.0,0.0,0.0,1743.0054590774773
2016-01-04,1327.2352997575758,442.17253108770865,1847.946106616061,1327.2352997575758,1327.2352997575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.01399747134238,-149.01399747134238,-149.01399747134238,-55.6361693325868,-55.6361693325868,-55.6361693325868,0.0,0.0,0.0,-93.37782813875558,-93.37782813875558,-93.37782813875558,0.0,0.0,0.0,1178.2213022862334
2016-01-05,1334.7788243434343,512.8030526323872,1904.1483011048392,1334.7788243434343,1334.7788243434343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136.9981338697507,-136.9981338697507,-136.9981338697507,-47.97577636478577,-47.97577636478577,-47.97577636478577,0.0,0.0,0.0,-89.0223575049649,-89.0223575049649,-89.0223575049649,0.0,0.0,0.0,1197.7806904736835
2016-01-06,1342.322348929293,511.3288940770084,1844.6303090723861,1342.322348929293,1342.322348929293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.25179425031652,-166.25179425031652,-166.25179425031652,-66.95694492830421,-66.95694492830421,-66.95694492830421,0.0,0.0,0.0,-99.29484932201235,-99.29484932201235,-99.29484932201235,0.0,0.0,0.0,1176.0705546789764
2016-01-07,1349.8658735151514,517.8441877622344,1933.959979771769,1349.8658735151514,1349.8658735151514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.17318930089994,-145.17318930089994,-145.17318930089994,-61.96533882044214,-61.96533882044214,-61.96533882044214,0.0,0.0,0.0,-83.20785048045778,-83.20785048045778,-83.20785048045778,0.0,0.0,0.0,1204.6926842142516
2016-01-08,1357.4093981010099,473.55737161964,1811.1876964782005,1357.4093981010099,1357.4093981010099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-197.80890126094997,-197.80890126094997,-197.80890126094997,-161.33750008963105,-161.33750008963105,-161.33750008963105,0.0,0.0,0.0,-36.47140117131892,-36.47140117131892,-36.47140117131892,0.0,0.0,0.0,1159.6004968400598
2016-01-09,1364.9529226868685,1124.7863219933017,2460.970007784542,1364.9529226868685,1364.9529226868685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.6416952996486,434.6416952996486,434.6416952996486,218.26696935205266,218.26696935205266,218.26696935205266,0.0,0.0,0.0,216.37472594759598,216.37472594759598,216.37472594759598,0.0,0.0,0.0,1799.594617986517
2016-01-10,1372.4964472727272,1119.7642861994286,2527.0315817401943,1372.4964472727272,1372.4964472727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.90114142121007,399.90114142121007,399.90114142121007,214.90158075236653,214.90158075236653,214.90158075236653,0.0,0.0,0.0,184.99956066884354,184.99956066884354,184.99956066884354,0.0,0.0,0.0,1772.3975886939372
2016-01-11,1380.0399718585857,440.8441439346692,1818.2470349058706,1380.0399718585857,1380.0399718585857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-224.49731508382038,-224.49731508382038,-224.49731508382038,-131.11948694498707,-131.11948694498707,-131.11948694498707,0.0,0.0,0.0,-93.37782813883334,-93.37782813883334,-93.37782813883334,0.0,0.0,0.0,1155.5426567747652
