ds,y
2016-01-01,950.0
2016-01-02,1930.0
2016-01-04,1047.0
2016-01-05,919.0
2016-01-06,962.0
2016-01-07,1304.0
2016-01-08,1516.0
2016-01-09,2205.0
2016-01-10,994.0
2016-01-11,1099.0
2016-01-12,858.0
2016-01-13,843.0
2016-01-14,1502.0
2016-01-15,1735.0
2016-01-16,2068.0
2016-01-17,1226.0
2016-01-18,813.0
2016-01-19,867.0
2016-01-20,981.0
2016-01-21,1752.0
2016-01-22,1934.0
2016-01-23,2365.0
2016-01-24,1451.0
2016-01-25,769.0
2016-01-26,748.0
2016-01-27,886.0
2016-01-28,1341.0
2016-01-29,4854.0
2016-01-30,2338.0
2016-01-31,1291.0
2016-03-01,1756.0
2016-03-02,990.0
2016-03-03,738.0
2016-03-04,609.0
2016-03-05,1748.0
2016-03-06,1701.0
2016-03-07,1232.0
2016-03-08,1237.0
2016-03-09,1382.0
2016-03-10,1038.0
2016-03-11,1126.0
2016-03-12,1447.0
2016-03-13,1594.0
2016-03-14,1255.0
2016-03-15,716.0
2016-03-16,1760.0
2016-03-17,892.0
2016-03-18,932.0
2016-03-19,1998.0
2016-03-20,1518.0
2016-03-21,1107.0
2016-03-22,915.0
2016-03-23,1323.0
2016-03-24,1020.0
2016-03-25,1273.0
2016-03-26,1847.0
2016-03-27,1590.0
2016-03-28,1646.0
2016-03-29,1254.0
2016-03-30,779.0
2016-03-31,1317.0
2016-04-01,1162.0
2016-04-02,1312.0
2016-04-03,1760.0
2016-04-04,1344.0
2016-04-05,776.0
2016-04-06,925.0
2016-04-07,780.0
2016-04-08,1172.0
2016-04-09,1422.0
2016-04-10,1729.0
2016-04-11,832.0
2016-04-12,1169.0
2016-04-13,1305.0
2016-04-14,1295.0
2016-04-15,1224.0
2016-04-16,1796.0
2016-04-17,2105.0
2016-04-18,919.0
2016-04-19,1375.0
2016-04-20,1017.0
2016-04-21,1063.0
2016-04-22,1085.0
2016-04-23,1893.0
2016-04-24,1512.0
2016-04-25,766.0
2016-04-26,893.0
2016-04-27,950.0
2016-04-28,1459.0
2016-04-29,1335.0
2016-04-30,1552.0
2016-05-01,1085.0
2016-05-02,1357.0
2016-05-03,837.0
2016-05-04,855.0
2016-05-05,748.0
2016-05-06,933.0
2016-05-07,1806.0
2016-05-08,1850.0
2016-05-09,1612.0
2016-05-10,1206.0
2016-05-11,960.0
2016-05-12,1619.0
2016-05-13,1119.0
2016-05-14,1655.0
2016-05-15,2199.0
2016-05-16,1501.0
2016-05-17,732.0
2016-05-18,1297.0
2016-05-19,948.0
2016-05-20,1679.0
2016-05-21,1468.0
2016-05-22,1817.0
2016-05-23,769.0
2016-05-24,1207.0
2016-05-25,1116.0
2016-05-26,1256.0
2016-05-27,895.0
2016-05-28,1758.0
2016-05-29,2173.0
2016-05-30,1019.0
2016-05-31,1448.0
