ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,939.287658,262.67981403141005,1247.710446265378,939.287658,939.287658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.72300860000001,-179.72300860000001,-179.72300860000001,0.0,0.0,0.0,0.0,0.0,0.0,-192.26836478259528,-192.26836478259528,-192.26836478259528,-0.6517122244704864,-0.6517122244704864,-0.6517122244704864,-179.72300860000001,-179.72300860000001,-179.72300860000001,-11.89364395812473,-11.89364395812473,-11.89364395812473,0.0,0.0,0.0,747.0192932174047
2016-01-02,941.6251631043772,684.3682059898023,1768.847062613717,941.6251631043772,941.6251631043772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.85318543919476,302.85318543919476,302.85318543919476,146.97311702701097,146.97311702701097,146.97311702701097,0.0,0.0,0.0,155.88006841218385,155.88006841218385,155.88006841218385,0.0,0.0,0.0,1244.4783485435719
2016-01-03,943.9626682087543,622.1848443249113,1658.595848333576,943.9626682087543,943.9626682087543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.00282944491622,207.00282944491622,207.00282944491622,86.28457366328429,86.28457366328429,86.28457366328429,0.0,0.0,0.0,120.71825578163195,120.71825578163195,120.71825578163195,0.0,0.0,0.0,1150.9654976536706
2016-01-04,946.3001733131313,331.7125140375071,1393.888040687722,946.3001733131313,946.3001733131313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.765880127332,-88.765880127332,-88.765880127332,-30.443977047567465,-30.443977047567465,-30.443977047567465,0.0,0.0,0.0,-58.321903079764525,-58.321903079764525,-58.321903079764525,0.0,0.0,0.0,857.5342931857992
2016-01-05,948.6376784175084,392.38050716689924,1439.5625345744988,948.6376784175084,948.6376784175084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.65964328100862,-24.65964328100862,-24.65964328100862,38.087747485029915,38.087747485029915,38.087747485029915,0.0,0.0,0.0,-62.74739076603854,-62.74739076603854,-62.74739076603854,0.0,0.0,0.0,923.9780351364998
2016-01-06,950.9751835218856,352.0909987654986,1387.5022979722457,950.9751835218856,950.9751835218856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.96973684026274,-89.96973684026274,-89.96973684026274,-1.5472932103871233,-1.5472932103871233,-1.5472932103871233,0.0,0.0,0.0,-88.42244362987559,-88.42244362987559,-88.42244362987559,0.0,0.0,0.0,861.0054466816229
2016-01-07,953.3126886262627,332.3447950463701,1355.5991403632352,953.3126886262627,953.3126886262627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.56257810058904,-114.56257810058904,-114.56257810058904,-59.34963534033305,-59.34963534033305,-59.34963534033305,0.0,0.0,0.0,-55.212942760255984,-55.212942760255984,-55.212942760255984,0.0,0.0,0.0,838.7501105256737
2016-01-08,955.6501937306397,399.84279221737586,1458.5976092386634,955.6501937306397,955.6501937306397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.02921964943352,-35.02921964943352,-35.02921964943352,-23.135575691562686,-23.135575691562686,-23.135575691562686,0.0,0.0,0.0,-11.893643957870816,-11.893643957870816,-11.893643957870816,0.0,0.0,0.0,920.6209740812061
2016-01-09,957.9876988350169,781.7457583588308,1789.2002570779657,957.9876988350169,957.9876988350169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.6670882088425,320.6670882088425,320.6670882088425,164.78701979692124,164.78701979692124,164.78701979692124,0.0,0.0,0.0,155.8800684119212,155.8800684119212,155.8800684119212,0.0,0.0,0.0,1278.6547870438594
2016-01-10,960.325203939394,716.8538096041289,1723.5039039007438,960.325203939394,960.325203939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.870193681013,275.870193681013,275.870193681013,155.1519378996663,155.1519378996663,155.1519378996663,0.0,0.0,0.0,120.7182557813467,120.7182557813467,120.7182557813467,0.0,0.0,0.0,1236.195397620407
