ds,y
2016-01-01,742.0
2016-01-02,1155.0
2016-01-03,415.0
2016-01-04,545.0
2016-01-05,567.0
2016-01-06,884.0
2016-01-07,1294.0
2016-01-08,1388.0
2016-01-09,1489.0
2016-01-10,460.0
2016-01-11,650.0
2016-01-12,716.0
2016-01-13,606.0
2016-01-14,1417.0
2016-01-15,1353.0
2016-01-16,1161.0
2016-01-17,627.0
2016-01-18,687.0
2016-01-19,890.0
2016-01-20,781.0
2016-01-21,1181.0
2016-01-22,1665.0
2016-01-23,1470.0
2016-01-24,697.0
2016-01-25,690.0
2016-01-26,723.0
2016-01-27,717.0
2016-01-28,1398.0
2016-01-29,1994.0
2016-01-30,1441.0
2016-01-31,827.0
2016-03-01,1217.0
2016-03-02,839.0
2016-03-03,909.0
2016-03-04,789.0
2016-03-05,1556.0
2016-03-06,1305.0
2016-03-07,1425.0
2016-03-08,863.0
2016-03-09,952.0
2016-03-10,740.0
2016-03-11,874.0
2016-03-12,1011.0
2016-03-13,1855.0
2016-03-14,781.0
2016-03-15,1001.0
2016-03-16,1036.0
2016-03-17,649.0
2016-03-18,761.0
2016-03-19,1150.0
2016-03-20,1575.0
2016-03-21,897.0
2016-03-22,487.0
2016-03-23,658.0
2016-03-24,797.0
2016-03-25,621.0
2016-03-26,1089.0
2016-03-27,1175.0
2016-03-28,613.0
2016-03-29,801.0
2016-03-30,813.0
2016-03-31,653.0
2016-04-01,780.0
2016-04-02,1443.0
2016-04-03,1255.0
2016-04-04,904.0
2016-04-05,1049.0
2016-04-06,554.0
2016-04-07,548.0
2016-04-08,861.0
2016-04-09,1187.0
2016-04-10,1249.0
2016-04-11,808.0
2016-04-12,840.0
2016-04-13,1621.0
2016-04-14,783.0
2016-04-15,724.0
2016-04-16,1498.0
2016-04-17,1512.0
2016-04-18,673.0
2016-04-19,926.0
2016-04-20,491.0
2016-04-21,766.0
2016-04-22,815.0
2016-04-23,1063.0
2016-04-24,1103.0
2016-04-25,748.0
2016-04-26,853.0
2016-04-27,1028.0
2016-04-28,1340.0
2016-04-29,1047.0
2016-04-30,1275.0
2016-05-01,984.0
2016-05-02,1057.0
2016-05-03,725.0
2016-05-04,684.0
2016-05-05,567.0
2016-05-06,1220.0
2016-05-07,1090.0
2016-05-08,1286.0
2016-05-09,872.0
2016-05-10,1224.0
2016-05-11,872.0
2016-05-12,566.0
2016-05-13,1073.0
2016-05-14,1331.0
2016-05-15,1169.0
2016-05-16,1021.0
2016-05-17,950.0
2016-05-18,452.0
2016-05-19,916.0
2016-05-20,1076.0
2016-05-21,1479.0
2016-05-22,1525.0
2016-05-23,1315.0
2016-05-24,1874.0
2016-05-25,778.0
2016-05-26,830.0
2016-05-27,549.0
2016-05-28,1298.0
2016-05-29,1318.0
2016-05-30,950.0
2016-05-31,706.0
2016-06-01,1144.0
2016-06-02,344.0
2016-06-03,1408.0
2016-06-04,1324.0
2016-06-05,1354.0
2016-06-06,581.0
2016-06-07,855.0
2016-06-08,809.0
2016-06-09,711.0
2016-06-10,797.0
2016-06-11,976.0
2016-06-12,1225.0
2016-06-13,496.0
2016-06-14,760.0
2016-06-15,618.0
2016-06-16,812.0
2016-06-17,970.0
2016-06-18,1571.0
2016-06-19,1130.0
2016-06-20,965.0
2016-06-21,548.0
2016-06-22,585.0
2016-06-23,903.0
2016-06-24,866.0
2016-06-25,929.0
2016-06-26,1160.0
2016-06-27,683.0
2016-06-28,611.0
2016-06-29,797.0
2016-06-30,1190.0
2016-07-01,528.0
2016-07-02,1317.0
2016-07-03,877.0
2016-07-04,709.0
2016-07-05,620.0
2016-07-06,1129.0
2016-07-07,550.0
2016-07-08,808.0
2016-07-09,1317.0
2016-07-10,1150.0
2016-07-11,909.0
2016-07-12,473.0
2016-07-13,1049.0
2016-07-14,1026.0
2016-07-15,747.0
2016-07-16,1325.0
2016-07-17,1572.0
2016-07-18,386.0
2016-07-19,467.0
2016-07-20,659.0
2016-07-21,734.0
2016-07-22,941.0
2016-07-23,1044.0
2016-07-24,1352.0
2016-07-25,755.0
2016-07-26,1424.0
2016-07-27,448.0
2016-07-28,516.0
2016-07-29,1161.0
2016-07-30,1114.0
2016-07-31,895.0
2016-08-01,1217.0
2016-08-02,839.0
2016-08-03,909.0
2016-08-04,789.0
2016-08-05,1115.0
2016-08-06,1305.0
2016-08-07,1875.0
2016-08-08,863.0
2016-08-09,952.0
2016-08-10,740.0
2016-08-11,874.0
2016-08-12,592.0
2016-08-13,1837.0
2016-08-14,1210.0
2016-08-15,1001.0
2016-08-16,1036.0
2016-08-17,649.0
2016-08-18,761.0
2016-08-19,723.0
2016-08-20,1565.0
2016-08-21,1312.0
2016-08-22,487.0
2016-08-23,658.0
2016-08-24,797.0
2016-08-25,621.0
2016-08-26,658.0
2016-08-27,1184.0
2016-08-28,1067.0
2016-08-29,801.0
2016-08-30,813.0
2016-08-31,653.0
2016-09-01,780.0
2016-09-02,990.0
2016-09-03,1291.0
2016-09-04,1318.0
2016-09-05,1049.0
2016-09-06,554.0
2016-09-07,548.0
2016-09-08,861.0
2016-09-09,762.0
2016-09-10,1250.0
2016-09-11,1247.0
2016-09-12,840.0
2016-09-13,1621.0
2016-09-14,783.0
2016-09-15,724.0
2016-09-16,1044.0
2016-09-17,1454.0
2016-09-18,1131.0
2016-09-19,926.0
2016-09-20,491.0
2016-09-21,766.0
2016-09-22,815.0
2016-09-23,641.0
2016-09-24,1115.0
2016-09-25,1152.0
2016-09-26,853.0
2016-09-27,1028.0
2016-09-28,1340.0
2016-09-29,1047.0
2016-09-30,823.0
2016-10-01,992.0
2016-10-02,1498.0
2016-10-03,725.0
2016-10-04,684.0
2016-10-05,567.0
2016-10-06,1220.0
2016-10-07,631.0
2016-10-08,1285.0
2016-10-09,1304.0
2016-10-10,1224.0
2016-10-11,872.0
2016-10-12,566.0
2016-10-13,1073.0
2016-10-14,915.0
2016-10-15,1183.0
2016-10-16,1429.0
2016-10-17,950.0
2016-10-18,452.0
2016-10-19,916.0
2016-10-20,1076.0
2016-10-21,1036.0
2016-10-22,1542.0
