ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,218.711883,-96.69525866969191,448.81265614035794,218.711883,218.711883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.3883845,-45.3883845,-45.3883845,0.0,0.0,0.0,0.0,0.0,0.0,-47.72113859715388,-47.72113859715388,-47.72113859715388,5.322276517689606,5.322276517689606,5.322276517689606,-45.3883845,-45.3883845,-45.3883845,-7.65503061484349,-7.65503061484349,-7.65503061484349,0.0,0.0,0.0,170.99074440284613
2016-01-02,220.00879326262628,24.734036211875292,569.5840545945255,220.00879326262628,220.00879326262628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79788356895155,76.79788356895155,76.79788356895155,40.41156920128199,40.41156920128199,40.41156920128199,0.0,0.0,0.0,36.38631436766956,36.38631436766956,36.38631436766956,0.0,0.0,0.0,296.8066768315778
2016-01-03,221.30570352525254,0.42641508147033497,535.2697028256574,221.30570352525254,221.30570352525254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.40171074960271,55.40171074960271,55.40171074960271,32.4392742317796,32.4392742317796,32.4392742317796,0.0,0.0,0.0,22.962436517823107,22.962436517823107,22.962436517823107,0.0,0.0,0.0,276.70741427485524
2016-01-04,222.60261378787882,-106.05061103406425,445.78293649974347,222.60261378787882,222.60261378787882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.096610153902056,-34.096610153902056,-34.096610153902056,-16.022128318861903,-16.022128318861903,-16.022128318861903,0.0,0.0,0.0,-18.074481835040157,-18.074481835040157,-18.074481835040157,0.0,0.0,0.0,188.50600363397677
2016-01-05,223.89952405050505,-43.371112477728424,486.0682067580203,223.89952405050505,223.89952405050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1802155429869436,-1.1802155429869436,-1.1802155429869436,5.502413193065299,5.502413193065299,5.502413193065299,0.0,0.0,0.0,-6.682628736052248,-6.682628736052248,-6.682628736052248,0.0,0.0,0.0,222.7193085075181
2016-01-06,225.19643431313133,-61.42441577908779,503.2009660860839,225.19643431313133,225.19643431313133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1726601639611736,-3.1726601639611736,-3.1726601639611736,7.947439655631779,7.947439655631779,7.947439655631779,0.0,0.0,0.0,-11.120099819592948,-11.120099819592948,-11.120099819592948,0.0,0.0,0.0,222.02377414917015
2016-01-07,226.4933445757576,-79.74934755483063,470.27041230072405,226.4933445757576,226.4933445757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.04291599074933,-30.04291599074933,-30.04291599074933,-14.226406110673794,-14.226406110673794,-14.226406110673794,0.0,0.0,0.0,-15.816509880075543,-15.816509880075543,-15.816509880075543,0.0,0.0,0.0,196.45042858500827
2016-01-08,227.79025483838387,-46.91728327831111,484.168297743065,227.79025483838387,227.79025483838387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.287368362065884,-28.287368362065884,-28.287368362065884,-20.63233774730214,-20.63233774730214,-20.63233774730214,0.0,0.0,0.0,-7.65503061476374,-7.65503061476374,-7.65503061476374,0.0,0.0,0.0,199.502886476318
2016-01-09,229.0871651010101,19.414258839365242,589.6736244354742,229.0871651010101,229.0871651010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.74737390157594,68.74737390157594,68.74737390157594,32.36105953396867,32.36105953396867,32.36105953396867,0.0,0.0,0.0,36.38631436760728,36.38631436760728,36.38631436760728,0.0,0.0,0.0,297.83453900258604
2016-01-10,230.38407536363633,-23.420392464957274,528.7552729408991,230.38407536363633,230.38407536363633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.44803532152654,36.44803532152654,36.44803532152654,13.485598803792303,13.485598803792303,13.485598803792303,0.0,0.0,0.0,22.962436517734233,22.962436517734233,22.962436517734233,0.0,0.0,0.0,266.8321106851629
2016-01-11,231.68098563699408,-81.5901179169427,454.3722186623571,231.68098563699408,231.68098563699408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.2013171863205,-38.2013171863205,-38.2013171863205,-20.126835351258066,-20.126835351258066,-20.126835351258066,0.0,0.0,0.0,-18.074481835062432,-18.074481835062432,-18.074481835062432,0.0,0.0,0.0,193.47966845067359
2016-01-12,232.9778959103518,-56.392566570876674,477.20267206505133,232.9778959103518,232.9778959103518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.550299401326733,-25.550299401326733,-25.550299401326733,-18.867670665224075,-18.867670665224075,-18.867670665224075,0.0,0.0,0.0,-6.682628736102657,-6.682628736102657,-6.682628736102657,0.0,0.0,0.0,207.42759650902508
2016-01-13,234.27480618370953,-75.38055629750427,479.4240096056408,234.27480618370953,234.27480618370953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.30773911446708,-41.30773911446708,-41.30773911446708,-30.187639294844683,-30.187639294844683,-30.187639294844683,0.0,0.0,0.0,-11.120099819622409,-11.120099819622409,-11.120099819622409,0.0,0.0,0.0,192.96706706924243
2016-01-14,235.57171645706725,-91.00082965510568,523.9109453628041,235.57171645706725,235.57171645706725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.223123529509955,-33.223123529509955,-33.223123529509955,-17.406613649471595,-17.406613649471595,-17.406613649471595,0.0,0.0,0.0,-15.816509880038366,-15.816509880038366,-15.816509880038366,0.0,0.0,0.0,202.3485929275573
2016-01-15,236.86862673042498,-39.5059444021055,476.79478519632875,236.86862673042498,236.86862673042498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3327540970086975,-2.3327540970086975,-2.3327540970086975,5.322276517765984,5.322276517765984,5.322276517765984,0.0,0.0,0.0,-7.6550306147746845,-7.6550306147746845,-7.6550306147746845,0.0,0.0,0.0,234.5358726334163
2016-01-16,238.1655370037827,33.9359931236591,603.3543707057518,238.1655370037827,238.1655370037827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79788356892892,76.79788356892892,76.79788356892892,40.411569201274034,40.411569201274034,40.411569201274034,0.0,0.0,0.0,36.3863143676549,36.3863143676549,36.3863143676549,0.0,0.0,0.0,314.96342057271164
2016-01-17,239.46244727714046,35.09867098561901,554.8049493290321,239.46244727714046,239.46244727714046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.40171074977097,55.40171074977097,55.40171074977097,32.43927423186725,32.43927423186725,32.43927423186725,0.0,0.0,0.0,22.962436517903722,22.962436517903722,22.962436517903722,0.0,0.0,0.0,294.8641580269114
2016-01-18,240.75935755049818,-83.51011126633749,488.63104042882725,240.75935755049818,240.75935755049818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0966101539298,-34.0966101539298,-34.0966101539298,-16.022128318858098,-16.022128318858098,-16.022128318858098,0.0,0.0,0.0,-18.07448183507171,-18.07448183507171,-18.07448183507171,0.0,0.0,0.0,206.66274739656836
2016-01-19,242.05626777168047,-36.481964461034906,532.9489258016234,242.05626777168047,242.05626777168047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1802155427438235,-1.1802155427438235,-1.1802155427438235,5.502413193194728,5.502413193194728,5.502413193194728,0.0,0.0,0.0,-6.682628735938544,-6.682628735938544,-6.682628735938544,0.0,0.0,0.0,240.87605222893666
2016-01-20,243.35317799286278,-37.34415657527202,525.2751402736739,243.35317799286278,243.35317799286278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1726601639574876,-3.1726601639574876,-3.1726601639574876,7.9474396556358,7.9474396556358,7.9474396556358,0.0,0.0,0.0,-11.120099819593284,-11.120099819593284,-11.120099819593284,0.0,0.0,0.0,240.1805178289053
2016-01-21,244.6500882140451,-57.38583376967549,470.2808703859531,244.6500882140451,244.6500882140451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.04291599057633,-30.04291599057633,-30.04291599057633,-14.22640611059115,-14.22640611059115,-14.22640611059115,0.0,0.0,0.0,-15.816509879985189,-15.816509879985189,-15.816509879985189,0.0,0.0,0.0,214.60717222346878
