ds,y
2016-01-01,177.0
2016-01-02,257.0
2016-01-03,174.0
2016-01-04,227.0
2016-01-05,118.0
2016-01-06,291.0
2016-01-07,243.0
2016-01-08,239.0
2016-01-09,334.0
2016-01-10,159.0
2016-01-11,157.0
2016-01-12,170.0
2016-01-13,125.0
2016-01-14,239.0
2016-01-15,332.0
2016-01-16,211.0
2016-01-17,210.0
2016-01-18,210.0
2016-01-19,184.0
2016-01-20,252.0
2016-01-21,186.0
2016-01-22,327.0
2016-01-23,374.0
2016-01-24,223.0
2016-01-25,224.0
2016-01-26,183.0
2016-01-27,186.0
2016-01-28,181.0
2016-01-29,368.0
2016-01-30,306.0
2016-01-31,198.0
2016-03-01,160.0
2016-03-02,620.0
2016-03-03,165.0
2016-03-04,258.0
2016-03-05,505.0
2016-03-06,264.0
2016-03-07,297.0
2016-03-08,681.0
2016-03-09,354.0
2016-03-10,261.0
2016-03-11,322.0
2016-03-12,249.0
2016-03-13,263.0
2016-03-14,209.0
2016-03-15,324.0
2016-03-16,169.0
2016-03-17,714.0
2016-03-18,213.0
2016-03-19,542.0
2016-03-20,356.0
2016-03-21,282.0
2016-03-22,256.0
2016-03-23,466.0
2016-03-24,200.0
2016-03-25,288.0
2016-03-26,584.0
2016-03-27,252.0
2016-03-28,417.0
2016-03-29,741.0
2016-03-30,116.0
2016-03-31,403.0
2016-04-01,205.0
2016-04-02,226.0
2016-04-03,303.0
2016-04-04,102.0
2016-04-05,377.0
2016-04-06,73.0
2016-04-07,454.0
2016-04-08,311.0
2016-04-09,233.0
2016-04-10,344.0
2016-04-11,114.0
2016-04-12,251.0
2016-04-13,390.0
2016-04-14,333.0
2016-04-15,421.0
2016-04-16,529.0
2016-04-17,401.0
2016-04-18,444.0
2016-04-19,290.0
2016-04-20,223.0
2016-04-21,106.0
2016-04-22,256.0
2016-04-23,254.0
2016-04-24,336.0
2016-04-25,274.0
2016-04-26,423.0
2016-04-27,220.0
2016-04-28,162.0
2016-04-29,376.0
2016-04-30,308.0
2016-05-01,270.0
2016-05-02,78.0
2016-05-03,261.0
2016-05-04,105.0
2016-05-05,261.0
2016-05-06,582.0
2016-05-07,643.0
2016-05-08,286.0
2016-05-09,422.0
2016-05-10,143.0
2016-05-11,635.0
2016-05-12,114.0
2016-05-13,220.0
2016-05-14,361.0
2016-05-15,329.0
2016-05-16,114.0
2016-05-17,128.0
2016-05-18,302.0
2016-05-19,229.0
2016-05-20,170.0
2016-05-21,649.0
2016-05-22,466.0
