ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,612.616234,342.67931543789433,1164.5126827103459,612.616234,612.616234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.68810200000001,177.68810200000001,177.68810200000001,0.0,0.0,0.0,0.0,0.0,0.0,132.80538820562003,132.80538820562003,132.80538820562003,-25.363352970196527,-25.363352970196527,-25.363352970196527,177.68810200000001,177.68810200000001,177.68810200000001,-19.519360824183458,-19.519360824183458,-19.519360824183458,0.0,0.0,0.0,745.42162220562
2016-01-02,613.5910977441076,462.4179894225052,1322.9309400940072,613.5910977441076,613.5910977441076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.6918071200519,281.6918071200519,281.6918071200519,140.9912615436611,140.9912615436611,140.9912615436611,0.0,0.0,0.0,140.7005455763909,140.7005455763909,140.7005455763909,0.0,0.0,0.0,895.2829048641595
2016-01-03,614.5659614882154,331.0007488652225,1178.205608931155,614.5659614882154,614.5659614882154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.00259708502978,167.00259708502978,167.00259708502978,76.7154082033885,76.7154082033885,76.7154082033885,0.0,0.0,0.0,90.2871888816413,90.2871888816413,90.2871888816413,0.0,0.0,0.0,781.5685585732451
2016-01-04,615.5408252323232,78.5502112504584,884.616019809783,615.5408252323232,615.5408252323232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.86982461940914,-129.86982461940914,-129.86982461940914,-81.22234238096354,-81.22234238096354,-81.22234238096354,0.0,0.0,0.0,-48.64748223844563,-48.64748223844563,-48.64748223844563,0.0,0.0,0.0,485.67100061291404
2016-01-05,616.515688976431,25.42914285348846,895.8840090620776,616.515688976431,616.515688976431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.21698415416773,-166.21698415416773,-166.21698415416773,-88.24864295917487,-88.24864295917487,-88.24864295917487,0.0,0.0,0.0,-77.96834119499279,-77.96834119499279,-77.96834119499279,0.0,0.0,0.0,450.29870482226323
2016-01-06,617.4905527205386,113.914475595091,965.3490808166218,617.4905527205386,617.4905527205386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.94537039413468,-91.94537039413468,-91.94537039413468,-33.78251907371852,-33.78251907371852,-33.78251907371852,0.0,0.0,0.0,-58.16285132041617,-58.16285132041617,-58.16285132041617,0.0,0.0,0.0,525.545182326404
2016-01-07,618.4654164646464,145.24801454698493,977.7590245814316,618.4654164646464,618.4654164646464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.777576400605604,-52.777576400605604,-52.777576400605604,-26.08787752031249,-26.08787752031249,-26.08787752031249,0.0,0.0,0.0,-26.689698880293104,-26.689698880293104,-26.689698880293104,0.0,0.0,0.0,565.6878400640408
2016-01-08,619.4402802087542,179.77211735987615,996.1633518726693,619.4402802087542,619.4402802087542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.19472950202622,-33.19472950202622,-33.19472950202622,-13.675368678003094,-13.675368678003094,-13.675368678003094,0.0,0.0,0.0,-19.519360824023135,-19.519360824023135,-19.519360824023135,0.0,0.0,0.0,586.245550706728
2016-01-09,620.415143952862,487.1990357940236,1370.573414180397,620.415143952862,620.415143952862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.1103751848946,281.1103751848946,281.1103751848946,140.40982960877514,140.40982960877514,140.40982960877514,0.0,0.0,0.0,140.70054557611948,140.70054557611948,140.70054557611948,0.0,0.0,0.0,901.5255191377566
2016-01-10,621.3900076969696,414.7894556187423,1227.478622205541,621.3900076969696,621.3900076969696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.1461584410925,194.1461584410925,194.1461584410925,103.85896955969282,103.85896955969282,103.85896955969282,0.0,0.0,0.0,90.28718888139969,90.28718888139969,90.28718888139969,0.0,0.0,0.0,815.5361661380621
