ds,y
2016-01-01,755.0
2016-01-02,764.0
2016-01-03,434.0
2016-01-04,490.0
2016-01-05,287.0
2016-01-06,295.0
2016-01-07,308.0
2016-01-08,815.0
2016-01-09,968.0
2016-01-10,258.0
2016-01-11,470.0
2016-01-12,361.0
2016-01-13,350.0
2016-01-14,572.0
2016-01-15,1140.0
2016-01-16,1417.0
2016-01-17,808.0
2016-01-18,460.0
2016-01-19,331.0
2016-01-20,380.0
2016-01-21,629.0
2016-01-22,811.0
2016-01-23,1429.0
2016-01-24,660.0
2016-01-25,359.0
2016-01-26,408.0
2016-01-27,380.0
2016-01-28,529.0
2016-01-29,1297.0
2016-01-30,1312.0
2016-01-31,521.0
2016-03-01,781.0
2016-03-02,451.0
2016-03-03,406.0
2016-03-04,671.0
2016-03-05,579.0
2016-03-06,583.0
2016-03-07,667.0
2016-03-08,800.0
2016-03-09,366.0
2016-03-10,868.0
2016-03-11,756.0
2016-03-12,920.0
2016-03-13,1068.0
2016-03-14,726.0
2016-03-15,763.0
2016-03-16,631.0
2016-03-17,928.0
2016-03-18,677.0
2016-03-19,979.0
2016-03-20,743.0
2016-03-21,786.0
2016-03-22,629.0
2016-03-23,312.0
2016-03-24,749.0
2016-03-25,735.0
2016-03-26,904.0
2016-03-27,794.0
2016-03-28,628.0
2016-03-29,562.0
2016-03-30,837.0
2016-03-31,410.0
2016-04-01,543.0
2016-04-02,720.0
2016-04-03,1343.0
2016-04-04,390.0
2016-04-05,715.0
2016-04-06,465.0
2016-04-07,305.0
2016-04-08,288.0
2016-04-09,1083.0
2016-04-10,757.0
2016-04-11,392.0
2016-04-12,569.0
2016-04-13,707.0
2016-04-14,356.0
2016-04-15,846.0
2016-04-16,666.0
2016-04-17,860.0
2016-04-18,727.0
2016-04-19,528.0
2016-04-20,364.0
2016-04-21,959.0
2016-04-22,513.0
2016-04-23,1033.0
2016-04-24,1004.0
2016-04-25,670.0
2016-04-26,416.0
2016-04-27,424.0
2016-04-28,667.0
2016-04-29,696.0
2016-04-30,1136.0
2016-05-01,532.0
2016-05-02,602.0
2016-05-03,749.0
2016-05-04,400.0
2016-05-05,598.0
2016-05-06,752.0
2016-05-07,1041.0
2016-05-08,1098.0
2016-05-09,502.0
2016-05-10,522.0
2016-05-11,686.0
2016-05-12,1002.0
2016-05-13,956.0
2016-05-14,1478.0
2016-05-15,1197.0
2016-05-16,575.0
2016-05-17,613.0
2016-05-18,398.0
2016-05-19,685.0
2016-05-20,604.0
2016-05-21,737.0
2016-05-22,609.0
2016-05-23,373.0
2016-05-24,488.0
2016-05-25,896.0
2016-05-26,375.0
2016-05-27,640.0
2016-05-28,957.0
2016-05-29,1285.0
2016-05-30,884.0
2016-05-31,806.0
2016-06-01,552.0
2016-06-02,578.0
2016-06-03,332.0
