ds,y
2016-01-01,401.0
2016-01-02,803.0
2016-01-03,322.0
2016-01-04,334.0
2016-01-05,234.0
2016-01-06,504.0
2016-01-07,491.0
2016-01-08,808.0
2016-01-09,880.0
2016-01-10,406.0
2016-01-11,431.0
2016-01-12,371.0
2016-01-13,571.0
2016-01-14,430.0
2016-01-15,1252.0
2016-01-16,837.0
2016-01-17,441.0
2016-01-18,425.0
2016-01-19,429.0
2016-01-20,606.0
2016-01-21,431.0
2016-01-22,1161.0
2016-01-23,1120.0
2016-01-24,548.0
2016-01-25,402.0
2016-01-26,388.0
2016-01-27,709.0
2016-01-28,375.0
2016-01-29,1543.0
2016-01-30,1079.0
2016-01-31,424.0
2016-03-01,302.0
2016-03-02,397.0
2016-03-03,256.0
2016-03-04,412.0
2016-03-05,651.0
2016-03-06,754.0
2016-03-07,749.0
2016-03-08,358.0
2016-03-09,552.0
2016-03-10,1594.0
2016-03-11,607.0
2016-03-12,819.0
2016-03-13,888.0
2016-03-14,569.0
2016-03-15,538.0
2016-03-16,450.0
2016-03-17,643.0
2016-03-18,221.0
2016-03-19,776.0
2016-03-20,734.0
2016-03-21,493.0
2016-03-22,667.0
2016-03-23,976.0
2016-03-24,201.0
2016-03-25,495.0
2016-03-26,637.0
2016-03-27,912.0
2016-03-28,280.0
2016-03-29,875.0
2016-03-30,864.0
2016-03-31,590.0
2016-04-01,833.0
2016-04-02,549.0
2016-04-03,790.0
2016-04-04,534.0
2016-04-05,405.0
2016-04-06,363.0
2016-04-07,409.0
2016-04-08,853.0
2016-04-09,865.0
2016-04-10,661.0
2016-04-11,228.0
2016-04-12,848.0
2016-04-13,456.0
2016-04-14,479.0
2016-04-15,686.0
2016-04-16,913.0
2016-04-17,868.0
2016-04-18,569.0
2016-04-19,850.0
2016-04-20,1023.0
2016-04-21,503.0
2016-04-22,782.0
2016-04-23,792.0
2016-04-24,622.0
2016-04-25,693.0
2016-04-26,433.0
2016-04-27,490.0
2016-04-28,297.0
2016-04-29,653.0
2016-04-30,943.0
2016-05-01,836.0
2016-05-02,385.0
2016-05-03,636.0
2016-05-04,657.0
2016-05-05,431.0
2016-05-06,243.0
2016-05-07,770.0
2016-05-08,644.0
2016-05-09,398.0
2016-05-10,1241.0
2016-05-11,578.0
2016-05-12,656.0
2016-05-13,698.0
2016-05-14,721.0
2016-05-15,553.0
2016-05-16,375.0
2016-05-17,654.0
2016-05-18,651.0
2016-05-19,449.0
2016-05-20,456.0
2016-05-21,678.0
2016-05-22,526.0
2016-05-23,546.0
2016-05-24,711.0
2016-05-25,404.0
2016-05-26,683.0
2016-05-27,456.0
2016-05-28,857.0
2016-05-29,905.0
2016-05-30,547.0
2016-05-31,822.0
2016-06-01,654.0
2016-06-02,561.0
2016-06-03,445.0
2016-06-04,962.0
2016-06-05,1111.0
2016-06-06,318.0
2016-06-07,795.0
2016-06-08,772.0
2016-06-09,640.0
2016-06-10,486.0
2016-06-11,764.0
2016-06-12,984.0
2016-06-13,1123.0
2016-06-14,873.0
2016-06-15,653.0
2016-06-16,614.0
2016-06-17,568.0
2016-06-18,517.0
2016-06-19,698.0
2016-06-20,1050.0
2016-06-21,299.0
2016-06-22,569.0
2016-06-23,480.0
2016-06-24,680.0
2016-06-25,704.0
2016-06-26,813.0
2016-06-27,556.0
2016-06-28,566.0
2016-06-29,355.0
2016-06-30,310.0
2016-07-01,615.0
2016-07-02,677.0
2016-07-03,765.0
2016-07-04,587.0
2016-07-05,626.0
2016-07-06,855.0
2016-07-07,770.0
2016-07-08,216.0
2016-07-09,781.0
2016-07-10,578.0
2016-07-11,596.0
2016-07-12,371.0
2016-07-13,767.0
2016-07-14,446.0
2016-07-15,499.0
2016-07-16,623.0
2016-07-17,1062.0
2016-07-18,318.0
2016-07-19,711.0
2016-07-20,262.0
2016-07-21,446.0
2016-07-22,465.0
2016-07-23,804.0
2016-07-24,553.0
2016-07-25,998.0
2016-07-26,515.0
2016-07-27,678.0
2016-07-28,199.0
2016-07-29,776.0
2016-07-30,875.0
2016-07-31,733.0
2016-08-01,302.0
2016-08-02,397.0
2016-08-03,256.0
2016-08-04,412.0
2016-08-05,386.0
2016-08-06,741.0
2016-08-07,1039.0
2016-08-08,358.0
2016-08-09,552.0
2016-08-10,1594.0
2016-08-11,607.0
2016-08-12,531.0
2016-08-13,886.0
2016-08-14,818.0
2016-08-15,538.0
2016-08-16,450.0
2016-08-17,643.0
2016-08-18,221.0
2016-08-19,494.0
2016-08-20,733.0
2016-08-21,772.0
2016-08-22,667.0
2016-08-23,976.0
2016-08-24,201.0
2016-08-25,495.0
2016-08-26,365.0
2016-08-27,902.0
2016-08-28,562.0
2016-08-29,875.0
2016-08-30,864.0
2016-08-31,590.0
2016-09-01,833.0
2016-09-02,277.0
2016-09-03,779.0
2016-09-04,803.0
2016-09-05,405.0
2016-09-06,363.0
2016-09-07,409.0
2016-09-08,853.0
2016-09-09,586.0
2016-09-10,673.0
2016-09-11,504.0
2016-09-12,848.0
2016-09-13,456.0
2016-09-14,479.0
2016-09-15,686.0
2016-09-16,617.0
2016-09-17,853.0
2016-09-18,855.0
2016-09-19,850.0
2016-09-20,1023.0
2016-09-21,503.0
2016-09-22,782.0
2016-09-23,505.0
2016-09-24,615.0
2016-09-25,979.0
2016-09-26,433.0
2016-09-27,490.0
2016-09-28,297.0
2016-09-29,653.0
2016-09-30,655.0
2016-10-01,835.0
2016-10-02,665.0
2016-10-03,636.0
2016-10-04,657.0
2016-10-05,431.0
2016-10-06,243.0
2016-10-07,483.0
2016-10-08,609.0
2016-10-09,680.0
2016-10-10,1241.0
2016-10-11,578.0
2016-10-12,656.0
2016-10-13,698.0
2016-10-14,445.0
2016-10-15,550.0
2016-10-16,641.0
2016-10-17,654.0
2016-10-18,651.0
2016-10-19,449.0
2016-10-20,456.0
2016-10-21,387.0
2016-10-22,519.0
2016-10-23,811.0
2016-10-24,711.0
