ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,769.545,53.36621959946718,1076.2653477454455,769.545,769.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.78535,-260.78535,-260.78535,0.0,0.0,0.0,0.0,0.0,0.0,-185.66470243772832,-185.66470243772832,-185.66470243772832,77.846124659367,77.846124659367,77.846124659367,-260.78535,-260.78535,-260.78535,-2.725477097095306,-2.725477097095306,-2.725477097095306,0.0,0.0,0.0,583.8802975622716
2016-01-02,780.182293814433,521.1917039757803,1535.503518268081,780.182293814433,780.182293814433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.2627587037088,231.2627587037088,231.2627587037088,105.39971783056687,105.39971783056687,105.39971783056687,0.0,0.0,0.0,125.86304087314197,125.86304087314197,125.86304087314197,0.0,0.0,0.0,1011.4450525181419
2016-01-03,790.819587628866,536.4569233529401,1608.7563433059734,790.819587628866,790.819587628866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.6458454112818,267.6458454112818,267.6458454112818,153.52259399223047,153.52259399223047,153.52259399223047,0.0,0.0,0.0,114.12325141905131,114.12325141905131,114.12325141905131,0.0,0.0,0.0,1058.4654330401477
2016-01-04,801.456881443299,194.150508323732,1239.8911804445945,801.456881443299,801.456881443299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.5403620423588,-86.5403620423588,-86.5403620423588,-14.176367065660532,-14.176367065660532,-14.176367065660532,0.0,0.0,0.0,-72.36399497669824,-72.36399497669824,-72.36399497669824,0.0,0.0,0.0,714.9165194009403
2016-01-05,812.0941752577319,116.98587145656779,1141.8085493482356,812.0941752577319,812.0941752577319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-178.93612903393245,-178.93612903393245,-178.93612903393245,-113.79350730340235,-113.79350730340235,-113.79350730340235,0.0,0.0,0.0,-65.14262173053014,-65.14262173053014,-65.14262173053014,0.0,0.0,0.0,633.1580462237994
2016-01-06,822.7314690721649,128.62778236440164,1163.847618783508,822.7314690721649,822.7314690721649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0965884370625,-167.0965884370625,-167.0965884370625,-89.0555149492111,-89.0555149492111,-89.0555149492111,0.0,0.0,0.0,-78.04107348785139,-78.04107348785139,-78.04107348785139,0.0,0.0,0.0,655.6348806351025
2016-01-07,833.3687628865979,284.0347663976575,1330.9630906067737,833.3687628865979,833.3687628865979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.58745785028054,-35.58745785028054,-35.58745785028054,-13.874332850049102,-13.874332850049102,-13.874332850049102,0.0,0.0,0.0,-21.713125000231447,-21.713125000231447,-21.713125000231447,0.0,0.0,0.0,797.7813050363173
2016-01-08,844.006056701031,247.96130773749505,1266.67798163451,844.006056701031,844.006056701031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.02255595026702,-86.02255595026702,-86.02255595026702,-83.29707885336992,-83.29707885336992,-83.29707885336992,0.0,0.0,0.0,-2.725477096897091,-2.725477096897091,-2.725477096897091,0.0,0.0,0.0,757.9835007507639
2016-01-09,854.6433505154638,581.6513088919334,1637.0543474657438,854.6433505154638,854.6433505154638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.1894047885407,272.1894047885407,272.1894047885407,146.3263639156272,146.3263639156272,146.3263639156272,0.0,0.0,0.0,125.86304087291349,125.86304087291349,125.86304087291349,0.0,0.0,0.0,1126.8327553040044
2016-01-10,865.2806443298967,523.0182634783783,1559.083468281289,865.2806443298967,865.2806443298967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.84716026446597,188.84716026446597,188.84716026446597,74.72390884565503,74.72390884565503,74.72390884565503,0.0,0.0,0.0,114.12325141881097,114.12325141881097,114.12325141881097,0.0,0.0,0.0,1054.1278045943627
