ds,y
2016-01-01,576.0
2016-01-02,1205.0
2016-01-03,820.0
2016-01-04,640.0
2016-01-05,435.0
2016-01-06,608.0
2016-01-07,1003.0
2016-01-08,1107.0
2016-01-09,1219.0
2016-01-10,611.0
2016-01-11,653.0
2016-01-12,736.0
2016-01-13,524.0
2016-01-14,973.0
2016-01-15,1544.0
2016-01-16,1139.0
2016-01-17,853.0
2016-01-18,583.0
2016-01-19,630.0
2016-01-20,617.0
2016-01-21,978.0
2016-01-22,1361.0
2016-01-23,1393.0
2016-01-24,761.0
2016-01-25,566.0
2016-01-26,714.0
2016-01-27,558.0
2016-01-28,1113.0
2016-01-29,1920.0
2016-01-30,1323.0
2016-01-31,832.0
2016-02-01,998.0
2016-02-02,944.0
2016-02-03,1060.0
2016-02-04,917.0
2016-02-05,1398.0
2016-02-06,2216.0
2016-02-07,969.0
2016-02-08,769.0
2016-02-09,800.0
2016-02-10,868.0
2016-02-11,1700.0
2016-02-12,2450.0
2016-02-13,1733.0
2016-02-14,1004.0
2016-02-15,823.0
2016-02-16,1074.0
2016-02-17,785.0
2016-02-18,1676.0
2016-02-19,1801.0
2016-02-20,1618.0
2016-02-21,1099.0
2016-02-22,863.0
2016-02-23,1262.0
2016-02-24,823.0
2016-02-25,1104.0
2016-02-26,1624.0
2016-02-27,1620.0
2016-02-28,1061.0
2016-02-29,808.0
2016-03-01,415.0
2016-03-02,378.0
2016-03-03,997.0
2016-03-04,915.0
2016-03-05,829.0
2016-03-06,916.0
2016-03-07,501.0
2016-03-08,701.0
2016-03-09,802.0
2016-03-10,511.0
2016-03-11,589.0
2016-03-12,1241.0
2016-03-13,995.0
2016-03-14,874.0
2016-03-15,666.0
2016-03-16,702.0
2016-03-17,722.0
2016-03-18,577.0
2016-03-19,1129.0
2016-03-20,1582.0
2016-03-21,614.0
2016-03-22,587.0
2016-03-23,870.0
2016-03-24,554.0
2016-03-25,1008.0
2016-03-26,1051.0
2016-03-27,1334.0
2016-03-28,1071.0
2016-03-29,476.0
2016-03-30,626.0
2016-03-31,1023.0
2016-04-01,1049.0
2016-04-02,950.0
2016-04-03,877.0
2016-04-04,731.0
2016-04-05,800.0
2016-04-06,653.0
2016-04-07,774.0
2016-04-08,880.0
2016-04-09,1340.0
2016-04-10,1239.0
2016-04-11,1283.0
2016-04-12,844.0
2016-04-13,646.0
2016-04-14,699.0
2016-04-15,360.0
2016-04-16,764.0
2016-04-17,1183.0
