ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,3030.81536,2148.8664035683178,5615.192840946487,3030.81536,3030.81536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.5055856,977.5055856,977.5055856,0.0,0.0,0.0,0.0,0.0,0.0,783.9125860657674,783.9125860657674,783.9125860657674,-78.42604200230373,-78.42604200230373,-78.42604200230373,977.5055856,977.5055856,977.5055856,-115.16695753192877,-115.16695753192877,-115.16695753192877,0.0,0.0,0.0,3814.7279460657674
2016-01-02,3087.946941683502,2811.7155029121045,6177.372366830319,3087.946941683502,3087.946941683502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.24146956417,1438.24146956417,1438.24146956417,747.0877575265597,747.0877575265597,747.0877575265597,0.0,0.0,0.0,691.1537120376107,691.1537120376107,691.1537120376107,0.0,0.0,0.0,4526.188411247672
2016-01-03,3145.0785233670035,2489.411991662666,5978.857144458423,3145.0785233670035,3145.0785233670035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.3501318458075,1096.3501318458075,1096.3501318458075,526.8233370017858,526.8233370017858,526.8233370017858,0.0,0.0,0.0,569.5267948440215,569.5267948440215,569.5267948440215,0.0,0.0,0.0,4241.428655212811
2016-01-04,3202.210105050505,1106.5238474271837,4670.187672162671,3202.210105050505,3202.210105050505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.30833816644673,-389.30833816644673,-389.30833816644673,-134.92505824365955,-134.92505824365955,-134.92505824365955,0.0,0.0,0.0,-254.38327992278735,-254.38327992278735,-254.38327992278735,0.0,0.0,0.0,2812.901766884058
2016-01-05,3259.3416867340065,806.4129909391094,4171.474198176145,3259.3416867340065,3259.3416867340065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-658.5790860500093,-658.5790860500093,-658.5790860500093,-397.73219771260966,-397.73219771260966,-397.73219771260966,0.0,0.0,0.0,-260.8468883373997,-260.8468883373997,-260.8468883373997,0.0,0.0,0.0,2600.7626006839973
2016-01-06,3316.4732684175087,904.2357886035405,4487.1096260296545,3316.4732684175087,3316.4732684175087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.7243729307628,-712.7243729307628,-712.7243729307628,-357.32607072116707,-357.32607072116707,-357.32607072116707,0.0,0.0,0.0,-355.3983022095955,-355.3983022095955,-355.3983022095955,0.0,0.0,0.0,2603.748895486746
2016-01-07,3373.6048501010105,1150.6121767662999,4537.03948692744,3373.6048501010105,3373.6048501010105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575.4593050184617,-575.4593050184617,-575.4593050184617,-300.5742261371473,-300.5742261371473,-300.5742261371473,0.0,0.0,0.0,-274.8850788813144,-274.8850788813144,-274.8850788813144,0.0,0.0,0.0,2798.145545082549
2016-01-08,3430.736431784512,1564.1514152135105,4803.699625753166,3430.736431784512,3430.736431784512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-267.07483059110353,-267.07483059110353,-267.07483059110353,-151.9078730603541,-151.9078730603541,-151.9078730603541,0.0,0.0,0.0,-115.16695753074954,-115.16695753074954,-115.16695753074954,0.0,0.0,0.0,3163.661601193409
2016-01-09,3487.8680134680135,3124.992686171417,6630.001954779377,3487.8680134680135,3487.8680134680135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.3733785836528,1326.3733785836528,1326.3733785836528,635.2196665474681,635.2196665474681,635.2196665474681,0.0,0.0,0.0,691.1537120361847,691.1537120361847,691.1537120361847,0.0,0.0,0.0,4814.2413920516665
2016-01-10,3544.999595151515,3058.5486392737057,6426.743253283493,3544.999595151515,3544.999595151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.7570475276284,1181.7570475276284,1181.7570475276284,612.2302526849546,612.2302526849546,612.2302526849546,0.0,0.0,0.0,569.5267948426739,569.5267948426739,569.5267948426739,0.0,0.0,0.0,4726.756642679144
