ds,y
2016-01-01,3822.0
2016-01-02,5165.0
2016-01-03,4405.0
2016-01-04,1575.0
2016-01-05,1564.0
2016-01-06,1383.0
2016-01-07,2890.0
2016-01-08,5516.0
2016-01-09,4338.0
2016-01-10,3400.0
2016-01-11,1829.0
2016-01-12,1549.0
2016-01-13,2044.0
2016-01-14,3910.0
2016-01-15,2187.0
2016-01-16,11272.0
2016-01-17,5118.0
2016-01-18,4505.0
2016-01-19,1887.0
2016-01-20,2644.0
2016-01-21,3282.0
2016-01-22,6822.0
2016-01-23,4540.0
2016-01-24,4678.0
2016-01-25,2031.0
2016-01-26,1933.0
2016-01-27,2501.0
2016-01-28,3685.0
2016-01-29,11259.0
2016-01-30,6459.0
2016-01-31,7291.0
2016-03-01,3960.0
2016-03-02,3643.0
2016-03-03,2914.0
2016-03-04,3367.0
2016-03-05,4185.0
2016-03-06,5980.0
2016-03-07,3258.0
2016-03-08,3287.0
2016-03-09,3695.0
2016-03-10,3445.0
2016-03-11,3078.0
2016-03-12,4072.0
2016-03-13,3979.0
2016-03-14,3228.0
2016-03-15,2453.0
2016-03-16,4154.0
2016-03-17,3558.0
2016-03-18,3522.0
2016-03-19,5372.0
2016-03-20,5386.0
2016-03-21,3305.0
2016-03-22,3023.0
2016-03-23,2637.0
2016-03-24,3970.0
2016-03-25,3358.0
2016-03-26,5444.0
2016-03-27,5502.0
2016-03-28,3329.0
2016-03-29,2625.0
2016-03-30,3419.0
2016-03-31,2919.0
2016-04-01,2535.0
2016-04-02,5218.0
2016-04-03,5586.0
2016-04-04,3395.0
2016-04-05,4554.0
2016-04-06,3385.0
2016-04-07,2652.0
2016-04-08,3684.0
2016-04-09,5268.0
2016-04-10,6338.0
2016-04-11,3390.0
2016-04-12,4160.0
2016-04-13,2593.0
2016-04-14,3160.0
2016-04-15,2858.0
2016-04-16,4990.0
2016-04-17,5264.0
2016-04-18,3616.0
2016-04-19,3504.0
2016-04-20,3207.0
2016-04-21,3277.0
2016-04-22,3215.0
2016-04-23,4641.0
2016-04-24,4572.0
2016-04-25,2909.0
2016-04-26,3269.0
2016-04-27,3216.0
2016-04-28,2950.0
2016-04-29,2894.0
2016-04-30,6289.0
2016-05-01,5393.0
2016-05-02,3391.0
2016-05-03,3922.0
2016-05-04,3424.0
2016-05-05,4201.0
2016-05-06,2935.0
2016-05-07,4988.0
2016-05-08,4285.0
2016-05-09,2995.0
2016-05-10,3552.0
2016-05-11,3214.0
2016-05-12,4441.0
2016-05-13,3052.0
2016-05-14,4523.0
2016-05-15,4850.0
2016-05-16,3180.0
2016-05-17,4193.0
2016-05-18,3023.0
2016-05-19,2739.0
2016-05-20,3121.0
2016-05-21,4864.0
2016-05-22,4025.0
2016-05-23,3826.0
2016-05-24,3921.0
2016-05-25,2868.0
2016-05-26,3612.0
2016-05-27,3277.0
2016-05-28,5779.0
2016-05-29,4880.0
2016-05-30,3768.0
2016-05-31,4762.0
2016-06-01,3463.0
2016-06-02,3003.0
2016-06-03,3038.0
2016-06-04,4347.0
2016-06-05,4076.0
2016-06-06,4514.0
2016-06-07,2777.0
2016-06-08,3221.0
2016-06-09,4090.0
2016-06-10,3040.0
2016-06-11,5629.0
2016-06-12,4513.0
2016-06-13,3055.0
2016-06-14,3873.0
2016-06-15,3298.0
2016-06-16,4434.0
2016-06-17,4278.0
2016-06-18,4573.0
2016-06-19,5368.0
2016-06-20,3474.0
2016-06-21,3330.0
2016-06-22,3274.0
2016-06-23,2983.0
2016-06-24,3203.0
2016-06-25,5209.0
2016-06-26,4193.0
2016-06-27,3457.0
2016-06-28,4047.0
2016-06-29,2822.0
2016-06-30,2499.0
2016-07-01,3965.0
2016-07-02,4519.0
2016-07-03,4386.0
2016-07-04,4094.0
2016-07-05,3351.0
2016-07-06,3038.0
2016-07-07,3085.0
2016-07-08,3150.0
2016-07-09,4153.0
2016-07-10,5985.0
