ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,422.251212,-123.45714435273999,567.125670681901,422.251212,422.251212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.144524,-118.144524,-118.144524,0.0,0.0,0.0,0.0,0.0,0.0,-189.2501027068933,-189.2501027068933,-189.2501027068933,-32.03726681114363,-32.03726681114363,-32.03726681114363,-118.144524,-118.144524,-118.144524,-39.0683118957497,-39.0683118957497,-39.0683118957497,0.0,0.0,0.0,233.0011092931067
2016-01-02,422.64320818791947,151.79676564257701,853.0991435995959,422.64320818791947,422.64320818791947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.66000511107703,95.66000511107703,95.66000511107703,48.37132046073067,48.37132046073067,48.37132046073067,0.0,0.0,0.0,47.288684650346354,47.288684650346354,47.288684650346354,0.0,0.0,0.0,518.3032132989965
2016-01-03,423.03520437583893,119.71120550244096,811.210657304355,423.03520437583893,423.03520437583893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.00769853711143,37.00769853711143,37.00769853711143,-13.841040863144858,-13.841040863144858,-13.841040863144858,0.0,0.0,0.0,50.848739400256285,50.848739400256285,50.848739400256285,0.0,0.0,0.0,460.04290291295035
2016-01-04,423.4272005637584,43.254748857757136,751.6099957572187,423.4272005637584,423.4272005637584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.6681907232066,-40.6681907232066,-40.6681907232066,-21.211685648694033,-21.211685648694033,-21.211685648694033,0.0,0.0,0.0,-19.45650507451259,-19.45650507451259,-19.45650507451259,0.0,0.0,0.0,382.7590098405518
2016-01-05,423.81919675167785,38.824235360421845,778.2215404057508,423.81919675167785,423.81919675167785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.368457817209013,-22.368457817209013,-22.368457817209013,-14.237309690285228,-14.237309690285228,-14.237309690285228,0.0,0.0,0.0,-8.13114812692378,-8.13114812692378,-8.13114812692378,0.0,0.0,0.0,401.45073893446886
2016-01-06,424.2111929395973,-2.346091464368141,699.0035039710182,424.2111929395973,424.2111929395973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.1157366452709,-70.1157366452709,-70.1157366452709,-55.7955768117962,-55.7955768117962,-55.7955768117962,0.0,0.0,0.0,-14.320159833474715,-14.320159833474715,-14.320159833474715,0.0,0.0,0.0,354.0954562943264
2016-01-07,424.60318912751677,57.24274767875446,782.8416276597746,424.60318912751677,424.60318912751677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.20178800038518,-25.20178800038518,-25.20178800038518,-8.040488880222497,-8.040488880222497,-8.040488880222497,0.0,0.0,0.0,-17.161299120162678,-17.161299120162678,-17.161299120162678,0.0,0.0,0.0,399.4014011271316
2016-01-08,424.99518531543623,-25.544389476173077,657.7502771275654,424.99518531543623,424.99518531543623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.1676688758903,-85.1676688758903,-85.1676688758903,-46.099356980237474,-46.099356980237474,-46.099356980237474,0.0,0.0,0.0,-39.06831189565284,-39.06831189565284,-39.06831189565284,0.0,0.0,0.0,339.82751643954595
2016-01-09,425.38718150335575,171.83989006550087,887.8555240556624,425.38718150335575,425.38718150335575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4947334899222,93.4947334899222,93.4947334899222,46.206048839770524,46.206048839770524,46.206048839770524,0.0,0.0,0.0,47.28868465015167,47.28868465015167,47.28868465015167,0.0,0.0,0.0,518.881914993278
2016-01-11,426.17117387919467,15.740247479094565,781.3034000023121,426.17117387919467,426.17117387919467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.157829574739665,-37.157829574739665,-37.157829574739665,-17.701324500220302,-17.701324500220302,-17.701324500220302,0.0,0.0,0.0,-19.456505074519367,-19.456505074519367,-19.456505074519367,0.0,0.0,0.0,389.013344304455
