ds,y
2016-01-01,229.0
2016-01-02,405.0
2016-01-03,258.0
2016-01-04,283.0
2016-01-05,217.0
2016-01-06,308.0
2016-01-07,336.0
2016-01-08,556.0
2016-01-09,477.0
2016-01-11,477.0
2016-01-12,211.0
2016-01-13,506.0
2016-01-14,400.0
2016-01-15,563.0
2016-01-16,406.0
2016-01-17,335.0
2016-01-18,265.0
2016-01-19,210.0
2016-01-20,415.0
2016-01-21,479.0
2016-01-22,506.0
2016-01-23,443.0
2016-01-25,676.0
2016-01-26,235.0
2016-01-27,557.0
2016-01-28,387.0
2016-01-29,767.0
2016-01-30,621.0
2016-01-31,244.0
2016-03-01,359.0
2016-03-02,219.0
2016-03-03,654.0
2016-03-04,413.0
2016-03-05,398.0
2016-03-06,388.0
2016-03-07,695.0
2016-03-08,307.0
2016-03-09,597.0
2016-03-10,677.0
2016-03-11,459.0
2016-03-12,613.0
2016-03-13,681.0
2016-03-14,425.0
2016-03-15,544.0
2016-03-16,166.0
2016-03-17,676.0
2016-03-18,309.0
2016-03-19,480.0
2016-03-20,501.0
2016-03-21,393.0
2016-03-22,463.0
2016-03-23,142.0
2016-03-24,327.0
2016-03-25,182.0
2016-03-26,425.0
2016-03-27,960.0
2016-03-28,148.0
2016-03-29,708.0
2016-03-30,359.0
2016-03-31,173.0
2016-04-01,616.0
2016-04-02,446.0
2016-04-03,610.0
2016-04-04,279.0
2016-04-05,234.0
2016-04-06,760.0
2016-04-07,414.0
2016-04-08,202.0
2016-04-09,896.0
2016-04-10,355.0
2016-04-11,139.0
2016-04-12,690.0
2016-04-13,289.0
2016-04-14,668.0
2016-04-15,522.0
2016-04-16,366.0
2016-04-17,338.0
2016-04-18,230.0
2016-04-19,685.0
2016-04-20,488.0
2016-04-21,312.0
2016-04-22,184.0
2016-04-23,727.0
2016-04-24,410.0
2016-04-25,168.0
2016-04-26,298.0
2016-04-27,236.0
2016-04-28,257.0
2016-04-29,675.0
2016-04-30,614.0
2016-05-01,739.0
2016-05-02,293.0
2016-05-03,288.0
2016-05-04,140.0
2016-05-05,448.0
2016-05-06,583.0
2016-05-07,562.0
2016-05-08,532.0
2016-05-09,410.0
2016-05-10,589.0
2016-05-11,451.0
2016-05-12,357.0
2016-05-13,146.0
2016-05-14,640.0
2016-05-15,729.0
2016-05-16,676.0
2016-05-17,311.0
2016-05-18,818.0
2016-05-19,634.0
2016-05-20,184.0
2016-05-21,352.0
2016-05-22,362.0
2016-05-23,195.0
2016-05-24,900.0
2016-05-25,359.0
2016-05-26,820.0
2016-05-27,170.0
2016-05-28,564.0
2016-05-29,861.0
2016-05-30,458.0
2016-05-31,290.0
2016-06-01,440.0
2016-06-02,540.0
2016-06-03,210.0
2016-06-04,420.0
2016-06-05,328.0
2016-06-06,468.0
2016-06-07,323.0
2016-06-08,420.0
2016-06-09,268.0
2016-06-10,447.0
2016-06-11,996.0
2016-06-12,840.0
2016-06-13,514.0
2016-06-14,609.0
2016-06-15,425.0
2016-06-16,271.0
2016-06-17,393.0
2016-06-18,574.0
2016-06-19,585.0
2016-06-20,332.0
2016-06-21,779.0
2016-06-22,349.0
2016-06-23,123.0
2016-06-24,353.0
2016-06-25,604.0
2016-06-26,426.0
2016-06-27,163.0
2016-06-28,702.0
2016-06-29,288.0
2016-06-30,574.0
2016-07-01,148.0
2016-07-02,345.0
2016-07-03,489.0
2016-07-04,340.0
2016-07-05,562.0
2016-07-06,277.0
2016-07-07,168.0
2016-07-08,201.0
2016-07-09,363.0
2016-07-10,418.0
2016-07-11,213.0
2016-07-12,481.0
2016-07-13,396.0
2016-07-14,516.0
2016-07-15,184.0
2016-07-16,520.0
2016-07-17,511.0
2016-07-18,414.0
2016-07-19,187.0
2016-07-20,478.0
2016-07-21,306.0
2016-07-22,135.0
2016-07-23,499.0
2016-07-24,832.0
2016-07-25,316.0
2016-07-26,497.0
2016-07-27,327.0
2016-07-28,334.0
2016-07-29,407.0
2016-07-30,642.0
2016-07-31,959.0
2016-08-01,359.0
2016-08-02,219.0
2016-08-03,654.0
2016-08-04,413.0
2016-08-05,208.0
2016-08-06,400.0
2016-08-07,899.0
2016-08-08,307.0
2016-08-09,597.0
2016-08-10,677.0
2016-08-11,459.0
2016-08-12,417.0
2016-08-13,667.0
2016-08-14,610.0
2016-08-15,544.0
2016-08-16,166.0
2016-08-17,676.0
2016-08-18,309.0
2016-08-19,280.0
2016-08-20,521.0
2016-08-21,587.0
2016-08-22,463.0
2016-08-23,142.0
2016-08-24,327.0
2016-08-25,182.0
2016-08-26,228.0
2016-08-27,961.0
2016-08-28,320.0
2016-08-29,708.0
2016-08-30,359.0
2016-08-31,173.0
2016-09-01,616.0
2016-09-02,258.0
2016-09-03,621.0
2016-09-04,469.0
2016-09-05,234.0
2016-09-06,760.0
2016-09-07,414.0
2016-09-08,202.0
2016-09-09,703.0
2016-09-10,368.0
2016-09-11,335.0
2016-09-12,690.0
2016-09-13,289.0
2016-09-14,668.0
2016-09-15,522.0
2016-09-16,174.0
2016-09-17,333.0
2016-09-18,441.0
2016-09-19,685.0
2016-09-20,488.0
2016-09-21,312.0
2016-09-22,184.0
2016-09-23,527.0
2016-09-24,420.0
2016-09-25,347.0
2016-09-26,298.0
2016-09-27,236.0
2016-09-28,257.0
2016-09-29,675.0
2016-09-30,417.0
2016-10-01,713.0
2016-10-02,493.0
2016-10-03,288.0
2016-10-04,140.0
2016-10-05,448.0
2016-10-06,583.0
2016-10-07,392.0
2016-10-08,519.0
2016-10-09,595.0
2016-10-10,589.0
2016-10-11,451.0
2016-10-12,357.0
2016-10-13,146.0
2016-10-14,442.0
2016-10-15,746.0
2016-10-16,849.0
2016-10-17,311.0
2016-10-18,818.0
2016-10-19,634.0
2016-10-20,184.0
2016-10-21,173.0
2016-10-22,349.0
2016-10-23,404.0
2016-10-24,900.0
2016-10-25,359.0
