ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,567.197699,58.51318530206187,891.1035756363151,567.197699,567.197699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182.934748,-182.934748,-182.934748,0.0,0.0,0.0,0.0,0.0,0.0,-92.68935351077522,-92.68935351077522,-92.68935351077522,72.66736414602381,72.66736414602381,72.66736414602381,-182.934748,-182.934748,-182.934748,17.578030343200975,17.578030343200975,17.578030343200975,0.0,0.0,0.0,474.5083454892247
2016-01-02,568.2826364545455,391.08846045883865,1222.625889134464,568.2826364545455,568.2826364545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.57200244903893,219.57200244903893,219.57200244903893,105.72031335014336,105.72031335014336,105.72031335014336,0.0,0.0,0.0,113.85168909889558,113.85168909889558,113.85168909889558,0.0,0.0,0.0,787.8546389035844
2016-01-03,569.3675739090909,257.7048801700898,1119.8063065660983,569.3675739090909,569.3675739090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85936312987492,118.85936312987492,118.85936312987492,55.457088134999694,55.457088134999694,55.457088134999694,0.0,0.0,0.0,63.40227499487519,63.40227499487519,63.40227499487519,0.0,0.0,0.0,688.2269370389658
2016-01-04,570.4525113636363,39.01134690073229,880.767608738571,570.4525113636363,570.4525113636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.31999409573316,-109.31999409573316,-109.31999409573316,-43.10237145142913,-43.10237145142913,-43.10237145142913,0.0,0.0,0.0,-66.21762264430406,-66.21762264430406,-66.21762264430406,0.0,0.0,0.0,461.13251726790315
2016-01-05,571.5374488181818,54.79187020139025,916.0101983856013,571.5374488181818,571.5374488181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.64096162167269,-99.64096162167269,-99.64096162167269,-47.489805384606534,-47.489805384606534,-47.489805384606534,0.0,0.0,0.0,-52.151156237066125,-52.151156237066125,-52.151156237066125,0.0,0.0,0.0,471.89648719650916
2016-01-06,572.6223862727272,31.079096460569094,870.8443034185958,572.6223862727272,572.6223862727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.73667765981779,-103.73667765981779,-103.73667765981779,-59.42089512417509,-59.42089512417509,-59.42089512417509,0.0,0.0,0.0,-44.31578253564269,-44.31578253564269,-44.31578253564269,0.0,0.0,0.0,468.8857086129094
2016-01-07,573.7073237272728,50.12406330081851,909.3268097654969,573.7073237272728,573.7073237272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.3796636503355,-70.3796636503355,-70.3796636503355,-38.23223063015272,-38.23223063015272,-38.23223063015272,0.0,0.0,0.0,-32.14743302018279,-32.14743302018279,-32.14743302018279,0.0,0.0,0.0,503.32766007693726
2016-01-08,574.7922611818182,132.66866063636965,967.6132705284222,574.7922611818182,574.7922611818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.93327311603256,-19.93327311603256,-19.93327311603256,-37.51130345943102,-37.51130345943102,-37.51130345943102,0.0,0.0,0.0,17.578030343398442,17.578030343398442,17.578030343398442,0.0,0.0,0.0,554.8589880657856
2016-01-09,575.8771986363637,375.48699476238187,1197.7694829131603,575.8771986363637,575.8771986363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.8347539463271,235.8347539463271,235.8347539463271,121.98306484753519,121.98306484753519,121.98306484753519,0.0,0.0,0.0,113.85168909879194,113.85168909879194,113.85168909879194,0.0,0.0,0.0,811.7119525826909
2016-01-10,576.9621360909091,332.51451411512807,1113.565948266126,576.9621360909091,576.9621360909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.74973684916478,134.74973684916478,134.74973684916478,71.34746185451831,71.34746185451831,71.34746185451831,0.0,0.0,0.0,63.40227499464645,63.40227499464645,63.40227499464645,0.0,0.0,0.0,711.7118729400738
2016-01-11,578.04707012348,43.98053832168929,862.1201135754558,578.04707012348,578.04707012348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.55049648159897,-155.55049648159897,-155.55049648159897,-89.33287383723345,-89.33287383723345,-89.33287383723345,0.0,0.0,0.0,-66.2176226443655,-66.2176226443655,-66.2176226443655,0.0,0.0,0.0,422.496573641881
2016-01-12,579.1320041560509,62.48539336894132,883.5458514704172,579.1320041560509,579.1320041560509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.96366332679601,-108.96366332679601,-108.96366332679601,-56.81250708960277,-56.81250708960277,-56.81250708960277,0.0,0.0,0.0,-52.15115623719327,-52.15115623719327,-52.15115623719327,0.0,0.0,0.0,470.16834082925493
2016-01-13,580.216938188622,98.16507924079829,915.3529227932054,580.216938188622,580.216938188622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.52645248268138,-73.52645248268138,-73.52645248268138,-29.21066994699404,-29.21066994699404,-29.21066994699404,0.0,0.0,0.0,-44.31578253568734,-44.31578253568734,-44.31578253568734,0.0,0.0,0.0,506.69048570594055
2016-01-14,581.3018722211929,122.21193562624683,938.4326800163074,581.3018722211929,581.3018722211929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.210068430304354,-58.210068430304354,-58.210068430304354,-26.06263541016845,-26.06263541016845,-26.06263541016845,0.0,0.0,0.0,-32.1474330201359,-32.1474330201359,-32.1474330201359,0.0,0.0,0.0,523.0918037908885
2016-01-15,582.3868062537638,260.12782437787644,1112.7783587250256,582.3868062537638,582.3868062537638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2453944895038,90.2453944895038,90.2453944895038,72.66736414614587,72.66736414614587,72.66736414614587,0.0,0.0,0.0,17.5780303433579,17.5780303433579,17.5780303433579,0.0,0.0,0.0,672.6322007432676
2016-01-16,583.4717402863347,415.85012495784116,1186.7239185528522,583.4717402863347,583.4717402863347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.57200244901495,219.57200244901495,219.57200244901495,105.72031335012292,105.72031335012292,105.72031335012292,0.0,0.0,0.0,113.85168909889202,113.85168909889202,113.85168909889202,0.0,0.0,0.0,803.0437427353496
2016-01-17,584.5566743189056,284.35953988641404,1134.5776262677919,584.5566743189056,584.5566743189056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85936313027776,118.85936313027776,118.85936313027776,55.45708813525864,55.45708813525864,55.45708813525864,0.0,0.0,0.0,63.402274995019134,63.402274995019134,63.402274995019134,0.0,0.0,0.0,703.4160374491834
2016-01-18,585.6416083514765,23.90393199894253,893.7044348321888,585.6416083514765,585.6416083514765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.31999409591336,-109.31999409591336,-109.31999409591336,-43.10237145150167,-43.10237145150167,-43.10237145150167,0.0,0.0,0.0,-66.21762264441168,-66.21762264441168,-66.21762264441168,0.0,0.0,0.0,476.3216142555632
2016-01-19,586.7265398726538,34.06972602445143,898.1720701157863,586.7265398726538,586.7265398726538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.64096162118399,-99.64096162118399,-99.64096162118399,-47.48980538439647,-47.48980538439647,-47.48980538439647,0.0,0.0,0.0,-52.15115623678748,-52.15115623678748,-52.15115623678748,0.0,0.0,0.0,487.0855782514698
2016-01-20,587.8114713938309,84.57927624379181,886.27086961589,587.8114713938309,587.8114713938309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.73667765991907,-103.73667765991907,-103.73667765991907,-59.42089512426346,-59.42089512426346,-59.42089512426346,0.0,0.0,0.0,-44.3157825356556,-44.3157825356556,-44.3157825356556,0.0,0.0,0.0,484.0747937339118
2016-01-21,588.896402915008,108.77022970372802,915.2890493379359,588.896402915008,588.896402915008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.37966364999566,-70.37966364999566,-70.37966364999566,-38.23223063001076,-38.23223063001076,-38.23223063001076,0.0,0.0,0.0,-32.1474330199849,-32.1474330199849,-32.1474330199849,0.0,0.0,0.0,518.5167392650123
2016-01-22,589.9813344361853,172.73956100304372,969.4298682233616,589.9813344361853,589.9813344361853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.93327311610275,-19.93327311610275,-19.93327311610275,-37.51130345943651,-37.51130345943651,-37.51130345943651,0.0,0.0,0.0,17.578030343333765,17.578030343333765,17.578030343333765,0.0,0.0,0.0,570.0480613200825
2016-01-23,591.0662659573624,426.6891730755123,1218.9499363253428,591.0662659573624,591.0662659573624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.8347539467791,235.8347539467791,235.8347539467791,121.98306484778702,121.98306484778702,121.98306484778702,0.0,0.0,0.0,113.8516890989921,113.8516890989921,113.8516890989921,0.0,0.0,0.0,826.9010199041414
2016-01-24,592.1511974785395,318.8481019109203,1136.0371500343874,592.1511974785395,592.1511974785395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.74973684957138,134.74973684957138,134.74973684957138,71.3474618547441,71.3474618547441,71.3474618547441,0.0,0.0,0.0,63.402274994827245,63.402274994827245,63.402274994827245,0.0,0.0,0.0,726.9009343281109
2016-01-25,593.2361289997168,5.765447823508433,849.2621830346359,593.2361289997168,593.2361289997168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.5504964815029,-155.5504964815029,-155.5504964815029,-89.33287383717077,-89.33287383717077,-89.33287383717077,0.0,0.0,0.0,-66.21762264433215,-66.21762264433215,-66.21762264433215,0.0,0.0,0.0,437.6856325182139
2016-01-26,594.321060520894,125.23946762262295,887.8922246179965,594.321060520894,594.321060520894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.9636633257585,-108.9636633257585,-108.9636633257585,-56.81250708913089,-56.81250708913089,-56.81250708913089,0.0,0.0,0.0,-52.151156236627614,-52.151156236627614,-52.151156236627614,0.0,0.0,0.0,485.3573971951355
2016-01-27,595.4059920420711,94.75822470069315,946.5245734904287,595.4059920420711,595.4059920420711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.5264524827439,-73.5264524827439,-73.5264524827439,-29.210669947035722,-29.210669947035722,-29.210669947035722,0.0,0.0,0.0,-44.31578253570818,-44.31578253570818,-44.31578253570818,0.0,0.0,0.0,521.8795395593272
2016-01-28,596.490923032615,108.02216286116607,970.3725012218079,596.490923032615,596.490923032615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.21006842965889,-58.21006842965889,-58.21006842965889,-26.062635409800617,-26.062635409800617,-26.062635409800617,0.0,0.0,0.0,-32.14743301985827,-32.14743301985827,-32.14743301985827,0.0,0.0,0.0,538.2808546029561
2016-01-29,597.575854023159,228.26312221690864,1084.0864396860925,597.575854023159,597.575854023159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.24539448972016,90.24539448972016,90.24539448972016,72.66736414622484,72.66736414622484,72.66736414622484,0.0,0.0,0.0,17.57803034349528,17.57803034349528,17.57803034349528,0.0,0.0,0.0,687.8212485128792
2016-01-30,598.6607850137028,399.05518639021943,1219.822856150478,598.6607850137028,598.6607850137028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.5720024490044,219.5720024490044,219.5720024490044,105.7203133500822,105.7203133500822,105.7203133500822,0.0,0.0,0.0,113.85168909892217,113.85168909892217,113.85168909892217,0.0,0.0,0.0,818.2327874627072
2016-01-31,599.7457160042468,298.26244071097153,1113.009376474859,599.7457160042468,599.7457160042468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85936313026484,118.85936313026484,118.85936313026484,55.45708813520226,55.45708813520226,55.45708813520226,0.0,0.0,0.0,63.402274995062584,63.402274995062584,63.402274995062584,0.0,0.0,0.0,718.6050791345116
2016-03-01,632.2936457205642,102.43866008216887,919.3045190474808,632.2936457205642,632.2936457205642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.64096162158266,-99.64096162158266,-99.64096162158266,-47.48980538457572,-47.48980538457572,-47.48980538457572,0.0,0.0,0.0,-52.15115623700696,-52.15115623700696,-52.15115623700696,0.0,0.0,0.0,532.6526840989816
2016-03-02,633.3785767111082,107.44483133496588,930.7002872521914,633.3785767111082,633.3785767111082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.73667766000062,-103.73667766000062,-103.73667766000062,-59.42089512436379,-59.42089512436379,-59.42089512436379,0.0,0.0,0.0,-44.31578253563683,-44.31578253563683,-44.31578253563683,0.0,0.0,0.0,529.6418990511075
2016-03-03,634.463507701652,156.5333874926462,982.2640848564916,634.463507701652,634.463507701652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.37966365014952,-70.37966365014952,-70.37966365014952,-38.23223063007777,-38.23223063007777,-38.23223063007777,0.0,0.0,0.0,-32.147433020071766,-32.147433020071766,-32.147433020071766,0.0,0.0,0.0,564.0838440515025
2016-03-04,635.548438692196,212.4916282849355,1025.4631859900394,635.548438692196,635.548438692196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.933273115942747,-19.933273115942747,-19.933273115942747,-37.51130345937595,-37.51130345937595,-37.51130345937595,0.0,0.0,0.0,17.578030343433195,17.578030343433195,17.578030343433195,0.0,0.0,0.0,615.6151655762533
2016-03-05,636.480849760181,465.07920069023754,1294.0383625884845,636.480849760181,636.480849760181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.83475394656247,235.83475394656247,235.83475394656247,121.98306484770386,121.98306484770386,121.98306484770386,0.0,0.0,0.0,113.85168909885861,113.85168909885861,113.85168909885861,0.0,0.0,0.0,872.3156037067434
2016-03-06,637.4132608281659,351.72038787243514,1201.3411419441434,637.4132608281659,637.4132608281659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.7497368498839,134.7497368498839,134.7497368498839,71.34746185486269,71.34746185486269,71.34746185486269,0.0,0.0,0.0,63.4022749950212,63.4022749950212,63.4022749950212,0.0,0.0,0.0,772.1629976780498
2016-03-07,638.345671896151,90.36185681167407,875.4481245318541,638.345671896151,638.345671896151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155.55049648156114,-155.55049648156114,-155.55049648156114,-89.3328738371881,-89.3328738371881,-89.3328738371881,0.0,0.0,0.0,-66.21762264437305,-66.21762264437305,-66.21762264437305,0.0,0.0,0.0,482.79517541458983
