ds,y
2016-01-01,475.0
2016-01-02,608.0
2016-01-03,482.0
2016-01-04,325.0
2016-01-05,597.0
2016-01-06,320.0
2016-01-07,603.0
2016-01-08,826.0
2016-01-09,934.0
2016-01-10,386.0
2016-01-11,339.0
2016-01-12,610.0
2016-01-13,320.0
2016-01-14,600.0
2016-01-15,876.0
2016-01-16,785.0
2016-01-17,466.0
2016-01-18,396.0
2016-01-19,562.0
2016-01-20,418.0
2016-01-21,654.0
2016-01-22,876.0
2016-01-23,838.0
2016-01-24,463.0
2016-01-25,286.0
2016-01-26,530.0
2016-01-27,325.0
2016-01-28,795.0
2016-01-29,1316.0
2016-01-30,785.0
2016-01-31,484.0
2016-03-01,238.0
2016-03-02,230.0
2016-03-03,429.0
2016-03-04,790.0
2016-03-05,1150.0
2016-03-06,1039.0
2016-03-07,223.0
2016-03-08,339.0
2016-03-09,405.0
2016-03-10,219.0
2016-03-11,1005.0
2016-03-12,960.0
2016-03-13,696.0
2016-03-14,313.0
2016-03-15,952.0
2016-03-16,491.0
2016-03-17,1000.0
2016-03-18,542.0
2016-03-19,890.0
2016-03-20,763.0
2016-03-21,957.0
2016-03-22,515.0
2016-03-23,846.0
2016-03-24,889.0
2016-03-25,421.0
2016-03-26,1217.0
2016-03-27,844.0
2016-03-28,321.0
2016-03-29,514.0
2016-03-30,459.0
2016-03-31,579.0
2016-04-01,629.0
2016-04-02,687.0
2016-04-03,581.0
2016-04-04,570.0
2016-04-05,488.0
2016-04-06,322.0
2016-04-07,636.0
2016-04-08,246.0
2016-04-09,1319.0
2016-04-10,643.0
2016-04-11,543.0
2016-04-12,318.0
2016-04-13,440.0
2016-04-14,287.0
2016-04-15,296.0
2016-04-16,1036.0
2016-04-17,1001.0
2016-04-18,584.0
2016-04-19,763.0
2016-04-20,762.0
2016-04-21,597.0
2016-04-22,254.0
2016-04-23,931.0
2016-04-24,924.0
2016-04-25,488.0
2016-04-26,252.0
2016-04-27,1027.0
2016-04-28,735.0
2016-04-29,510.0
2016-04-30,1072.0
2016-05-01,563.0
2016-05-02,279.0
2016-05-03,392.0
2016-05-04,337.0
2016-05-05,747.0
2016-05-06,1041.0
2016-05-07,1120.0
2016-05-08,604.0
2016-05-09,837.0
2016-05-10,682.0
2016-05-11,596.0
2016-05-12,230.0
2016-05-13,845.0
2016-05-14,451.0
2016-05-15,1000.0
2016-05-16,483.0
2016-05-17,436.0
2016-05-18,830.0
2016-05-19,694.0
2016-05-20,678.0
2016-05-21,776.0
2016-05-22,497.0
2016-05-23,673.0
2016-05-24,930.0
2016-05-25,728.0
2016-05-26,621.0
2016-05-27,604.0
2016-05-28,1256.0
2016-05-29,824.0
2016-05-30,473.0
2016-05-31,586.0
2016-06-01,465.0
2016-06-02,427.0
2016-06-03,585.0
2016-06-04,645.0
2016-06-05,962.0
2016-06-06,508.0
2016-06-07,204.0
2016-06-08,633.0
2016-06-09,348.0
2016-06-10,549.0
2016-06-11,1151.0
2016-06-12,882.0
2016-06-13,409.0
2016-06-14,553.0
2016-06-15,639.0
2016-06-16,533.0
2016-06-17,521.0
2016-06-18,884.0
2016-06-19,895.0
2016-06-20,757.0
2016-06-21,564.0
2016-06-22,385.0
2016-06-23,356.0
2016-06-24,675.0
2016-06-25,679.0
2016-06-26,759.0
2016-06-27,437.0
2016-06-28,335.0
2016-06-29,489.0
2016-06-30,381.0
2016-07-01,619.0
2016-07-02,948.0
2016-07-03,893.0
2016-07-04,712.0
2016-07-05,812.0
2016-07-06,443.0
2016-07-07,595.0
2016-07-08,568.0
2016-07-09,748.0
2016-07-10,931.0
2016-07-11,499.0
2016-07-12,546.0
2016-07-13,836.0
2016-07-14,451.0
2016-07-15,515.0
2016-07-16,967.0
2016-07-17,790.0
2016-07-18,212.0
2016-07-19,262.0
2016-07-20,627.0
2016-07-21,646.0
2016-07-22,300.0
2016-07-23,748.0
2016-07-24,653.0
2016-07-25,397.0
2016-07-26,389.0
2016-07-27,303.0
2016-07-28,342.0
2016-07-29,761.0
2016-07-30,901.0
2016-07-31,954.0
2016-08-01,238.0
2016-08-02,230.0
2016-08-03,429.0
2016-08-04,790.0
2016-08-05,847.0
2016-08-06,1039.0
2016-08-07,479.0
2016-08-08,339.0
2016-08-09,405.0
2016-08-10,219.0
2016-08-11,1005.0
2016-08-12,684.0
2016-08-13,698.0
2016-08-14,593.0
2016-08-15,952.0
2016-08-16,491.0
2016-08-17,1000.0
2016-08-18,542.0
2016-08-19,615.0
2016-08-20,754.0
2016-08-21,1250.0
2016-08-22,515.0
2016-08-23,846.0
2016-08-24,889.0
2016-08-25,421.0
2016-08-26,914.0
2016-08-27,847.0
2016-08-28,607.0
2016-08-29,514.0
2016-08-30,459.0
2016-08-31,579.0
2016-09-01,629.0
2016-09-02,402.0
2016-09-03,547.0
2016-09-04,869.0
2016-09-05,488.0
2016-09-06,322.0
2016-09-07,636.0
2016-09-08,246.0
2016-09-09,1024.0
2016-09-10,637.0
2016-09-11,827.0
2016-09-12,318.0
2016-09-13,440.0
2016-09-14,287.0
2016-09-15,296.0
2016-09-16,773.0
2016-09-17,990.0
2016-09-18,861.0
2016-09-19,763.0
2016-09-20,762.0
2016-09-21,597.0
2016-09-22,254.0
2016-09-23,659.0
2016-09-24,897.0
2016-09-25,775.0
2016-09-26,252.0
2016-09-27,1027.0
2016-09-28,735.0
2016-09-29,510.0
2016-09-30,797.0
2016-10-01,579.0
2016-10-02,560.0
2016-10-03,392.0
2016-10-04,337.0
2016-10-05,747.0
2016-10-06,1041.0
2016-10-07,837.0
2016-10-08,601.0
2016-10-09,1109.0
2016-10-10,682.0
2016-10-11,596.0
2016-10-12,230.0
2016-10-13,845.0
2016-10-14,214.0
2016-10-15,973.0
2016-10-16,742.0
2016-10-17,436.0
2016-10-18,830.0
2016-10-19,694.0
2016-10-20,678.0
2016-10-21,503.0
2016-10-22,504.0
2016-10-23,976.0
2016-10-24,930.0
