ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,327.686598,-72.38371796032506,565.8723918582995,327.686598,327.686598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.6773966,-91.6773966,-91.6773966,0.0,0.0,0.0,0.0,0.0,0.0,-68.75902317518432,-68.75902317518432,-68.75902317518432,22.920944957172246,22.920944957172246,22.920944957172246,-91.6773966,-91.6773966,-91.6773966,-0.00257153235657665,-0.00257153235657665,-0.00257153235657665,0.0,0.0,0.0,258.9275748248157
2016-01-02,329.09238606060603,144.0980731614837,794.9136349892085,329.09238606060603,329.09238606060603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.31114436155828,125.31114436155828,125.31114436155828,82.1035677030856,82.1035677030856,82.1035677030856,0.0,0.0,0.0,43.20757665847269,43.20757665847269,43.20757665847269,0.0,0.0,0.0,454.4035304221643
2016-01-03,330.4981741212121,73.54864947375928,765.9106939214856,330.4981741212121,330.4981741212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.94230635987597,79.94230635987597,79.94230635987597,45.24679081958587,45.24679081958587,45.24679081958587,0.0,0.0,0.0,34.69551554029011,34.69551554029011,34.69551554029011,0.0,0.0,0.0,410.4404804810881
2016-01-04,331.90396218181814,-101.40947643898392,562.2707948309146,331.90396218181814,331.90396218181814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.90245677374229,-90.90245677374229,-90.90245677374229,-62.28815238585508,-62.28815238585508,-62.28815238585508,0.0,0.0,0.0,-28.6143043878872,-28.6143043878872,-28.6143043878872,0.0,0.0,0.0,241.00150540807584
2016-01-05,333.30975024242423,-38.73550210166196,610.5318588986631,333.30975024242423,333.30975024242423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.02898219964844,-51.02898219964844,-51.02898219964844,-30.495654257483753,-30.495654257483753,-30.495654257483753,0.0,0.0,0.0,-20.533327942164703,-20.533327942164703,-20.533327942164703,0.0,0.0,0.0,282.2807680427758
2016-01-06,334.71553830303026,-3.364784308575558,638.3902286430028,334.71553830303026,334.71553830303026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.080145050103066,-24.080145050103066,-24.080145050103066,-12.852963661713003,-12.852963661713003,-12.852963661713003,0.0,0.0,0.0,-11.227181388390063,-11.227181388390063,-11.227181388390063,0.0,0.0,0.0,310.6353932529272
2016-01-07,336.12132636363634,12.660791644621876,636.7433147512729,336.12132636363634,336.12132636363634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.797053336250352,-11.797053336250352,-11.797053336250352,5.72865361185253,5.72865361185253,5.72865361185253,0.0,0.0,0.0,-17.525706948102886,-17.525706948102886,-17.525706948102886,0.0,0.0,0.0,324.32427302738597
2016-01-08,337.5271144242424,2.118243451968072,631.9771330064054,337.5271144242424,337.5271144242424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.928659554042593,-22.928659554042593,-22.928659554042593,-22.92608802177166,-22.92608802177166,-22.92608802177166,0.0,0.0,0.0,-0.002571532270932564,-0.002571532270932564,-0.002571532270932564,0.0,0.0,0.0,314.5984548701998
2016-01-09,338.9329024848485,30.140533872854324,736.109826775753,338.9329024848485,338.9329024848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.51916227213857,47.51916227213857,47.51916227213857,4.311585613754704,4.311585613754704,4.311585613754704,0.0,0.0,0.0,43.207576658383886,43.207576658383886,43.207576658383886,0.0,0.0,0.0,386.45206475698706
2016-01-10,340.33869054545454,73.02061194512072,717.0479710612542,340.33869054545454,340.33869054545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.83975580116292,58.83975580116292,58.83975580116292,24.14424026097476,24.14424026097476,24.14424026097476,0.0,0.0,0.0,34.69551554018817,34.69551554018817,34.69551554018817,0.0,0.0,0.0,399.1784463466175
