ds,y
2016-01-01,262.0
2016-01-02,551.0
2016-01-03,266.0
2016-01-04,198.0
2016-01-05,228.0
2016-01-06,313.0
2016-01-07,205.0
2016-01-08,625.0
2016-01-09,442.0
2016-01-10,180.0
2016-01-11,240.0
2016-01-12,360.0
2016-01-13,232.0
2016-01-14,177.0
2016-01-15,574.0
2016-01-16,529.0
2016-01-17,294.0
2016-01-18,155.0
2016-01-19,271.0
2016-01-20,269.0
2016-01-21,167.0
2016-01-22,575.0
2016-01-23,595.0
2016-01-24,242.0
2016-01-25,255.0
2016-01-26,245.0
2016-01-27,305.0
2016-01-28,161.0
2016-01-29,954.0
2016-01-30,657.0
2016-01-31,229.0
2016-03-01,480.0
2016-03-02,500.0
2016-03-03,349.0
2016-03-04,616.0
2016-03-05,316.0
2016-03-06,346.0
2016-03-07,211.0
2016-03-08,420.0
2016-03-09,180.0
2016-03-10,384.0
2016-03-11,434.0
2016-03-12,698.0
2016-03-13,696.0
2016-03-14,462.0
2016-03-15,271.0
2016-03-16,549.0
2016-03-17,667.0
2016-03-18,240.0
2016-03-19,378.0
2016-03-20,405.0
2016-03-21,414.0
2016-03-22,593.0
2016-03-23,125.0
2016-03-24,434.0
2016-03-25,402.0
2016-03-26,383.0
2016-03-27,565.0
2016-03-28,278.0
2016-03-29,359.0
2016-03-30,163.0
2016-03-31,588.0
2016-04-01,836.0
2016-04-02,615.0
2016-04-03,720.0
2016-04-04,318.0
2016-04-05,454.0
2016-04-06,864.0
2016-04-07,503.0
2016-04-08,273.0
2016-04-09,749.0
2016-04-10,463.0
2016-04-11,600.0
2016-04-12,115.0
2016-04-13,118.0
2016-04-14,259.0
2016-04-15,230.0
2016-04-16,412.0
2016-04-17,804.0
2016-04-18,277.0
2016-04-19,465.0
2016-04-20,515.0
2016-04-21,477.0
2016-04-22,364.0
2016-04-23,570.0
2016-04-24,456.0
2016-04-25,202.0
2016-04-26,448.0
2016-04-27,605.0
2016-04-28,603.0
2016-04-29,482.0
2016-04-30,293.0
2016-05-01,512.0
2016-05-02,304.0
2016-05-03,227.0
2016-05-04,173.0
2016-05-05,261.0
2016-05-06,278.0
2016-05-07,833.0
2016-05-08,636.0
2016-05-09,229.0
2016-05-10,238.0
2016-05-11,419.0
2016-05-12,162.0
2016-05-13,283.0
2016-05-14,381.0
2016-05-15,344.0
2016-05-16,604.0
2016-05-17,454.0
2016-05-18,326.0
2016-05-19,510.0
2016-05-20,349.0
2016-05-21,468.0
2016-05-22,304.0
2016-05-23,136.0
2016-05-24,511.0
2016-05-25,316.0
2016-05-26,362.0
