ds,y
2016-01-01,520.0
2016-01-02,524.0
2016-01-03,234.0
2016-01-04,171.0
2016-01-05,162.0
2016-01-06,129.0
2016-01-07,298.0
2016-01-08,568.0
2016-01-09,451.0
2016-01-10,158.0
2016-01-11,207.0
2016-01-12,138.0
2016-01-13,154.0
2016-01-14,287.0
2016-01-15,761.0
2016-01-16,608.0
2016-01-17,312.0
2016-01-18,206.0
2016-01-19,246.0
2016-01-20,160.0
2016-01-21,339.0
2016-01-22,557.0
2016-01-23,446.0
2016-01-24,213.0
2016-01-25,171.0
2016-01-26,218.0
2016-01-27,131.0
2016-01-28,252.0
2016-01-29,724.0
2016-01-30,554.0
2016-01-31,306.0
2016-03-01,415.0
2016-03-02,415.0
2016-03-03,389.0
2016-03-04,162.0
2016-03-05,371.0
2016-03-06,575.0
2016-03-07,135.0
2016-03-08,319.0
2016-03-09,382.0
2016-03-10,123.0
2016-03-11,192.0
2016-03-12,394.0
2016-03-13,717.0
2016-03-14,529.0
2016-03-15,120.0
2016-03-16,250.0
2016-03-17,584.0
2016-03-18,378.0
2016-03-19,485.0
2016-03-20,709.0
2016-03-21,782.0
2016-03-22,435.0
2016-03-23,196.0
2016-03-24,342.0
2016-03-25,304.0
2016-03-26,732.0
2016-03-27,418.0
2016-03-28,450.0
2016-03-29,343.0
2016-03-30,206.0
2016-03-31,148.0
2016-04-01,135.0
2016-04-02,301.0
2016-04-03,615.0
2016-04-04,446.0
2016-04-05,313.0
2016-04-06,176.0
2016-04-07,439.0
2016-04-08,161.0
2016-04-09,307.0
2016-04-10,526.0
2016-04-11,287.0
2016-04-12,143.0
2016-04-13,445.0
2016-04-14,477.0
2016-04-15,418.0
2016-04-16,938.0
2016-04-17,554.0
2016-04-18,138.0
2016-04-19,585.0
2016-04-20,398.0
2016-04-21,160.0
2016-04-22,595.0
2016-04-23,480.0
2016-04-24,786.0
2016-04-25,145.0
2016-04-26,325.0
2016-04-27,362.0
2016-04-28,672.0
2016-04-29,497.0
2016-04-30,428.0
2016-05-01,498.0
2016-05-02,342.0
2016-05-03,143.0
2016-05-04,562.0
2016-05-05,502.0
2016-05-06,214.0
2016-05-07,424.0
2016-05-08,435.0
2016-05-09,393.0
2016-05-10,766.0
2016-05-11,600.0
2016-05-12,122.0
2016-05-13,343.0
2016-05-14,511.0
2016-05-15,739.0
2016-05-16,199.0
2016-05-17,389.0
2016-05-18,656.0
2016-05-19,131.0
2016-05-20,527.0
2016-05-21,552.0
2016-05-22,294.0
2016-05-23,625.0
2016-05-24,998.0
2016-05-25,470.0
2016-05-26,355.0
2016-05-27,234.0
2016-05-28,499.0
2016-05-29,690.0
2016-05-30,249.0
2016-05-31,323.0
2016-06-01,533.0
2016-06-02,242.0
2016-06-03,210.0
2016-06-04,664.0
2016-06-05,325.0
2016-06-06,476.0
2016-06-07,250.0
2016-06-08,388.0
2016-06-09,229.0
2016-06-10,260.0
2016-06-11,563.0
2016-06-12,451.0
2016-06-13,388.0
2016-06-14,570.0
2016-06-15,257.0
2016-06-16,331.0
2016-06-17,482.0
2016-06-18,358.0
2016-06-19,559.0
2016-06-20,267.0
2016-06-21,460.0
2016-06-22,632.0
2016-06-23,488.0
2016-06-24,594.0
2016-06-25,567.0
2016-06-26,552.0
2016-06-27,530.0
2016-06-28,247.0
2016-06-29,615.0
2016-06-30,616.0
2016-07-01,380.0
2016-07-02,346.0
2016-07-03,350.0
2016-07-04,530.0
2016-07-05,145.0
2016-07-06,220.0
2016-07-07,543.0
2016-07-08,485.0
2016-07-09,443.0
2016-07-10,518.0
2016-07-11,452.0
2016-07-12,191.0
2016-07-13,252.0
2016-07-14,472.0
2016-07-15,243.0
2016-07-16,384.0
2016-07-17,329.0
2016-07-18,140.0
2016-07-19,400.0
2016-07-20,346.0
2016-07-21,813.0
2016-07-22,695.0
2016-07-23,572.0
2016-07-24,770.0
2016-07-25,296.0
2016-07-26,155.0
2016-07-27,703.0
2016-07-28,374.0
2016-07-29,456.0
2016-07-30,419.0
2016-07-31,743.0
2016-08-01,415.0
2016-08-02,415.0
2016-08-03,389.0
2016-08-04,162.0
2016-08-05,205.0
2016-08-06,551.0
2016-08-07,313.0
2016-08-08,319.0
2016-08-09,382.0
2016-08-10,123.0
2016-08-11,192.0
2016-08-12,223.0
2016-08-13,694.0
2016-08-14,691.0
2016-08-15,120.0
2016-08-16,250.0
2016-08-17,584.0
2016-08-18,378.0
2016-08-19,300.0
2016-08-20,715.0
2016-08-21,964.0
2016-08-22,435.0
2016-08-23,196.0
2016-08-24,342.0
2016-08-25,304.0
2016-08-26,553.0
2016-08-27,427.0
2016-08-28,632.0
2016-08-29,343.0
2016-08-30,206.0
2016-08-31,148.0
2016-09-01,135.0
2016-09-02,123.0
2016-09-03,607.0
2016-09-04,628.0
2016-09-05,313.0
2016-09-06,176.0
2016-09-07,439.0
2016-09-08,161.0
2016-09-09,135.0
2016-09-10,521.0
2016-09-11,482.0
2016-09-12,143.0
2016-09-13,445.0
2016-09-14,477.0
2016-09-15,418.0
2016-09-16,765.0
2016-09-17,548.0
2016-09-18,314.0
2016-09-19,585.0
2016-09-20,398.0
2016-09-21,160.0
2016-09-22,595.0
2016-09-23,312.0
2016-09-24,784.0
2016-09-25,308.0
2016-09-26,325.0
2016-09-27,362.0
2016-09-28,672.0
2016-09-29,497.0
2016-09-30,272.0
2016-10-01,508.0
2016-10-02,506.0
2016-10-03,143.0
2016-10-04,562.0
2016-10-05,502.0
2016-10-06,214.0
2016-10-07,240.0
2016-10-08,428.0
2016-10-09,576.0
2016-10-10,766.0
2016-10-11,600.0
2016-10-12,122.0
2016-10-13,343.0
2016-10-14,334.0
2016-10-15,751.0
2016-10-16,362.0
2016-10-17,389.0
2016-10-18,656.0
2016-10-19,131.0
2016-10-20,527.0
2016-10-21,392.0
2016-10-22,282.0
2016-10-23,806.0
2016-10-24,998.0
