ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,3247.0866,1466.7559728309725,4035.632246615747,3247.0866,3247.0866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-614.4046272,-614.4046272,-614.4046272,0.0,0.0,0.0,0.0,0.0,0.0,-563.9012056079592,-563.9012056079592,-563.9012056079592,112.60256100949191,112.60256100949191,112.60256100949191,-614.4046272,-614.4046272,-614.4046272,-62.09913941745117,-62.09913941745117,-62.09913941745117,0.0,0.0,0.0,2683.185394392041
2016-01-02,3287.9262775757575,2938.541094111483,5669.391359614723,3287.9262775757575,3287.9262775757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.1756997913928,1076.1756997913928,1076.1756997913928,506.5203445905216,506.5203445905216,506.5203445905216,0.0,0.0,0.0,569.6553552008713,569.6553552008713,569.6553552008713,0.0,0.0,0.0,4364.1019773671505
2016-01-03,3328.7659551515153,2713.6572039029816,5326.936875988102,3328.7659551515153,3328.7659551515153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.4598710802563,743.4598710802563,743.4598710802563,329.127448886924,329.127448886924,329.127448886924,0.0,0.0,0.0,414.3324221933323,414.3324221933323,414.3324221933323,0.0,0.0,0.0,4072.225826231772
2016-01-04,3369.6056327272727,1487.2700053276071,4126.440538401522,3369.6056327272727,3369.6056327272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-504.67373284703547,-504.67373284703547,-504.67373284703547,-237.13224008905425,-237.13224008905425,-237.13224008905425,0.0,0.0,0.0,-267.54149275798113,-267.54149275798113,-267.54149275798113,0.0,0.0,0.0,2864.9318998802373
2016-01-05,3410.4453103030305,1372.839435591034,4180.708631724909,3410.4453103030305,3410.4453103030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-555.1923097739932,-555.1923097739932,-555.1923097739932,-308.6231322259498,-308.6231322259498,-308.6231322259498,0.0,0.0,0.0,-246.56917754804343,-246.56917754804343,-246.56917754804343,0.0,0.0,0.0,2855.2530005290373
2016-01-06,3451.284987878788,1535.6283496216192,4336.73465580891,3451.284987878788,3451.284987878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-522.0326688130996,-522.0326688130996,-522.0326688130996,-271.21869570221037,-271.21869570221037,-271.21869570221037,0.0,0.0,0.0,-250.8139731108892,-250.8139731108892,-250.8139731108892,0.0,0.0,0.0,2929.2523190656884
2016-01-07,3492.1246654545457,1769.4397221298116,4361.5644864742735,3492.1246654545457,3492.1246654545457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-438.80635850612526,-438.80635850612526,-438.80635850612526,-281.8423639449862,-281.8423639449862,-281.8423639449862,0.0,0.0,0.0,-156.96399456113906,-156.96399456113906,-156.96399456113906,0.0,0.0,0.0,3053.3183069484203
2016-01-08,3532.964343030303,1767.7416439735348,4616.144978867229,3532.964343030303,3532.964343030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-298.89997926004077,-298.89997926004077,-298.89997926004077,-236.8008398435123,-236.8008398435123,-236.8008398435123,0.0,0.0,0.0,-62.099139416528416,-62.099139416528416,-62.099139416528416,0.0,0.0,0.0,3234.0643637702624
2016-01-09,3573.804020606061,3472.3140056147513,6139.593956609707,3573.804020606061,3573.804020606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.4457210097335,1202.4457210097335,1202.4457210097335,632.7903658099007,632.7903658099007,632.7903658099007,0.0,0.0,0.0,569.655355199833,569.655355199833,569.655355199833,0.0,0.0,0.0,4776.249741615795
2016-01-10,3614.6436981818183,3141.0944340352644,5758.550360412981,3614.6436981818183,3614.6436981818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.8698176907777,913.8698176907777,913.8698176907777,499.5373954985882,499.5373954985882,499.5373954985882,0.0,0.0,0.0,414.33242219218937,414.33242219218937,414.33242219218937,0.0,0.0,0.0,4528.513515872596
