ds,y
2016-01-01,2670.0
2016-01-02,3887.0
2016-01-03,3005.0
2016-01-04,2771.0
2016-01-05,2534.0
2016-01-06,2519.0
2016-01-07,3481.0
2016-01-08,4321.0
2016-01-09,6232.0
2016-01-10,2800.0
2016-01-11,2361.0
2016-01-12,2868.0
2016-01-13,2764.0
2016-01-14,4202.0
2016-01-15,4924.0
2016-01-16,5947.0
2016-01-17,3695.0
2016-01-18,2159.0
2016-01-19,3367.0
2016-01-20,3846.0
2016-01-21,4213.0
2016-01-22,5270.0
2016-01-23,6894.0
2016-01-24,3311.0
2016-01-25,2196.0
2016-01-26,2767.0
2016-01-27,3200.0
2016-01-28,3630.0
2016-01-29,9036.0
2016-01-30,7280.0
2016-01-31,4527.0
2016-03-01,2662.0
2016-03-02,2046.0
2016-03-03,2845.0
2016-03-04,3228.0
2016-03-05,4163.0
2016-03-06,5353.0
2016-03-07,3170.0
2016-03-08,2575.0
2016-03-09,2891.0
2016-03-10,4695.0
2016-03-11,4480.0
2016-03-12,3932.0
2016-03-13,4286.0
2016-03-14,3460.0
2016-03-15,3491.0
2016-03-16,3587.0
2016-03-17,2665.0
2016-03-18,3025.0
2016-03-19,3700.0
2016-03-20,4691.0
2016-03-21,4188.0
2016-03-22,3924.0
2016-03-23,3023.0
2016-03-24,2214.0
2016-03-25,2903.0
2016-03-26,4711.0
2016-03-27,3494.0
2016-03-28,2629.0
2016-03-29,3576.0
2016-03-30,2733.0
2016-03-31,3919.0
2016-04-01,3051.0
2016-04-02,4979.0
2016-04-03,4724.0
2016-04-04,2720.0
2016-04-05,4132.0
2016-04-06,3276.0
2016-04-07,3351.0
2016-04-08,3188.0
2016-04-09,4642.0
2016-04-10,4332.0
2016-04-11,4088.0
2016-04-12,2777.0
2016-04-13,3284.0
2016-04-14,2257.0
2016-04-15,2015.0
2016-04-16,4377.0
2016-04-17,4499.0
2016-04-18,3272.0
2016-04-19,3081.0
2016-04-20,2410.0
2016-04-21,2473.0
2016-04-22,3037.0
2016-04-23,5214.0
2016-04-24,5103.0
2016-04-25,2061.0
2016-04-26,2537.0
2016-04-27,2897.0
2016-04-28,3311.0
2016-04-29,3059.0
2016-04-30,4685.0
2016-05-01,4200.0
2016-05-02,2800.0
2016-05-03,2796.0
2016-05-04,3941.0
2016-05-05,3684.0
2016-05-06,2751.0
2016-05-07,3882.0
2016-05-08,4660.0
2016-05-09,2493.0
2016-05-10,2718.0
2016-05-11,3638.0
2016-05-12,2786.0
2016-05-13,3280.0
2016-05-14,5107.0
2016-05-15,4646.0
2016-05-16,2321.0
2016-05-17,3613.0
2016-05-18,2024.0
2016-05-19,3688.0
2016-05-20,3320.0
2016-05-21,4855.0
2016-05-22,4301.0
2016-05-23,1836.0
2016-05-24,2751.0
2016-05-25,3032.0
2016-05-26,2828.0
2016-05-27,3569.0
2016-05-28,3577.0
2016-05-29,5702.0
2016-05-30,3330.0
2016-05-31,3112.0
2016-06-01,2953.0
2016-06-02,3149.0
2016-06-03,2893.0
2016-06-04,4798.0
2016-06-05,4817.0
2016-06-06,3198.0
2016-06-07,2791.0
2016-06-08,3130.0
2016-06-09,3750.0
2016-06-10,2866.0
2016-06-11,4196.0
2016-06-12,4031.0
2016-06-13,2721.0
2016-06-14,3415.0
2016-06-15,2690.0
2016-06-16,4171.0
2016-06-17,3284.0
2016-06-18,4154.0
2016-06-19,4648.0
2016-06-20,3582.0
2016-06-21,3457.0
2016-06-22,3597.0
2016-06-23,3872.0
2016-06-24,4353.0
2016-06-25,5084.0
2016-06-26,4423.0
2016-06-27,2649.0
2016-06-28,3738.0
2016-06-29,3591.0
2016-06-30,2718.0
2016-07-01,2713.0
2016-07-02,4798.0
2016-07-03,5174.0
2016-07-04,4981.0
2016-07-05,3186.0
2016-07-06,3238.0
2016-07-07,3615.0
2016-07-08,3077.0
2016-07-09,4319.0
2016-07-10,4926.0
2016-07-11,2842.0
2016-07-12,3181.0
2016-07-13,3253.0
2016-07-14,3643.0
2016-07-15,4189.0
2016-07-16,4555.0
2016-07-17,4360.0
2016-07-18,3856.0
2016-07-19,3147.0
2016-07-20,2521.0
2016-07-21,2275.0
2016-07-22,2986.0
