ds,y
2016-01-01,404.0
2016-01-02,1286.0
2016-01-03,546.0
2016-01-04,488.0
2016-01-05,255.0
2016-01-06,433.0
2016-01-07,301.0
2016-01-08,667.0
2016-01-09,673.0
2016-01-10,399.0
2016-01-11,382.0
2016-01-12,456.0
2016-01-13,449.0
2016-01-14,416.0
2016-01-15,772.0
2016-01-16,749.0
2016-01-17,778.0
2016-01-18,455.0
2016-01-19,603.0
2016-01-20,477.0
2016-01-21,815.0
2016-01-22,518.0
2016-01-23,863.0
2016-01-24,450.0
2016-01-25,331.0
2016-01-26,464.0
2016-01-27,628.0
2016-01-28,336.0
2016-01-29,1328.0
2016-01-30,1017.0
2016-01-31,632.0
2016-03-01,510.0
2016-03-02,636.0
2016-03-03,603.0
2016-03-04,785.0
2016-03-05,548.0
2016-03-06,937.0
2016-03-07,721.0
2016-03-08,568.0
2016-03-09,347.0
2016-03-10,537.0
2016-03-11,473.0
2016-03-12,1321.0
2016-03-13,907.0
2016-03-14,1092.0
2016-03-15,614.0
2016-03-16,614.0
2016-03-17,814.0
2016-03-18,660.0
2016-03-19,673.0
2016-03-20,806.0
2016-03-21,665.0
2016-03-22,405.0
2016-03-23,551.0
2016-03-24,506.0
2016-03-25,600.0
2016-03-26,915.0
2016-03-27,602.0
2016-03-28,515.0
2016-03-29,198.0
2016-03-30,497.0
2016-03-31,663.0
2016-04-01,295.0
2016-04-02,813.0
2016-04-03,1171.0
2016-04-04,545.0
2016-04-05,424.0
2016-04-06,325.0
2016-04-07,381.0
2016-04-08,227.0
2016-04-09,648.0
2016-04-10,812.0
2016-04-11,748.0
2016-04-12,384.0
2016-04-13,553.0
2016-04-14,893.0
2016-04-15,364.0
2016-04-16,780.0
2016-04-17,633.0
2016-04-18,363.0
2016-04-19,498.0
2016-04-20,563.0
2016-04-21,370.0
2016-04-22,814.0
2016-04-23,679.0
2016-04-24,930.0
2016-04-25,581.0
2016-04-26,359.0
2016-04-27,172.0
2016-04-28,695.0
2016-04-29,337.0
2016-04-30,576.0
2016-05-01,938.0
2016-05-02,571.0
2016-05-03,476.0
2016-05-04,498.0
2016-05-05,393.0
2016-05-06,656.0
2016-05-07,795.0
2016-05-08,658.0
2016-05-09,805.0
2016-05-10,508.0
2016-05-11,515.0
2016-05-12,491.0
2016-05-13,568.0
2016-05-14,913.0
2016-05-15,924.0
2016-05-16,572.0
2016-05-17,315.0
2016-05-18,930.0
2016-05-19,679.0
2016-05-20,170.0
2016-05-21,551.0
2016-05-22,721.0
2016-05-23,310.0
2016-05-24,477.0
2016-05-25,347.0
2016-05-26,706.0
2016-05-27,312.0
2016-05-28,455.0
2016-05-29,1178.0
2016-05-30,165.0
2016-05-31,719.0
2016-06-01,558.0
2016-06-02,253.0
2016-06-03,301.0
2016-06-04,814.0
2016-06-05,642.0
2016-06-06,862.0
2016-06-07,295.0
2016-06-08,811.0
2016-06-09,714.0
2016-06-10,187.0
2016-06-11,443.0
2016-06-12,650.0
2016-06-13,454.0
2016-06-14,596.0
2016-06-15,367.0
2016-06-16,309.0
2016-06-17,222.0
2016-06-18,742.0
2016-06-19,654.0
2016-06-20,460.0
2016-06-21,631.0
2016-06-22,554.0
2016-06-23,387.0
2016-06-24,232.0
2016-06-25,518.0
2016-06-26,809.0
2016-06-27,431.0
2016-06-28,315.0
2016-06-29,380.0
2016-06-30,855.0
2016-07-01,351.0
2016-07-02,680.0
2016-07-03,1515.0
2016-07-04,717.0
2016-07-05,351.0
2016-07-06,858.0
2016-07-07,227.0
2016-07-08,601.0
2016-07-09,506.0
2016-07-10,1023.0
2016-07-11,418.0
2016-07-12,643.0
2016-07-13,262.0
2016-07-14,158.0
2016-07-15,278.0
2016-07-16,753.0
2016-07-17,1262.0
2016-07-18,456.0
2016-07-19,543.0
2016-07-20,520.0
2016-07-21,285.0
2016-07-22,562.0
2016-07-23,1074.0
2016-07-24,774.0
2016-07-25,756.0
2016-07-26,527.0
2016-07-27,510.0
2016-07-28,482.0
2016-07-29,641.0
2016-07-30,686.0
2016-07-31,620.0
2016-08-01,510.0
2016-08-02,636.0
2016-08-03,603.0
2016-08-04,785.0
2016-08-05,283.0
2016-08-06,911.0
2016-08-07,969.0
2016-08-08,568.0
2016-08-09,347.0
2016-08-10,537.0
2016-08-11,473.0
2016-08-12,1077.0
2016-08-13,908.0
2016-08-14,1361.0
2016-08-15,614.0
2016-08-16,614.0
2016-08-17,814.0
2016-08-18,660.0
2016-08-19,439.0
2016-08-20,813.0
2016-08-21,903.0
2016-08-22,405.0
2016-08-23,551.0
2016-08-24,506.0
2016-08-25,600.0
2016-08-26,684.0
2016-08-27,602.0
2016-08-28,757.0
2016-08-29,198.0
2016-08-30,497.0
2016-08-31,663.0
2016-09-01,295.0
2016-09-02,549.0
2016-09-03,1178.0
2016-09-04,799.0
2016-09-05,424.0
2016-09-06,325.0
2016-09-07,381.0
2016-09-08,227.0
2016-09-09,406.0
2016-09-10,784.0
2016-09-11,986.0
2016-09-12,384.0
2016-09-13,553.0
2016-09-14,893.0
2016-09-15,364.0
2016-09-16,529.0
2016-09-17,646.0
2016-09-18,617.0
2016-09-19,498.0
2016-09-20,563.0
2016-09-21,370.0
2016-09-22,814.0
2016-09-23,445.0
2016-09-24,957.0
2016-09-25,814.0
2016-09-26,359.0
2016-09-27,172.0
2016-09-28,695.0
2016-09-29,337.0
2016-09-30,335.0
2016-10-01,954.0
2016-10-02,819.0
2016-10-03,476.0
2016-10-04,498.0
2016-10-05,393.0
2016-10-06,656.0
2016-10-07,539.0
2016-10-08,655.0
2016-10-09,1051.0
2016-10-10,508.0
2016-10-11,515.0
2016-10-12,491.0
2016-10-13,568.0
2016-10-14,651.0
2016-10-15,899.0
2016-10-16,811.0
2016-10-17,315.0
2016-10-18,930.0
2016-10-19,679.0
2016-10-20,170.0
2016-10-21,321.0
2016-10-22,675.0
2016-10-23,551.0
2016-10-24,477.0
