ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,471.960045,330.92172084501294,1057.8760279553906,471.960045,471.960045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.822203,154.822203,154.822203,0.0,0.0,0.0,0.0,0.0,0.0,214.07137217616298,214.07137217616298,214.07137217616298,48.728775326096894,48.728775326096894,48.728775326096894,154.822203,154.822203,154.822203,10.520393850066128,10.520393850066128,10.520393850066128,0.0,0.0,0.0,686.0314171761629
2016-01-02,472.5847043838384,391.53106032876275,1087.1944340570237,472.5847043838384,472.5847043838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.369098152145,265.369098152145,265.369098152145,143.13893443721742,143.13893443721742,143.13893443721742,0.0,0.0,0.0,122.23016371492761,122.23016371492761,122.23016371492761,0.0,0.0,0.0,737.9538025359834
2016-01-03,473.20936376767673,291.414977324032,970.3451423999497,473.20936376767673,473.20936376767673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.32769558774336,147.32769558774336,147.32769558774336,79.2956373589711,79.2956373589711,79.2956373589711,0.0,0.0,0.0,68.03205822877226,68.03205822877226,68.03205822877226,0.0,0.0,0.0,620.5370593554201
2016-01-04,473.83402315151517,25.997499387236562,712.2335775982617,473.83402315151517,473.83402315151517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.34279672879451,-106.34279672879451,-106.34279672879451,-40.482907040651256,-40.482907040651256,-40.482907040651256,0.0,0.0,0.0,-65.85988968814326,-65.85988968814326,-65.85988968814326,0.0,0.0,0.0,367.4912264227207
2016-01-05,474.4586825353535,53.124850675147464,734.8988808805465,474.4586825353535,474.4586825353535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.53954023711923,-92.53954023711923,-92.53954023711923,-47.66756958106467,-47.66756958106467,-47.66756958106467,0.0,0.0,0.0,-44.87197065605454,-44.87197065605454,-44.87197065605454,0.0,0.0,0.0,381.91914229823425
2016-01-06,475.0833419191919,53.557691698853816,740.5346400817078,475.0833419191919,475.0833419191919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.93843251574016,-91.93843251574016,-91.93843251574016,-48.770995346104584,-48.770995346104584,-48.770995346104584,0.0,0.0,0.0,-43.16743716963556,-43.16743716963556,-43.16743716963556,0.0,0.0,0.0,383.1449094034518
2016-01-07,475.7080013030303,-10.745568721033349,637.2889208385743,475.7080013030303,475.7080013030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.00836458838387,-137.00836458838387,-137.00836458838387,-90.12504630818192,-90.12504630818192,-90.12504630818192,0.0,0.0,0.0,-46.883318280201976,-46.883318280201976,-46.883318280201976,0.0,0.0,0.0,338.69963671464643
2016-01-08,476.3326606868687,109.26992927375836,806.2513013543802,476.3326606868687,476.3326606868687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.167593775442622,-17.167593775442622,-17.167593775442622,-27.68798762574311,-27.68798762574311,-27.68798762574311,0.0,0.0,0.0,10.520393850300474,10.520393850300474,10.520393850300474,0.0,0.0,0.0,459.16506691142604
2016-01-09,476.95732007070706,351.6704601623795,1063.9836527106509,476.95732007070706,476.95732007070706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.55155670726904,223.55155670726904,223.55155670726904,101.32139299246798,101.32139299246798,101.32139299246798,0.0,0.0,0.0,122.23016371480104,122.23016371480104,122.23016371480104,0.0,0.0,0.0,700.5088767779761
2016-01-10,477.5819794545455,220.68044566507712,960.5427710564658,477.5819794545455,477.5819794545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.80053732681851,124.80053732681851,124.80053732681851,56.76847909830567,56.76847909830567,56.76847909830567,0.0,0.0,0.0,68.03205822851285,68.03205822851285,68.03205822851285,0.0,0.0,0.0,602.382516781364
