ds,y
2016-01-01,563.0
2016-01-02,1377.0
2016-01-03,814.0
2016-01-04,722.0
2016-01-05,311.0
2016-01-06,885.0
2016-01-07,978.0
2016-01-08,1442.0
2016-01-09,1652.0
2016-01-10,786.0
2016-01-11,701.0
2016-01-12,789.0
2016-01-13,707.0
2016-01-14,1091.0
2016-01-15,1661.0
2016-01-16,1537.0
2016-01-17,863.0
2016-01-18,650.0
2016-01-19,882.0
2016-01-20,640.0
2016-01-21,1374.0
2016-01-22,1419.0
2016-01-23,1710.0
2016-01-24,969.0
2016-01-25,675.0
2016-01-26,798.0
2016-01-27,670.0
2016-01-28,1258.0
2016-01-29,1996.0
2016-01-30,1611.0
2016-01-31,949.0
2016-03-01,1056.0
2016-03-02,717.0
2016-03-03,1096.0
2016-03-04,442.0
2016-03-05,1308.0
2016-03-06,1445.0
2016-03-07,388.0
2016-03-08,808.0
2016-03-09,655.0
2016-03-10,1154.0
2016-03-11,1063.0
2016-03-12,988.0
2016-03-13,937.0
2016-03-14,1094.0
2016-03-15,845.0
2016-03-16,1334.0
2016-03-17,602.0
2016-03-18,1028.0
2016-03-19,1017.0
2016-03-20,1397.0
2016-03-21,929.0
2016-03-22,1604.0
2016-03-23,1101.0
2016-03-24,1514.0
2016-03-25,831.0
2016-03-26,1768.0
2016-03-27,1312.0
2016-03-28,652.0
2016-03-29,907.0
2016-03-30,543.0
2016-03-31,843.0
2016-04-01,837.0
2016-04-02,1128.0
2016-04-03,1140.0
2016-04-04,1254.0
2016-04-05,357.0
2016-04-06,1066.0
2016-04-07,1081.0
2016-04-08,793.0
2016-04-09,999.0
2016-04-10,1232.0
2016-04-11,325.0
2016-04-12,758.0
2016-04-13,624.0
2016-04-14,1246.0
2016-04-15,877.0
2016-04-16,1243.0
2016-04-17,1143.0
2016-04-18,374.0
2016-04-19,1023.0
2016-04-20,455.0
2016-04-21,738.0
2016-04-22,952.0
2016-04-23,1250.0
2016-04-24,1212.0
2016-04-25,794.0
2016-04-26,1407.0
2016-04-27,698.0
