ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,1123.41156,5.926683211908717,1128.8425100531035,1123.41156,1123.41156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-621.891696,-621.891696,-621.891696,0.0,0.0,0.0,0.0,0.0,0.0,-555.3042330118967,-555.3042330118967,-555.3042330118967,57.92642918443504,57.92642918443504,57.92642918443504,-621.891696,-621.891696,-621.891696,8.661033803668259,8.661033803668259,8.661033803668259,0.0,0.0,0.0,568.1073269881033
2016-01-02,1124.4783379393941,995.9412183319745,2069.079577444514,1124.4783379393941,1124.4783379393941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.36247977020616,424.36247977020616,424.36247977020616,229.17628438197082,229.17628438197082,229.17628438197082,0.0,0.0,0.0,195.18619538823532,195.18619538823532,195.18619538823532,0.0,0.0,0.0,1548.8408177096003
2016-01-03,1125.545115878788,918.3570546970868,2032.4496792247942,1125.545115878788,1125.545115878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.94362659135965,344.94362659135965,344.94362659135965,200.08563090733543,200.08563090733543,200.08563090733543,0.0,0.0,0.0,144.85799568402413,144.85799568402413,144.85799568402413,0.0,0.0,0.0,1470.4887424701476
2016-01-04,1126.611893818182,442.4345945470502,1548.6449759820366,1126.611893818182,1126.611893818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.2042437395346,-142.2042437395346,-142.2042437395346,-39.1268636461948,-39.1268636461948,-39.1268636461948,0.0,0.0,0.0,-103.07738009333987,-103.07738009333987,-103.07738009333987,0.0,0.0,0.0,984.4076500786473
2016-01-05,1127.6786717575758,310.44235452579994,1442.4087298965558,1127.6786717575758,1127.6786717575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.78848574750546,-233.78848574750546,-233.78848574750546,-125.93410092814729,-125.93410092814729,-125.93410092814729,0.0,0.0,0.0,-107.85438481935815,-107.85438481935815,-107.85438481935815,0.0,0.0,0.0,893.8901860100704
2016-01-06,1128.74544969697,286.5284053358692,1475.8075735765701,1128.74544969697,1128.74544969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.86199327190482,-235.86199327190482,-235.86199327190482,-140.03103338867382,-140.03103338867382,-140.03103338867382,0.0,0.0,0.0,-95.83095988323097,-95.83095988323097,-95.83095988323097,0.0,0.0,0.0,892.8834564250651
2016-01-07,1129.8122276363636,511.2210519509197,1588.7820455779795,1129.8122276363636,1129.8122276363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.6294240806352,-67.6294240806352,-67.6294240806352,-25.686924000277738,-25.686924000277738,-25.686924000277738,0.0,0.0,0.0,-41.94250008035746,-41.94250008035746,-41.94250008035746,0.0,0.0,0.0,1062.1828035557282
2016-01-08,1130.8790055757577,537.9201166174752,1669.3546357491493,1130.8790055757577,1130.8790055757577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.94332777285165,-31.94332777285165,-31.94332777285165,-40.60436157680607,-40.60436157680607,-40.60436157680607,0.0,0.0,0.0,8.661033803954417,8.661033803954417,8.661033803954417,0.0,0.0,0.0,1098.935677802906
2016-01-09,1131.9457835151516,900.7297181252762,2028.689557416268,1131.9457835151516,1131.9457835151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.38230178232504,356.38230178232504,356.38230178232504,161.1961063943955,161.1961063943955,161.1961063943955,0.0,0.0,0.0,195.1861953879296,195.1861953879296,195.1861953879296,0.0,0.0,0.0,1488.3280852974767
2016-01-10,1133.0125614545454,807.9029229286502,1947.258023513822,1133.0125614545454,1133.0125614545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.48835614401762,234.48835614401762,234.48835614401762,89.63036046035482,89.63036046035482,89.63036046035482,0.0,0.0,0.0,144.8579956836628,144.8579956836628,144.8579956836628,0.0,0.0,0.0,1367.500917598563
