ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,306.991984,-123.31613667486006,439.3850299068798,306.991984,306.991984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.507464,-108.507464,-108.507464,0.0,0.0,0.0,0.0,0.0,0.0,-131.05378764588215,-131.05378764588215,-131.05378764588215,-24.28446360361688,-24.28446360361688,-24.28446360361688,-108.507464,-108.507464,-108.507464,1.7381399577347234,1.7381399577347234,1.7381399577347234,0.0,0.0,0.0,175.93819635411785
2016-01-02,307.6625947340067,89.9470197371392,662.0579857212442,307.6625947340067,307.6625947340067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79990412059763,76.79990412059763,76.79990412059763,25.59756042052948,25.59756042052948,25.59756042052948,0.0,0.0,0.0,51.20234370006815,51.20234370006815,51.20234370006815,0.0,0.0,0.0,384.4624988546043
2016-01-03,308.3332054680135,83.5246176404407,618.3512573472326,308.3332054680135,308.3332054680135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.13849165134674,45.13849165134674,45.13849165134674,12.204107607771146,12.204107607771146,12.204107607771146,0.0,0.0,0.0,32.934384043575605,32.934384043575605,32.934384043575605,0.0,0.0,0.0,353.4716971193602
2016-01-04,309.0038162020202,-65.7161346855182,481.2046476637824,309.0038162020202,309.0038162020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.97753059531124,-92.97753059531124,-92.97753059531124,-68.50413430543148,-68.50413430543148,-68.50413430543148,0.0,0.0,0.0,-24.47339628987978,-24.47339628987978,-24.47339628987978,0.0,0.0,0.0,216.02628560670894
2016-01-05,309.6744269360269,-32.02576641493897,501.7872910835149,309.6744269360269,309.6744269360269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.90188809841824,-83.90188809841824,-83.90188809841824,-55.58641599134972,-55.58641599134972,-55.58641599134972,0.0,0.0,0.0,-28.315472107068526,-28.315472107068526,-28.315472107068526,0.0,0.0,0.0,225.7725388376087
2016-01-06,310.34503767003366,-0.16583060423414195,528.3836679024067,310.34503767003366,310.34503767003366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.49906431531745,-54.49906431531745,-54.49906431531745,-36.97349821087253,-36.97349821087253,-36.97349821087253,0.0,0.0,0.0,-17.525566104444923,-17.525566104444923,-17.525566104444923,0.0,0.0,0.0,255.84597335471622
2016-01-07,311.0156484040404,-40.72272316022715,506.4197514468463,311.0156484040404,311.0156484040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.3216122802123,-67.3216122802123,-67.3216122802123,-51.76117908010978,-51.76117908010978,-51.76117908010978,0.0,0.0,0.0,-15.56043320010253,-15.56043320010253,-15.56043320010253,0.0,0.0,0.0,243.69403612382808
2016-01-08,311.68625913804715,72.39614281028558,611.282304140354,311.68625913804715,311.68625913804715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49888347697009,29.49888347697009,29.49888347697009,27.760743519160492,27.760743519160492,27.760743519160492,0.0,0.0,0.0,1.7381399578095964,1.7381399578095964,1.7381399578095964,0.0,0.0,0.0,341.18514261501724
2016-01-09,312.35686987205384,165.28388699271198,711.7402420744077,312.35686987205384,312.35686987205384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00947067941817,128.00947067941817,128.00947067941817,76.80712697943385,76.80712697943385,76.80712697943385,0.0,0.0,0.0,51.202343699984326,51.202343699984326,51.202343699984326,0.0,0.0,0.0,440.36634055147204
2016-01-10,313.0274806060606,113.4643241226862,666.6537019803509,313.0274806060606,313.0274806060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.59904452274013,86.59904452274013,86.59904452274013,53.66466047926173,53.66466047926173,53.66466047926173,0.0,0.0,0.0,32.934384043478424,32.934384043478424,32.934384043478424,0.0,0.0,0.0,399.6265251288007
2016-01-11,313.6980911853691,38.70507173288487,584.291067619108,313.6980911853691,313.6980911853691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.916054564257763,-4.916054564257763,-4.916054564257763,19.557341725638302,19.557341725638302,19.557341725638302,0.0,0.0,0.0,-24.473396289896062,-24.473396289896062,-24.473396289896062,0.0,0.0,0.0,308.78203662111133
2016-01-12,314.3687017646776,17.62637576760926,538.866512879404,314.3687017646776,314.3687017646776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.36000033003585,-29.36000033003585,-29.36000033003585,-1.0445282229064932,-1.0445282229064932,-1.0445282229064932,0.0,0.0,0.0,-28.315472107129363,-28.315472107129363,-28.315472107129363,0.0,0.0,0.0,285.00870143464175
