ds,y
2016-01-01,172.0
2016-01-02,608.0
2016-01-03,241.0
2016-01-04,173.0
2016-01-05,140.0
2016-01-06,233.0
2016-01-07,273.0
2016-01-08,474.0
2016-01-09,388.0
2016-01-10,200.0
2016-01-11,255.0
2016-01-12,122.0
2016-01-13,259.0
2016-01-14,335.0
2016-01-15,452.0
2016-01-16,348.0
2016-01-17,340.0
2016-01-18,172.0
2016-01-19,193.0
2016-01-20,228.0
2016-01-21,279.0
2016-01-22,414.0
2016-01-23,433.0
2016-01-24,253.0
2016-01-25,225.0
2016-01-26,370.0
2016-01-27,250.0
2016-01-28,307.0
2016-01-29,741.0
2016-01-30,331.0
2016-01-31,306.0
2016-03-01,305.0
2016-03-02,361.0
2016-03-03,348.0
2016-03-04,100.0
2016-03-05,441.0
2016-03-06,649.0
2016-03-07,387.0
2016-03-08,425.0
2016-03-09,303.0
2016-03-10,551.0
2016-03-11,398.0
2016-03-12,432.0
2016-03-13,615.0
2016-03-14,167.0
2016-03-15,324.0
2016-03-16,299.0
2016-03-17,433.0
2016-03-18,442.0
2016-03-19,679.0
2016-03-20,604.0
2016-03-21,508.0
2016-03-22,335.0
2016-03-23,285.0
2016-03-24,817.0
2016-03-25,274.0
2016-03-26,362.0
2016-03-27,237.0
2016-03-28,175.0
2016-03-29,302.0
2016-03-30,109.0
2016-03-31,372.0
2016-04-01,206.0
2016-04-02,452.0
2016-04-03,286.0
2016-04-04,86.0
2016-04-05,698.0
2016-04-06,106.0
2016-04-07,129.0
2016-04-08,358.0
2016-04-09,408.0
2016-04-10,362.0
2016-04-11,179.0
2016-04-12,262.0
2016-04-13,176.0
2016-04-14,188.0
2016-04-15,187.0
2016-04-16,590.0
2016-04-17,259.0
2016-04-18,118.0
2016-04-19,384.0
2016-04-20,277.0
2016-04-21,141.0
2016-04-22,112.0
2016-04-23,424.0
2016-04-24,420.0
2016-04-25,93.0
2016-04-26,198.0
2016-04-27,222.0
2016-04-28,291.0
2016-04-29,103.0
