ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,biweekly,biweekly_lower,biweekly_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,735.7703220000001,14.157281841385489,1111.9868518043681,735.7703220000001,735.7703220000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.0575503,-129.0575503,-129.0575503,0.0,0.0,0.0,0.0,0.0,0.0,-171.3006203391129,-171.3006203391129,-171.3006203391129,-10.787809402857055,-10.787809402857055,-10.787809402857055,-129.0575503,-129.0575503,-129.0575503,-31.455260636255833,-31.455260636255833,-31.455260636255833,0.0,0.0,0.0,564.4697016608872
2016-01-02,737.8128632895624,454.4076541633345,1443.6025816871625,737.8128632895624,737.8128632895624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.8247909901052,207.8247909901052,207.8247909901052,90.38389712111095,90.38389712111095,90.38389712111095,0.0,0.0,0.0,117.4408938689943,117.4408938689943,117.4408938689943,0.0,0.0,0.0,945.6376542796677
2016-01-03,739.8554045791246,444.66442333861744,1434.243700639664,739.8554045791246,739.8554045791246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.23397278606097,205.23397278606097,205.23397278606097,120.99327318303585,120.99327318303585,120.99327318303585,0.0,0.0,0.0,84.24069960302513,84.24069960302513,84.24069960302513,0.0,0.0,0.0,945.0893773651856
2016-01-04,741.897945868687,132.3673106939669,1129.0124112528658,741.897945868687,741.897945868687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.49223044428668,-94.49223044428668,-94.49223044428668,-61.28501960848799,-61.28501960848799,-61.28501960848799,0.0,0.0,0.0,-33.20721083579865,-33.20721083579865,-33.20721083579865,0.0,0.0,0.0,647.4057154244003
2016-01-05,743.9404871582491,102.3153793288959,1147.6050846735607,743.9404871582491,743.9404871582491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.87410392361186,-109.87410392361186,-109.87410392361186,-66.26462622874334,-66.26462622874334,-66.26462622874334,0.0,0.0,0.0,-43.609477694868545,-43.609477694868545,-43.609477694868545,0.0,0.0,0.0,634.0663832346372
2016-01-06,745.9830284478114,125.36758006222958,1157.343523872301,745.9830284478114,745.9830284478114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.29446183721313,-112.29446183721313,-112.29446183721313,-74.64113829205739,-74.64113829205739,-74.64113829205739,0.0,0.0,0.0,-37.653323545155764,-37.653323545155764,-37.653323545155764,0.0,0.0,0.0,633.6885666105983
2016-01-07,748.0255697373738,147.01534635102604,1191.0632006422081,748.0255697373738,748.0255697373738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.91431321747575,-97.91431321747575,-97.91431321747575,-42.157992457208614,-42.157992457208614,-42.157992457208614,0.0,0.0,0.0,-55.75632076026714,-55.75632076026714,-55.75632076026714,0.0,0.0,0.0,650.111256519898
2016-01-08,750.068111026936,140.16325249166565,1135.5915192484938,750.068111026936,750.068111026936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.57797250551987,-83.57797250551987,-83.57797250551987,-52.12271186945664,-52.12271186945664,-52.12271186945664,0.0,0.0,0.0,-31.45526063606325,-31.45526063606325,-31.45526063606325,0.0,0.0,0.0,666.4901385214162
2016-01-09,752.1106523164983,518.948393559623,1547.418859232819,752.1106523164983,752.1106523164983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.93878448535537,261.93878448535537,261.93878448535537,144.49789061664148,144.49789061664148,144.49789061664148,0.0,0.0,0.0,117.4408938687139,117.4408938687139,117.4408938687139,0.0,0.0,0.0,1014.0494368018537
2016-01-10,754.1531936060607,368.9674823124691,1366.625125233726,754.1531936060607,754.1531936060607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.7288256255761,131.7288256255761,131.7288256255761,47.48812602278895,47.48812602278895,47.48812602278895,0.0,0.0,0.0,84.24069960278716,84.24069960278716,84.24069960278716,0.0,0.0,0.0,885.8820192316367
