ds,y
2016-01-01,560.0
2016-01-02,756.0
2016-01-03,597.0
2016-01-04,598.0
2016-01-05,451.0
2016-01-06,669.0
2016-01-07,773.0
2016-01-08,780.0
2016-01-09,1133.0
2016-01-10,526.0
2016-01-11,557.0
2016-01-12,473.0
2016-01-13,523.0
2016-01-14,825.0
2016-01-15,996.0
2016-01-16,871.0
2016-01-17,769.0
2016-01-18,343.0
2016-01-19,500.0
2016-01-20,651.0
2016-01-21,910.0
2016-01-22,1025.0
2016-01-23,1129.0
2016-01-24,586.0
2016-01-25,618.0
2016-01-26,479.0
2016-01-27,783.0
2016-01-28,788.0
2016-01-29,2149.0
2016-01-30,1429.0
2016-01-31,883.0
2016-03-01,717.0
2016-03-02,763.0
2016-03-03,841.0
2016-03-04,703.0
2016-03-05,1319.0
2016-03-06,1146.0
2016-03-07,748.0
2016-03-08,576.0
2016-03-09,970.0
2016-03-10,457.0
2016-03-11,904.0
2016-03-12,1203.0
2016-03-13,1183.0
2016-03-14,671.0
2016-03-15,938.0
2016-03-16,763.0
2016-03-17,429.0
2016-03-18,572.0
2016-03-19,1598.0
2016-03-20,979.0
2016-03-21,471.0
2016-03-22,822.0
2016-03-23,619.0
2016-03-24,736.0
2016-03-25,410.0
2016-03-26,783.0
2016-03-27,970.0
2016-03-28,1076.0
2016-03-29,378.0
2016-03-30,716.0
2016-03-31,786.0
2016-04-01,730.0
2016-04-02,1223.0
2016-04-03,1278.0
2016-04-04,1219.0
2016-04-05,1572.0
2016-04-06,884.0
2016-04-07,774.0
2016-04-08,1194.0
2016-04-09,1172.0
2016-04-10,835.0
2016-04-11,430.0
2016-04-12,1392.0
2016-04-13,1326.0
2016-04-14,804.0
2016-04-15,751.0
2016-04-16,1037.0
2016-04-17,1059.0
2016-04-18,388.0
2016-04-19,1049.0
2016-04-20,698.0
2016-04-21,903.0
2016-04-22,570.0
2016-04-23,843.0
2016-04-24,1196.0
2016-04-25,776.0
2016-04-26,830.0
2016-04-27,742.0
2016-04-28,914.0
2016-04-29,658.0
2016-04-30,1293.0
2016-05-01,1187.0
2016-05-02,716.0
2016-05-03,656.0
2016-05-04,978.0
2016-05-05,1210.0
2016-05-06,314.0
2016-05-07,1001.0
2016-05-08,1327.0
2016-05-09,750.0
2016-05-10,951.0
2016-05-11,751.0
2016-05-12,743.0
2016-05-13,1228.0
2016-05-14,1005.0
2016-05-15,1227.0
2016-05-16,591.0
2016-05-17,728.0
2016-05-18,955.0
2016-05-19,716.0
2016-05-20,609.0
2016-05-21,1033.0
2016-05-22,1667.0
2016-05-23,855.0
2016-05-24,863.0
2016-05-25,307.0
2016-05-26,870.0
2016-05-27,416.0
2016-05-28,1058.0
2016-05-29,1078.0
2016-05-30,1227.0
2016-05-31,1087.0
2016-06-01,1269.0
2016-06-02,445.0
2016-06-03,741.0
2016-06-04,1062.0
2016-06-05,1455.0
2016-06-06,935.0
2016-06-07,662.0
2016-06-08,1041.0
2016-06-09,401.0
2016-06-10,434.0
2016-06-11,963.0
2016-06-12,1177.0
2016-06-13,849.0
2016-06-14,1048.0
2016-06-15,1212.0
2016-06-16,675.0
2016-06-17,1041.0
2016-06-18,1881.0
2016-06-19,1261.0
2016-06-20,1088.0
2016-06-21,519.0
2016-06-22,701.0
2016-06-23,555.0
2016-06-24,867.0
2016-06-25,1151.0
2016-06-26,1181.0
2016-06-27,976.0
2016-06-28,510.0
2016-06-29,1104.0
2016-06-30,1161.0
2016-07-01,1364.0
2016-07-02,794.0
2016-07-03,930.0
2016-07-04,817.0
2016-07-05,577.0
2016-07-06,1256.0
2016-07-07,1100.0
2016-07-08,1084.0
2016-07-09,1168.0
2016-07-10,887.0
2016-07-11,1796.0
2016-07-12,627.0
