ds,y
2016-01-01,189.0
2016-01-02,187.0
2016-01-03,139.0
2016-01-04,229.0
2016-01-05,196.0
2016-01-06,334.0
2016-01-07,251.0
2016-01-08,304.0
2016-01-09,405.0
2016-01-10,130.0
2016-01-11,250.0
2016-01-12,220.0
2016-01-13,304.0
2016-01-14,319.0
2016-01-15,308.0
2016-01-16,342.0
2016-01-17,197.0
2016-01-18,143.0
2016-01-19,220.0
2016-01-20,344.0
2016-01-21,302.0
2016-01-22,359.0
2016-01-23,310.0
2016-01-24,197.0
2016-01-25,163.0
2016-01-26,213.0
2016-01-27,374.0
2016-01-28,291.0
2016-01-29,405.0
2016-01-30,353.0
2016-01-31,172.0
2016-03-01,239.0
2016-03-02,233.0
2016-03-03,108.0
2016-03-04,298.0
2016-03-05,468.0
2016-03-06,293.0
2016-03-07,502.0
2016-03-08,117.0
2016-03-09,117.0
2016-03-10,271.0
2016-03-11,106.0
2016-03-12,424.0
2016-03-13,881.0
2016-03-14,190.0
2016-03-15,367.0
2016-03-16,96.0
2016-03-17,194.0
2016-03-18,109.0
2016-03-19,401.0
2016-03-20,558.0
2016-03-21,136.0
2016-03-22,116.0
2016-03-23,203.0
2016-03-24,109.0
2016-03-25,593.0
2016-03-26,382.0
2016-03-27,333.0
2016-03-28,251.0
2016-03-29,419.0
2016-03-30,210.0
2016-03-31,259.0
2016-04-01,460.0
2016-04-02,1107.0
2016-04-03,381.0
2016-04-04,274.0
2016-04-05,220.0
2016-04-06,111.0
2016-04-07,310.0
2016-04-08,135.0
2016-04-09,332.0
2016-04-10,434.0
2016-04-11,97.0
2016-04-12,275.0
2016-04-13,130.0
2016-04-14,277.0
2016-04-15,468.0
2016-04-16,436.0
2016-04-17,665.0
2016-04-18,371.0
2016-04-19,247.0
2016-04-20,227.0
2016-04-21,282.0
2016-04-22,258.0
2016-04-23,452.0
2016-04-24,258.0
2016-04-25,240.0
2016-04-26,211.0
2016-04-27,393.0
2016-04-28,333.0
2016-04-29,280.0
2016-04-30,484.0
2016-05-01,788.0
2016-05-02,345.0
2016-05-03,122.0
2016-05-04,482.0
2016-05-05,327.0
2016-05-06,342.0
2016-05-07,364.0
2016-05-08,407.0
2016-05-09,326.0
2016-05-10,258.0
2016-05-11,287.0
2016-05-12,506.0
2016-05-13,365.0
2016-05-14,615.0
2016-05-15,445.0
2016-05-16,140.0
2016-05-17,402.0
2016-05-18,112.0
2016-05-19,123.0
2016-05-20,217.0
2016-05-21,375.0
2016-05-22,542.0
2016-05-23,182.0
2016-05-24,182.0
2016-05-25,277.0
2016-05-26,257.0
2016-05-27,575.0
2016-05-28,414.0
2016-05-29,547.0
2016-05-30,133.0
2016-05-31,271.0
2016-06-01,381.0
2016-06-02,246.0
2016-06-03,674.0
2016-06-04,401.0
2016-06-05,259.0
2016-06-06,381.0
2016-06-07,307.0
2016-06-08,136.0
2016-06-09,109.0
2016-06-10,548.0
2016-06-11,282.0
2016-06-12,544.0
2016-06-13,173.0
2016-06-14,219.0
2016-06-15,105.0
2016-06-16,444.0
2016-06-17,455.0
2016-06-18,710.0
2016-06-19,485.0
2016-06-20,320.0
2016-06-21,421.0
2016-06-22,373.0
2016-06-23,225.0
2016-06-24,522.0
2016-06-25,366.0
2016-06-26,280.0
2016-06-27,148.0
2016-06-28,363.0
2016-06-29,205.0
2016-06-30,212.0
2016-07-01,220.0
2016-07-02,343.0
2016-07-03,463.0
2016-07-04,255.0
2016-07-05,238.0
2016-07-06,222.0
2016-07-07,112.0
2016-07-08,316.0
2016-07-09,355.0
2016-07-10,331.0
2016-07-11,203.0
2016-07-12,363.0
2016-07-13,534.0
2016-07-14,109.0
2016-07-15,274.0
2016-07-16,508.0
2016-07-17,326.0
2016-07-18,235.0
2016-07-19,313.0
2016-07-20,169.0
2016-07-21,93.0
2016-07-22,287.0
2016-07-23,564.0
2016-07-24,542.0
2016-07-25,204.0
2016-07-26,199.0
2016-07-27,479.0
2016-07-28,146.0
2016-07-29,356.0
2016-07-30,313.0
2016-07-31,364.0
2016-08-01,239.0
2016-08-02,233.0
2016-08-03,108.0
2016-08-04,298.0
2016-08-05,326.0
2016-08-06,297.0
2016-08-07,631.0
2016-08-08,117.0
2016-08-09,117.0
2016-08-10,271.0
2016-08-11,106.0
2016-08-12,287.0
2016-08-13,872.0
2016-08-14,342.0
2016-08-15,367.0
2016-08-16,96.0
2016-08-17,194.0
2016-08-18,109.0
2016-08-19,271.0
2016-08-20,585.0
2016-08-21,264.0
2016-08-22,116.0
2016-08-23,203.0
2016-08-24,109.0
2016-08-25,593.0
2016-08-26,231.0
2016-08-27,342.0
2016-08-28,391.0
2016-08-29,419.0
2016-08-30,210.0
2016-08-31,259.0
2016-09-01,460.0
2016-09-02,944.0
2016-09-03,370.0
2016-09-04,417.0
2016-09-05,220.0
2016-09-06,111.0
2016-09-07,310.0
2016-09-08,135.0
2016-09-09,183.0
2016-09-10,445.0
2016-09-11,251.0
2016-09-12,275.0
2016-09-13,130.0
2016-09-14,277.0
2016-09-15,468.0
2016-09-16,292.0
2016-09-17,665.0
2016-09-18,515.0
2016-09-19,247.0
2016-09-20,227.0
2016-09-21,282.0
2016-09-22,258.0
2016-09-23,305.0
2016-09-24,276.0
2016-09-25,393.0
