ds,y
2016-01-01,367.0
2016-01-02,907.0
2016-01-03,479.0
2016-01-04,340.0
2016-01-05,186.0
2016-01-06,423.0
2016-01-07,422.0
2016-01-08,755.0
2016-01-09,945.0
2016-01-10,452.0
2016-01-11,419.0
2016-01-12,249.0
2016-01-13,388.0
2016-01-14,382.0
2016-01-15,1065.0
2016-01-16,783.0
2016-01-17,647.0
2016-01-18,389.0
2016-01-19,387.0
2016-01-20,500.0
2016-01-21,523.0
2016-01-22,971.0
2016-01-23,960.0
2016-01-24,525.0
2016-01-25,332.0
2016-01-26,235.0
2016-01-27,444.0
2016-01-28,381.0
2016-01-29,1488.0
2016-01-30,1043.0
2016-01-31,588.0
2016-02-01,442.0
2016-02-02,363.0
2016-02-03,291.0
2016-02-04,549.0
2016-02-05,576.0
2016-02-06,771.0
2016-02-07,424.0
2016-02-08,324.0
2016-02-09,455.0
2016-02-10,248.0
2016-02-11,461.0
2016-02-12,922.0
2016-02-13,697.0
2016-02-14,311.0
2016-02-15,445.0
2016-02-16,366.0
2016-02-17,259.0
2016-02-18,607.0
2016-02-19,765.0
2016-02-20,714.0
2016-02-21,294.0
2016-02-22,389.0
2016-02-23,505.0
2016-02-24,189.0
2016-02-25,505.0
2016-02-26,737.0
2016-02-27,710.0
2016-02-28,320.0
2016-02-29,402.0
2016-03-01,319.0
2016-03-02,792.0
2016-03-03,357.0
2016-03-04,331.0
2016-03-05,432.0
2016-03-06,246.0
2016-03-07,163.0
2016-03-08,331.0
2016-03-09,96.0
2016-03-10,284.0
2016-03-11,390.0
2016-03-12,253.0
2016-03-13,444.0
2016-03-14,93.0
2016-03-15,395.0
2016-03-16,279.0
2016-03-17,207.0
2016-03-18,104.0
2016-03-19,292.0
2016-03-20,345.0
2016-03-21,223.0
2016-03-22,104.0
2016-03-23,413.0
2016-03-24,299.0
2016-03-25,321.0
2016-03-26,224.0
2016-03-27,640.0
2016-03-28,207.0
2016-03-29,283.0
2016-03-30,701.0
2016-03-31,509.0
2016-04-01,208.0
2016-04-02,531.0
2016-04-03,339.0
2016-04-04,611.0
2016-04-05,215.0
2016-04-06,330.0
2016-04-07,128.0
2016-04-08,157.0
2016-04-09,402.0
2016-04-10,411.0
2016-04-11,454.0
2016-04-12,110.0
2016-04-13,219.0
2016-04-14,140.0
2016-04-15,293.0
2016-04-16,243.0
2016-04-17,294.0
2016-04-18,346.0
2016-04-19,263.0
2016-04-20,115.0
2016-04-21,377.0
2016-04-22,225.0
2016-04-23,225.0
2016-04-24,386.0
2016-04-25,109.0
2016-04-26,142.0
2016-04-27,228.0
2016-04-28,429.0
2016-04-29,337.0
2016-04-30,561.0
2016-05-01,434.0
2016-05-02,490.0
2016-05-03,254.0
2016-05-04,179.0
2016-05-05,264.0
2016-05-06,120.0
2016-05-07,367.0
2016-05-08,295.0
2016-05-09,295.0
2016-05-10,326.0
2016-05-11,111.0
2016-05-12,278.0
2016-05-13,168.0
2016-05-14,252.0
2016-05-15,233.0
2016-05-16,294.0
2016-05-17,91.0
2016-05-18,508.0
2016-05-19,108.0
2016-05-20,344.0
2016-05-21,464.0
2016-05-22,445.0
2016-05-23,292.0
2016-05-24,421.0
2016-05-25,88.0
2016-05-26,127.0
2016-05-27,93.0
2016-05-28,402.0
2016-05-29,367.0
2016-05-30,331.0
2016-05-31,178.0
2016-06-01,222.0
2016-06-02,206.0
2016-06-03,471.0
2016-06-04,314.0
2016-06-05,215.0
2016-06-06,442.0
2016-06-07,286.0
2016-06-08,118.0
2016-06-09,113.0
2016-06-10,352.0
2016-06-11,688.0
2016-06-12,261.0
2016-06-13,227.0
2016-06-14,150.0
2016-06-15,161.0
2016-06-16,101.0
2016-06-17,598.0
2016-06-18,359.0
2016-06-19,363.0
2016-06-20,118.0
2016-06-21,441.0
2016-06-22,352.0
2016-06-23,458.0
2016-06-24,304.0
2016-06-25,629.0
2016-06-26,648.0
2016-06-27,312.0
2016-06-28,450.0
2016-06-29,122.0
2016-06-30,95.0
2016-07-01,183.0
2016-07-02,270.0
